ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΡΕΚΟΣ ΦΩΤΙΟΣ του Αποστόλου,ΚΩΤΣΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΝΤΑΛΝΤΑΝΗ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Δημητρίου,ΣΚΟΝΔΡΑ ΑΣΗΜΙΝΑ του Κωνσταντίνου,ΣΠΑΝΙΑΣ ΑΡΙΣΤΟΤΕΛΗΣ (ΤΕΛΗΣ) του Γεωργίου,ΤΣΙΑΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλεξάνδρου,ΣΥΡΙΖΑ,ΑΓΟΡΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοχάρη,ΒΑΪΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΚΑΤΣΑΒΡΙΑ-ΣΙΩΡΟΠΟΥΛΟΥ ΧΡΥΣΟΥΛΑ του Αθανασίου,ΚΟΥΚΟΥΜΤΖΗ ΑΓΟΡΗ (ΡΟΥΛΑ) του Κωνσταντίνου,ΜΙΧΑΛΑΚΗΣ ΝΙΚΟΛΑΟΣ του Ηλία,ΤΕΝΤΟΛΟΥΡΗ ΑΓΓΕΛΙΚΗ του Δημητρίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΕΥΘΥΜΙΑΔΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΚΟΝΤΑΚΤΣΗΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΜΠΑΚΑΛΑΚΟΥ ΣΩΤΗΡΙΑ του Χρήστου,ΝΤΑΛΗ ΑΝΔΡΟΝΙΚΗ (ΝΙΚΗ) του Ηλία,ΠΑΠΑΓΕΩΡΓΙΟΥ ΣΩΤΗΡΙΟΣ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Στεφάνου,Κ.Κ.Ε.,ΑΓΓΕΛΟΥ ΛΗΔΑ ΞΕΝΙΑ του Δημητρίου,ΓΑΖΟΣ ΕΚΤΟΡΑΣ του Χρήστου,ΜΠΟΥΤΑ ΠΗΝΕΛΟΠΗ (ΠΟΠΗ) του Ευαγγέλου,ΤΕΓΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΤΖΟΚΑΣ ΠΑΝΑΓΙΩΤΗΣ του Κοσμά,ΤΣΙΟΥΤΡΑΣ ΙΩΑΝΝΗΣ του Ευαγγέλου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΓΓΕΛΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ του Χρήστου,ΓΚΑΡΑΒΕΛΟΣ ΑΘΑΝΑΣΙΟΣ του Στέφανου,ΛΑΠΠΑΣ ΣΩΚΡΑΤΗΣ του Χρήστου,ΠΑΠΠΑ ΣΤΥΛΙΑΝΗ του Γεωργίου,ΣΑΒΒΙΔΟΥ ΕΙΡΗΝΗ του Παντελή,ΤΣΙΡΙΚΑΣ ΑΘΑΝΑΣΙΟΣ του Παναγιώτη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΚΛΗΜΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ του Στέργιου,ΜΠΟΥΚΟΥΒΑΛΑΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΞΗΡΟΦΩΤΟΥ ΕΙΡΗΝΗ (ΡΕΝΑ) του Γεωργίου,ΤΣΙΑΜΟΥΡΑ ΕΥΘΑΛΙΑ-ΘΕΟΔΩΡΑ (ΘΑΛΕΙΑ) του Βασιλείου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΔΕΜΕΡΤΖΗ ΑΙΚΑΤΕΡΙΝΗ του Κωνσταντίνου,ΜΠΑΜΠΑΤΣΙΚΟΣ ΠΕΤΡΟΣ του Ηλία,ΝΤΑΒΑΡΟΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΔΡΑΓΟΥΤΣΟΥ ΧΡΥΣΑ του Στέφανου,ΚΑΠΝΙΑΣ ΣΤΕΦΑΝΟΣ του Ευάγγελου,ΚΥΡΙΤΣΗΣ ΑΠΟΣΤΟΛΟΣ του Θωμά,ΣΑΓΞΑΡΙΔΟΥ ΔΕΣΠΟΙΝΑ του Γεωργίου,ΦΙΛΙΠΠΟΥ ΝΙΚΟΛΑΟΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΠΛΑΣΤΗΡΑ ΕΛΠΙΝΙΚΗ του Δημητρίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΤΩΝΙΟΥ ΚΛΕΑΝΘΗΣ του Αντωνίου,ΒΟΥΡΚΟΤΙΩΤΗ ΒΑΣΙΛΙΚΗ του Δημοσθένη,ΜΠΟΥΝΤΟΛΟΣ ΙΩΑΝΝΗΣ του Σωκράτη,ΝΤΟΒΟΛΟΥ ΑΝΑΣΤΑΣΙΑ του Δημητρίου,Κίνημα 21,ΖΑΧΟΥ ΑΓΓΕΛΙΚΗ του Ιωάννη,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΡΒΑΝΙΤΗΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΙΟΡΔΑΝΟΥ ΔΕΣΠΟΙΝΑ του Χαραλάμπους,ΝΙΚΗ,ΑΓΓΕΛΟΥΔΗΣ ΔΗΜΗΤΡΙΟΣ του Παύλου,ΞΑΝΘΗΣ ΔΗΜΗΤΡΙΟΣ του Μάρκου,ΡΙΓΚΟΥ ΚΩΝΣΤΑΝΤΙΝΙΑ του Ιωάννου,ΤΣΩΝΟΥ ΞΑΝΘΗ του Παναγιώτη,κοινωνία αξιών,ΤΣΙΟΥΜΑ ΦΩΤΕΙΝΗ του Γεωργίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΚΟΖΑΚΙΔΗΣ ΓΕΩΡΓΙΟΣ του Θεοδώρου,Ο.Α.Κ.Κ.Ε.,ΚΑΝΣΟΣ ΔΗΜΗΤΡΙΟΣ του Πάτροκλου,Μ-Λ Κ.Κ.Ε.,ΒΑΣΙΛΕΙΟΥ ΓΕΩΡΓΙΟΣ του Παναγιώτη,Ελλήνων Συνέλευσις,ΝΤΑΟΥΛΑΣ ΓΕΩΡΓΙΟΣ του Σωτηρίου,ΤΡΑΪΚΟΥ ΧΡΥΣΟΥΛΑ του Γεωργίου,Ένωση Κεντρώων,ΜΑΝΤΖΑΚΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Δαμιανού,ΤΣΙΜΠΡΙΜΑΝΗ ΣΟΦΙΑ του Στυλιανού,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΛΑΠΠΑ ΕΥΣΤΑΘΙΑ του Αθανάσιου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΜΑΥΡΟΥΔΗΣ ΛΑΜΠΡΟΣ του Αναστασίου,ΜΠΟΥΝΤΟΥΡΗ ΕΥΑΝΘΙΑ (ΕΥΑ) του Ηλία,ΝΕΑ ΔΟΜΗ,ΠΟΛΥΖΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΤΣΟΥΚΑΣ ΔΗΜΗΤΡΙΟΣ του Θωμά,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΠΑΝΑΓΟΥ ΧΡΙΣΤΙΝΑ του Αλέξανδρου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΓΚΕΚΑ ΓΕΩΡΓΙΑ του Σπυρίδωνος,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΑΛΕΞΙΟΥ ΔΗΜΗΤΡΙΟΣ του Βασιλείου,ΚΟΝΤΑΞΗΣ ΑΛΕΞΑΝΔΡΟΣ του Ευριπίδη,ΜΗΤΡΟΠΟΥΛΟΥ ΑΡΓΥΡΩ του Γεωργίου,ΠΑΠΑΓΕΡΑ - ΠΑΠΑΓΕΡΟΥΔΗ ΔΕΣΠΟΙΝΑ του Στέλλιου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΛΥΒΙΩΤΗ ΝΙΚΟΛΕΤΑ του Θωμά,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΓΚΙΟΛΙΑ ΡΑΦΑΗΛΙΑ του Δημητρίου,ΤΑΓΑΡΟΥΛΙΑΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου
25 - Καρδίτσας,19 E.T. Δήμου Αργιθέας,294,92,1,2,3,89,41,2,32,1,9,0,14,23,18,2,6,0,4,8,14,0,0,7,1,10,0,1,0,1,0,1,0,0,4,3,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
25 - Καρδίτσας,20 E.T. Δήμου Αργιθέας,215,79,1,0,1,78,51,5,19,2,7,7,47,8,8,0,0,0,7,0,8,0,0,1,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 - Καρδίτσας,21 E.T. Δήμου Αργιθέας,268,121,0,0,0,121,62,1,33,1,26,1,25,33,29,0,3,1,5,5,8,0,0,4,0,7,0,13,5,4,6,2,0,1,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
25 - Καρδίτσας,22 E.T. Δήμου Αργιθέας,347,136,1,0,1,135,65,3,43,3,19,0,24,49,40,5,4,0,8,7,6,1,0,1,1,6,0,6,1,3,1,1,0,0,3,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
25 - Καρδίτσας,23 E.T. Δήμου Αργιθέας,123,57,1,0,1,56,36,0,12,0,9,3,27,14,11,1,4,0,0,4,4,0,0,0,1,3,1,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 - Καρδίτσας,24 E.T. Δήμου Αργιθέας,280,121,5,1,6,115,71,2,38,1,45,1,27,17,15,5,0,1,4,0,16,0,3,6,1,12,3,0,0,0,0,0,0,0,1,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4,4,3
25 - Καρδίτσας,25 E.T. Δήμου Αργιθέας,147,57,0,0,0,57,30,0,4,0,20,2,25,17,16,0,0,1,7,5,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,2
25 - Καρδίτσας,26 E.T. Δήμου Καρδίτσας,417,249,3,1,4,245,103,27,47,4,17,13,57,41,7,12,6,4,28,6,64,5,1,40,5,31,3,15,3,3,5,5,1,0,3,0,0,0,2,1,0,5,1,1,5,2,0,0,0,0,3,2,1,2,0,0,0,0,3,0,1,0,1,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0
25 - Καρδίτσας,27 E.T. Δήμου Καρδίτσας,574,308,7,0,7,301,188,20,80,10,61,58,84,38,6,1,6,11,25,11,32,1,0,15,5,28,4,19,4,5,6,8,1,4,13,3,2,5,5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,2,3,2,0
25 - Καρδίτσας,28 E.T. Δήμου Καρδίτσας,528,377,5,0,5,372,111,32,48,4,16,11,52,58,9,11,16,2,23,14,54,4,3,15,5,41,4,126,11,71,14,23,15,52,6,0,4,2,2,0,2,4,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,4,3,2
25 - Καρδίτσας,29 E.T. Δήμου Καρδίτσας,545,391,1,2,3,388,99,22,31,7,24,15,47,69,12,12,9,1,43,22,45,6,1,19,4,31,6,143,12,95,19,23,6,54,7,0,2,1,3,2,1,6,2,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,2,2,1,2,1,2,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,6,2,2
25 - Καρδίτσας,30 E.T. Δήμου Καρδίτσας,362,217,3,2,5,212,73,8,29,11,14,20,24,51,20,9,9,3,28,10,35,3,0,4,2,33,1,17,2,9,1,6,3,7,3,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,6,0,2,0,0,4,0,0,3,3,0,0,0,1,0,1,1,0,11,5,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1
25 - Καρδίτσας,31 E.T. Δήμου Καρδίτσας,146,105,0,0,0,105,51,7,12,4,17,14,28,23,7,9,1,2,10,3,6,1,0,0,0,4,1,16,0,1,5,9,0,4,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 - Καρδίτσας,32 E.T. Δήμου Καρδίτσας,204,141,1,0,1,140,42,0,21,3,7,5,22,18,4,5,2,5,3,3,48,10,1,7,11,40,1,13,1,2,2,10,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0
25 - Καρδίτσας,33 E.T. Δήμου Καρδίτσας,505,288,6,0,6,282,97,15,44,6,32,29,45,62,6,6,9,9,29,22,50,1,1,1,32,47,0,32,1,8,10,23,1,13,5,1,0,2,1,2,1,4,1,3,1,0,6,3,3,2,1,0,1,1,0,0,0,0,2,1,0,0,1,4,2,1,0,0,7,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,1,1,6,3,1
25 - Καρδίτσας,34 E.T. Δήμου Καρδίτσας,215,134,5,0,5,129,55,2,23,3,16,28,21,29,4,4,15,2,12,2,12,1,0,0,7,9,0,5,3,1,2,1,0,1,8,4,3,3,1,1,0,2,0,0,1,0,2,2,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,1,1,4,4,3,4,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,2,2,1
25 - Καρδίτσας,35 E.T. Δήμου Καρδίτσας,388,211,2,1,3,208,87,24,41,10,20,12,39,29,4,10,7,1,17,4,14,2,0,4,2,10,0,49,5,38,7,14,0,14,2,0,0,1,1,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,3,1,1,7,6,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,1,1,2,2,0
25 - Καρδίτσας,36 E.T. Δήμου Καρδίτσας,238,121,1,0,1,120,31,8,8,2,8,5,16,29,5,7,6,1,14,4,26,2,1,4,1,23,12,13,4,4,2,8,2,4,4,2,0,1,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,1,0,0,0,1,1,0,0,0,0,0,2,2,5,2,1
25 - Καρδίτσας,37 E.T. Δήμου Καρδίτσας,223,140,4,0,4,136,76,15,32,2,27,14,38,18,3,2,6,1,10,3,20,0,0,2,0,9,17,4,0,2,1,2,0,1,4,1,0,1,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,1,1,3,2,2
25 - Καρδίτσας,38 E.T. Δήμου Καρδίτσας,605,347,8,1,9,338,219,145,74,8,41,16,82,34,5,4,5,1,17,5,20,1,1,8,3,13,5,34,7,13,5,17,0,7,7,1,1,2,1,0,1,1,0,0,0,0,2,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,7,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2,1,1,0,1,0,1,0,0
25 - Καρδίτσας,39 E.T. Δήμου Καρδίτσας,599,309,5,2,7,302,172,19,69,6,53,17,108,52,17,21,9,4,24,5,42,4,0,10,4,24,9,5,0,1,4,2,2,1,8,5,1,0,1,2,1,2,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,9,4,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,0,1,1,0,0,3,2,1,0,0,1,1,0,0,0,0,0
25 - Καρδίτσας,40 E.T. Δήμου Καρδίτσας,359,224,6,5,11,213,103,13,29,21,22,11,60,44,6,8,11,8,17,9,31,4,2,5,1,23,7,11,1,5,4,3,2,0,2,0,0,0,0,1,1,4,1,1,1,1,2,0,0,2,1,0,0,1,0,0,0,0,2,0,1,0,1,2,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,1,0,0,0,0,2,1,3,2,0
25 - Καρδίτσας,41 E.T. Δήμου Καρδίτσας,468,301,10,1,11,290,142,18,43,6,40,22,96,37,1,8,7,9,19,11,48,2,1,5,2,40,9,18,8,5,3,3,3,2,10,4,1,1,0,0,1,3,1,1,1,0,4,3,2,2,3,0,0,0,0,0,0,0,1,0,0,0,1,1,0,4,0,0,6,2,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,3,1,2,2,1,1,0,0,0,0,0,4,2,2
25 - Καρδίτσας,42 E.T. Δήμου Καρδίτσας,459,270,5,3,8,262,117,15,47,8,26,15,70,62,9,6,39,5,33,6,42,3,1,9,2,38,8,29,5,6,7,2,3,1,3,0,0,0,1,1,0,2,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
25 - Καρδίτσας,43 E.T. Δήμου Καρδίτσας,458,250,6,1,7,243,92,7,32,5,21,9,59,40,4,7,22,2,21,4,47,0,0,4,1,47,3,34,2,12,9,11,9,8,8,4,3,3,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,4,3,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,2,1,0,0,0,0,0,0,7,3,1
25 - Καρδίτσας,44 E.T. Δήμου Καρδίτσας,429,286,8,1,9,277,117,15,42,1,19,14,80,56,20,1,26,12,19,9,58,2,0,15,1,52,6,24,4,6,5,6,4,10,5,2,0,1,0,0,1,2,0,0,2,0,4,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
25 - Καρδίτσας,45 E.T. Δήμου Καρδίτσας,210,134,2,0,2,132,74,8,17,2,18,39,45,22,7,5,5,2,15,1,20,0,0,10,4,13,2,5,0,1,2,0,0,0,4,1,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0
25 - Καρδίτσας,46 E.T. Δήμου Καρδίτσας,533,339,9,1,10,329,128,10,58,8,38,9,78,69,5,26,13,2,22,24,62,12,1,17,1,42,15,23,3,3,6,11,2,13,9,2,2,2,3,1,2,8,1,0,3,3,12,6,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,5,0,0,0,4,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,2,1,0,0,0,0,0,1,0,2,0,1,0,1,0,0,3,1,0,0,0
25 - Καρδίτσας,47 E.T. Δήμου Καρδίτσας,391,280,2,0,2,278,82,9,15,7,30,15,51,31,4,11,2,2,18,13,140,1,0,6,15,135,15,9,2,4,2,1,2,0,4,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
25 - Καρδίτσας,48 E.T. Δήμου Καρδίτσας,381,255,5,0,5,250,64,3,10,2,20,19,40,26,2,10,7,4,10,8,135,1,0,3,10,133,8,3,0,0,1,1,0,0,5,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,8,1,0
25 - Καρδίτσας,49 E.T. Δήμου Καρδίτσας,543,346,1,1,2,344,192,17,95,9,66,16,97,51,3,22,14,6,20,3,58,1,0,14,2,44,13,6,1,0,0,3,0,1,9,0,0,1,3,7,2,3,0,0,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,3,1,0,1,3,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,4,3,4,0,0,0,0,0,0,3,2,5,2,1,1,0,0,0,3,1,0
25 - Καρδίτσας,50 E.T. Δήμου Καρδίτσας,555,344,2,0,2,342,199,23,116,7,71,20,84,42,4,14,12,4,17,6,45,0,0,10,0,40,10,15,3,5,7,4,1,3,16,4,4,5,3,4,0,1,0,0,1,1,3,1,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,2,1,2,0,0,1,1,2,1,0,0,3,2,1,0,1,2,2,1,1,1
25 - Καρδίτσας,51 E.T. Δήμου Καρδίτσας,357,255,3,2,5,250,114,19,44,4,28,14,72,49,8,11,12,5,26,19,46,3,1,13,0,40,13,15,2,0,3,6,12,2,4,1,1,0,2,1,0,5,1,0,2,3,2,1,0,2,0,0,0,0,0,0,0,0,2,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,2,2,4,2,2
25 - Καρδίτσας,52 E.T. Δήμου Καρδίτσας,443,306,5,3,8,298,159,16,57,17,44,34,87,36,2,6,6,18,9,7,52,6,0,30,2,44,1,6,1,2,3,2,1,1,12,7,2,4,3,0,1,7,2,3,3,4,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,4,2,3,6,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,1,1,1,0,0,0,0,0,1,1,7,5,2
25 - Καρδίτσας,53 E.T. Δήμου Καρδίτσας,444,288,3,1,4,284,154,5,57,14,57,27,84,49,5,10,7,13,27,17,37,4,0,13,2,30,6,13,4,8,1,3,3,1,7,4,2,1,1,1,0,3,0,1,2,1,0,0,0,0,4,0,4,1,0,0,0,0,2,0,0,1,0,2,1,1,0,0,4,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,1,1,1,2,1,0
25 - Καρδίτσας,54 E.T. Δήμου Καρδίτσας,485,349,4,0,4,345,155,8,42,16,30,39,95,44,2,17,12,5,14,8,83,4,0,22,1,58,23,17,3,5,3,2,1,5,11,1,3,0,1,4,1,2,0,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,3,2,1,0,0,2,2,3,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,3,0,3,0,1,0,0,1,0,1,0,0,0,4,2,0,0,0,0,0,6,4,4
25 - Καρδίτσας,55 E.T. Δήμου Καρδίτσας,475,325,5,3,8,317,158,3,41,5,55,34,99,41,0,15,7,9,17,3,66,5,0,22,5,49,8,14,1,3,5,5,1,1,13,2,4,3,2,2,0,8,0,1,4,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,1,0,0,2,1,1,1,0,0,0,4,3,3
