ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΜΑΝΔΡΕΚΑ ΑΣΠΑΣΙΑ του Παναγιώτη,ΜΠΟΥΓΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΧΑΣΟΥΡΑΣ ΞΕΝΟΦΩΝ του Δημητρίου,ΣΥΡΙΖΑ,ΚΩΣΤΟΠΑΝΑΓΙΩΤΟΥ ΗΛΙΑΣ του Κωνσταντίνου,ΜΑΣΤΡΟΠΕΡΡΟΥ ΛΟΥΚΙΑ του Εμμανουήλ,ΤΣΑΜΑΝΤΑΝΗΣ ΧΡΗΣΤΟΣ του Ηλία,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΝΔΡΕΟΠΟΥΛΟΥ ΜΑΡΙΑ (ΜΑΙΡΗ) του Ζήση,ΚΑΡΑΜΠΑΡΠΑΣ ΛΕΩΝΙΔΑΣ του Δήμου,ΣΠΑΤΟΥΛΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,Κ.Κ.Ε.,ΚΑΛΑΝΤΖΑΚΟΥ ΓΕΩΡΓΙΑ του Δημητρίου,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΧΡΗΣΤΟΣ του Ιωάννη,ΤΣΕΛΕΣ ΔΡΟΣΟΣ του Αναστασίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΠΟΔΙΣΤΡΙΑ ΙΩΑΝΝΑ του Γεωργίου,ΚΟΝΔΥΛΗΣ ΕΠΑΜΕΙΝΩΝΔΑΣ του Κωνσταντίνου,ΚΟΥΤΣΟΒΕΛΗΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΡΒΑΝΙΤΗΣ ΣΤΑΥΡΟΣ του Θεοδώρου,ΑΣΔΕΡΑΚΗ ΕΛΕΝΗ του Γεωργίου,ΜΠΑΪΡΑΚΤΑΡΗΣ ΙΩΑΝΝΗΣ του Επαμεινώνδα,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΟΡΟΜΠΙΛΗΣ ΑΝΔΡΕΑΣ του Ηλία,Κ.Κ.Ε. (μ-λ),ΤΣΙΝΤΖΟΣ ΧΡΗΣΤΟΣ του Φωτίου,Ο.Κ.Δ.Ε.,ΜΠΡΕΝΤΑΣ ΕΥΑΓΓΕΛΟΣ του Αποστόλου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΕΞΗΣ ΛΟΥΚΑΣ του Παναγιώτη,Κίνημα 21,ΖΕΡΒΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευσταθίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΜΟΥΤΣΙΑ ΑΝΑΣΤΑΣΙΑ του Ιωάννη,ΝΙΚΗ,ΠΑΡΘΕΝΙΟΥ ΦΑΝΗ του Σπυρίδωνος,κοινωνία αξιών,ΤΖΕΜΠΕΛΙΚΟΥ ΜΑΡΙΑ-ΛΟΥΚΙΑ του Αθανασίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΚΥΡΙΑΚΟΥ ΑΝΔΡΕΑΣ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΜΠΟΥΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Ελλήνων Συνέλευσις,ΣΑΞΩΝΗΣ ΣΟΛΩΝ του Σεραφείμ,Ένωση Κεντρώων,ΜΠΑΛΑΣΚΑΣ ΙΩΑΝΝΗΣ του Ανδρέα,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΙΑΚΩΒΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΠΑΠΑΔΟΠΟΥΛΟΥ ΠΑΡΑΣΚΕΥΗ του Νικολάου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΦΟΥΣΕΚΗ ΕΙΡΗΝΗ του Θεμιστοκλή,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΤΡΑΚΑ ΑΛΕΞΑΝΔΡΑ ΙΩΑΝΝΑ του Αλέξανδρου,Οικολόγοι Πράσινοι,ΝΤΟΥΒΛΗΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΕΑΝ...,ΔΡΟΛΑΠΑΣ ΝΙΚΟΛΑΟΣ του Αναργύρου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΣΠΕΝΤΖΟΥ ΑΣΗΜΟΥΛΑ - ΑΜΑΛΙΑ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΧΑΝΙΩΤΗ ΧΡΙΣΤΙΝΑ του Μιχαήλ
35 - Φωκίδας,28 E.T. Δήμου Δελφών,337,217,6,1,7,210,96,34,52,0,41,13,10,8,14,8,0,0,19,9,3,1,4,2,0,1,6,1,1,0,9,9,1,1,0,0,2,1,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,1,0,0,2,0,0,0,0,0,5,4
35 - Φωκίδας,29 E.T. Δήμου Δελφών,302,203,4,3,7,196,95,32,36,5,29,8,4,8,24,11,0,0,16,15,0,0,7,2,1,0,0,0,0,0,9,9,0,0,0,0,0,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,2,1,0,0,7,4
35 - Φωκίδας,30 E.T. Δήμου Δελφών,123,48,0,1,1,47,20,12,6,0,12,1,2,3,3,2,0,0,3,2,0,0,0,0,0,0,2,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3
35 - Φωκίδας,31 E.T. Δήμου Δελφών,77,48,0,0,0,48,10,4,5,0,13,2,2,3,5,1,0,1,6,4,1,0,4,0,1,2,3,0,1,1,4,4,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,32 E.T. Δήμου Δελφών,254,93,2,1,3,90,33,20,9,0,20,9,5,2,15,8,0,0,4,1,0,0,6,1,1,3,2,1,0,1,0,0,0,0,0,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,2
35 - Φωκίδας,33 E.T. Δήμου Δελφών,319,180,4,2,6,174,65,29,30,3,30,11,11,3,16,7,2,3,20,16,0,0,8,1,1,5,6,1,1,1,3,3,0,0,0,0,0,0,2,1,2,2,1,1,0,0,0,0,1,0,0,0,1,0,0,0,3,2,2,1,0,0,3,2,1,0,0,0,10,8
35 - Φωκίδας,34 E.T. Δήμου Δελφών,307,177,1,1,2,175,62,29,25,0,38,9,10,9,9,6,1,1,33,26,1,1,4,1,0,1,4,0,1,0,6,6,0,0,0,0,0,0,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,2,2,7,4
35 - Φωκίδας,35 E.T. Δήμου Δελφών,435,242,2,1,3,239,112,40,42,9,34,6,7,8,31,15,2,5,13,6,0,3,10,4,2,2,4,1,0,0,22,21,0,0,0,0,0,0,0,0,1,1,6,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,3,2
35 - Φωκίδας,36 E.T. Δήμου Δελφών,98,40,0,0,0,40,22,9,7,2,10,1,2,4,0,0,0,0,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,37 E.T. Δήμου Δελφών,39,26,0,0,0,26,10,6,4,0,9,2,7,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
35 - Φωκίδας,38 E.T. Δήμου Δελφών,521,307,13,2,15,292,141,71,51,4,59,22,7,17,23,8,2,3,19,5,0,3,9,6,2,0,3,1,0,0,3,3,1,1,0,0,2,0,2,2,0,0,5,4,0,0,0,0,0,0,0,0,1,1,3,1,2,1,3,2,0,0,3,2,0,0,0,0,13,8
35 - Φωκίδας,39 E.T. Δήμου Δελφών,535,321,4,4,8,313,163,64,73,1,51,13,8,17,34,12,4,10,17,4,2,1,12,4,1,1,5,0,2,1,0,0,0,0,0,0,0,0,3,3,1,1,6,4,0,0,0,0,1,0,1,0,0,0,1,1,2,0,3,1,1,0,1,1,0,0,0,0,11,6
35 - Φωκίδας,40 E.T. Δήμου Δελφών,301,183,3,1,4,179,54,21,26,0,39,13,2,12,33,6,2,10,18,8,1,7,6,3,0,1,3,0,1,0,2,1,1,1,0,0,0,0,4,3,1,0,6,5,0,0,1,1,0,0,0,0,2,1,2,1,0,0,0,0,0,0,2,1,2,2,0,0,3,2
35 - Φωκίδας,41 E.T. Δήμου Δελφών,369,243,0,2,2,241,100,35,54,0,54,18,9,20,28,9,2,6,14,4,0,4,4,3,0,0,2,0,0,0,1,1,0,0,0,0,2,2,9,7,3,2,10,4,2,1,0,0,0,0,0,0,1,0,1,1,2,1,2,1,1,0,1,0,0,0,1,0,3,3
35 - Φωκίδας,42 E.T. Δήμου Δελφών,421,285,5,4,9,276,150,61,73,8,33,7,9,7,22,7,4,6,26,11,0,8,9,2,2,0,5,2,1,0,1,1,0,0,0,0,3,1,1,1,0,0,4,4,0,0,0,0,2,1,1,1,2,0,0,0,0,0,1,1,1,0,7,4,0,0,2,2,6,4
