ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΜΑΝΔΡΕΚΑ ΑΣΠΑΣΙΑ του Παναγιώτη,ΜΠΟΥΓΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΧΑΣΟΥΡΑΣ ΞΕΝΟΦΩΝ του Δημητρίου,ΣΥΡΙΖΑ,ΚΩΣΤΟΠΑΝΑΓΙΩΤΟΥ ΗΛΙΑΣ του Κωνσταντίνου,ΜΑΣΤΡΟΠΕΡΡΟΥ ΛΟΥΚΙΑ του Εμμανουήλ,ΤΣΑΜΑΝΤΑΝΗΣ ΧΡΗΣΤΟΣ του Ηλία,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΝΔΡΕΟΠΟΥΛΟΥ ΜΑΡΙΑ (ΜΑΙΡΗ) του Ζήση,ΚΑΡΑΜΠΑΡΠΑΣ ΛΕΩΝΙΔΑΣ του Δήμου,ΣΠΑΤΟΥΛΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,Κ.Κ.Ε.,ΚΑΛΑΝΤΖΑΚΟΥ ΓΕΩΡΓΙΑ του Δημητρίου,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΧΡΗΣΤΟΣ του Ιωάννη,ΤΣΕΛΕΣ ΔΡΟΣΟΣ του Αναστασίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΠΟΔΙΣΤΡΙΑ ΙΩΑΝΝΑ του Γεωργίου,ΚΟΝΔΥΛΗΣ ΕΠΑΜΕΙΝΩΝΔΑΣ του Κωνσταντίνου,ΚΟΥΤΣΟΒΕΛΗΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΡΒΑΝΙΤΗΣ ΣΤΑΥΡΟΣ του Θεοδώρου,ΑΣΔΕΡΑΚΗ ΕΛΕΝΗ του Γεωργίου,ΜΠΑΪΡΑΚΤΑΡΗΣ ΙΩΑΝΝΗΣ του Επαμεινώνδα,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΟΡΟΜΠΙΛΗΣ ΑΝΔΡΕΑΣ του Ηλία,Κ.Κ.Ε. (μ-λ),ΤΣΙΝΤΖΟΣ ΧΡΗΣΤΟΣ του Φωτίου,Ο.Κ.Δ.Ε.,ΜΠΡΕΝΤΑΣ ΕΥΑΓΓΕΛΟΣ του Αποστόλου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΕΞΗΣ ΛΟΥΚΑΣ του Παναγιώτη,Κίνημα 21,ΖΕΡΒΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευσταθίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΜΟΥΤΣΙΑ ΑΝΑΣΤΑΣΙΑ του Ιωάννη,ΝΙΚΗ,ΠΑΡΘΕΝΙΟΥ ΦΑΝΗ του Σπυρίδωνος,κοινωνία αξιών,ΤΖΕΜΠΕΛΙΚΟΥ ΜΑΡΙΑ-ΛΟΥΚΙΑ του Αθανασίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΚΥΡΙΑΚΟΥ ΑΝΔΡΕΑΣ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΜΠΟΥΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Ελλήνων Συνέλευσις,ΣΑΞΩΝΗΣ ΣΟΛΩΝ του Σεραφείμ,Ένωση Κεντρώων,ΜΠΑΛΑΣΚΑΣ ΙΩΑΝΝΗΣ του Ανδρέα,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΙΑΚΩΒΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΠΑΠΑΔΟΠΟΥΛΟΥ ΠΑΡΑΣΚΕΥΗ του Νικολάου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΦΟΥΣΕΚΗ ΕΙΡΗΝΗ του Θεμιστοκλή,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΤΡΑΚΑ ΑΛΕΞΑΝΔΡΑ ΙΩΑΝΝΑ του Αλέξανδρου,Οικολόγοι Πράσινοι,ΝΤΟΥΒΛΗΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΕΑΝ...,ΔΡΟΛΑΠΑΣ ΝΙΚΟΛΑΟΣ του Αναργύρου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΣΠΕΝΤΖΟΥ ΑΣΗΜΟΥΛΑ - ΑΜΑΛΙΑ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΧΑΝΙΩΤΗ ΧΡΙΣΤΙΝΑ του Μιχαήλ
35 - Φωκίδας,43 E.T. Δήμου Δελφών,410,280,3,2,5,275,114,37,67,5,59,17,22,10,27,5,7,7,30,5,1,20,5,4,0,0,6,2,1,1,6,4,2,1,0,0,2,1,1,1,1,0,4,2,0,0,0,0,2,1,0,0,1,1,1,0,0,0,5,3,0,0,2,1,2,2,0,0,5,1
35 - Φωκίδας,44 E.T. Δήμου Δελφών,431,272,2,2,4,268,113,26,82,1,57,14,25,10,24,8,6,4,38,15,1,17,3,0,0,1,9,4,0,1,1,1,0,0,0,0,1,1,1,1,1,0,5,4,0,0,2,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,9,7
35 - Φωκίδας,45 E.T. Δήμου Δελφών,428,303,11,1,12,291,128,42,56,6,51,14,18,9,26,10,2,5,32,8,1,12,23,14,0,1,7,2,0,0,4,3,1,1,0,0,4,1,1,0,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1,0,0,1,0,0,0,0,0,4,3
35 - Φωκίδας,46 E.T. Δήμου Δελφών,560,356,3,1,4,352,166,98,60,2,59,17,14,17,27,7,1,16,34,8,0,19,9,3,3,0,8,5,0,1,4,4,0,0,0,0,4,1,1,1,3,2,12,6,0,0,0,0,1,0,3,3,2,1,0,0,2,0,4,3,2,1,4,0,0,0,2,1,5,1
35 - Φωκίδας,47 E.T. Δήμου Δελφών,542,339,7,0,7,332,140,91,42,1,83,35,14,25,27,7,3,14,23,2,2,15,9,3,0,2,9,3,1,1,1,0,1,0,0,0,1,0,3,2,0,0,16,14,1,1,0,0,2,1,0,0,1,0,1,0,2,1,3,2,0,0,2,2,0,0,1,0,6,3
35 - Φωκίδας,48 E.T. Δήμου Δελφών,548,349,13,1,14,335,117,70,41,1,91,37,16,23,35,8,1,18,27,8,1,10,10,4,3,0,7,2,1,2,5,4,1,0,0,0,1,1,1,1,3,2,13,10,1,1,0,0,1,0,1,0,2,2,2,2,1,0,1,1,0,0,3,2,0,0,2,0,10,1
35 - Φωκίδας,49 E.T. Δήμου Δελφών,540,353,9,1,10,343,147,93,43,3,68,24,15,15,39,5,3,23,37,7,0,20,5,1,2,0,13,5,2,3,2,2,0,0,0,0,1,0,2,2,2,0,5,2,1,0,0,0,0,0,0,0,2,1,1,0,2,0,2,1,1,1,1,0,0,0,2,1,10,6
35 - Φωκίδας,50 E.T. Δήμου Δελφών,546,358,10,2,12,346,144,94,38,1,62,26,8,10,53,3,2,38,23,5,1,12,6,3,0,2,16,9,1,1,2,0,1,1,1,1,0,0,2,2,0,0,9,7,0,0,0,0,1,1,1,1,1,1,0,0,1,1,2,1,0,0,4,0,4,3,6,1,7,4
35 - Φωκίδας,51 E.T. Δήμου Δελφών,554,345,7,0,7,338,132,84,36,1,56,20,5,18,47,6,4,25,38,4,0,26,9,2,4,1,12,3,1,4,4,3,0,0,0,0,5,2,3,3,0,0,7,4,0,0,0,0,0,0,3,2,0,0,0,0,0,0,3,2,0,0,0,0,1,0,1,0,17,7
35 - Φωκίδας,52 E.T. Δήμου Δελφών,548,338,3,2,5,333,156,97,47,3,59,28,10,13,35,5,0,27,25,2,2,20,13,5,5,3,7,2,1,1,3,2,2,1,0,0,2,0,1,0,2,1,5,4,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,0,3,3,0,0,8,5,7,5
35 - Φωκίδας,53 E.T. Δήμου Δελφών,546,345,14,2,16,329,148,83,54,3,58,30,6,15,45,9,0,31,20,1,0,16,13,3,1,1,10,5,0,1,6,6,0,0,0,0,1,0,2,1,1,0,8,8,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,1,1,1,3,3,9,6
35 - Φωκίδας,54 E.T. Δήμου Δελφών,504,335,11,1,12,323,133,84,42,1,68,28,6,14,43,3,4,32,23,4,2,15,10,6,2,0,8,2,3,0,4,2,0,0,0,0,0,0,6,5,0,0,12,6,0,0,0,0,1,0,0,0,0,0,1,1,4,3,0,0,1,1,0,0,0,0,2,0,7,3
35 - Φωκίδας,55 E.T. Δήμου Δελφών,495,307,7,7,14,293,121,70,38,5,71,23,6,35,23,5,0,8,20,6,0,12,14,5,0,3,8,4,0,2,3,2,0,0,0,0,2,1,8,5,0,0,4,2,0,0,0,0,1,0,0,0,1,0,1,1,2,2,1,1,0,0,2,2,1,0,0,0,10,8
35 - Φωκίδας,56 E.T. Δήμου Δελφών,147,64,3,0,3,61,29,23,4,1,10,4,2,2,3,0,0,3,5,1,0,2,1,0,0,1,1,1,0,0,2,2,2,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2
35 - Φωκίδας,57 E.T. Δήμου Δελφών,226,114,0,1,1,113,59,22,29,0,27,8,6,2,7,4,0,0,4,1,0,1,4,1,2,1,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,1,0,0,0,1,0,2,2,0,0,0,0
35 - Φωκίδας,58 E.T. Δήμου Δελφών,357,162,1,1,2,160,99,68,24,2,12,4,2,3,7,4,1,1,8,3,3,1,9,1,4,1,4,0,1,1,2,2,0,0,0,0,0,0,2,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,2,2,3,3,1,0,4,1
35 - Φωκίδας,59 E.T. Δήμου Δελφών,142,51,0,0,0,51,26,12,12,0,6,3,2,1,5,3,0,1,1,0,0,1,8,0,3,5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0
35 - Φωκίδας,60 E.T. Δήμου Δελφών,146,96,1,0,1,95,49,25,22,0,10,2,2,3,7,7,0,0,4,2,0,0,13,0,7,0,3,0,2,1,3,3,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
35 - Φωκίδας,61 E.T. Δήμου Δελφών,145,67,2,0,2,65,30,15,8,0,14,6,3,2,5,2,0,1,4,1,0,0,3,0,0,1,2,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
35 - Φωκίδας,62 E.T. Δήμου Δελφών,80,43,1,1,2,41,22,9,12,0,6,5,1,0,9,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,63 E.T. Δήμου Δελφών,136,75,1,2,3,72,22,15,5,0,13,1,2,9,21,19,2,0,5,1,0,2,3,1,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4,3
35 - Φωκίδας,64 E.T. Δήμου Δελφών,428,247,1,3,4,243,143,54,73,2,31,13,5,5,12,4,3,1,23,18,0,0,7,1,1,0,4,2,1,0,3,3,0,0,0,0,0,0,3,1,4,0,5,5,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,4,1
35 - Φωκίδας,65 E.T. Δήμου Δελφών,416,270,4,1,5,265,146,50,84,0,28,6,11,5,22,16,0,2,15,9,0,1,6,2,0,1,5,4,0,1,8,6,0,0,0,0,1,0,3,2,4,1,4,2,0,0,0,0,0,0,1,0,0,0,0,0,3,1,8,7,0,0,2,0,0,0,1,1,8,5
35 - Φωκίδας,66 E.T. Δήμου Δελφών,398,231,2,0,2,229,108,43,57,2,27,7,5,10,34,25,1,6,12,9,0,0,7,3,0,4,5,3,2,0,5,5,1,1,0,0,1,1,0,0,2,1,4,3,1,0,0,0,0,0,0,0,2,1,1,1,2,1,4,4,0,0,3,2,1,0,0,0,9,6
35 - Φωκίδας,67 E.T. Δήμου Δελφών,349,238,6,1,7,231,113,46,43,5,39,14,7,12,20,7,1,3,18,9,0,1,3,1,0,0,5,5,0,0,4,2,0,0,0,0,0,0,2,2,1,1,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,18,9
35 - Φωκίδας,68 E.T. Δήμου Δελφών,300,168,2,5,7,161,57,18,34,0,29,9,5,3,16,6,0,4,29,8,2,3,2,0,1,0,7,2,0,0,7,6,0,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,2,0,3,3,0,0,1,0,0,0,0,0,3,1
35 - Φωκίδας,69 E.T. Δήμου Δωρίδος,433,88,1,0,1,87,47,12,24,9,8,4,3,0,13,1,4,5,4,1,1,1,0,0,0,0,3,0,2,0,2,2,0,0,0,0,0,0,2,2,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,70 E.T. Δήμου Δωρίδος,63,28,0,0,0,28,15,13,1,1,3,0,3,0,3,1,2,0,4,1,2,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,71 E.T. Δήμου Δωρίδος,268,115,2,0,2,113,66,17,36,11,31,9,13,7,7,4,2,1,1,1,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,2,1
35 - Φωκίδας,72 E.T. Δήμου Δωρίδος,128,16,1,0,1,15,7,1,6,0,4,3,1,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,73 E.T. Δήμου Δωρίδος,117,28,0,1,1,27,11,8,0,3,5,4,1,0,6,5,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,74 E.T. Δήμου Δωρίδος,129,44,0,0,0,44,23,0,13,7,5,2,0,3,9,2,7,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0
35 - Φωκίδας,75 E.T. Δήμου Δωρίδος,87,38,0,0,0,38,19,1,10,5,5,4,1,0,0,0,0,0,7,2,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,1
35 - Φωκίδας,76 E.T. Δήμου Δωρίδος,76,29,0,0,0,29,16,7,4,4,2,0,2,0,6,0,1,0,2,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,77 E.T. Δήμου Δωρίδος,75,33,0,0,0,33,20,0,18,2,3,1,1,0,6,6,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,78 E.T. Δήμου Δωρίδος,282,57,0,0,0,57,30,9,18,1,15,3,4,1,6,3,2,1,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
35 - Φωκίδας,79 E.T. Δήμου Δωρίδος,76,16,0,0,0,16,6,2,0,3,10,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,80 E.T. Δήμου Δωρίδος,47,22,0,0,0,22,16,3,11,2,1,0,1,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
35 - Φωκίδας,81 E.T. Δήμου Δωρίδος,146,19,0,0,0,19,8,1,1,6,5,0,1,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
35 - Φωκίδας,82 E.T. Δήμου Δωρίδος,447,270,8,0,8,262,132,62,45,11,49,11,18,4,26,8,7,0,25,2,11,0,2,0,0,1,6,0,1,0,3,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,1,0,0,0,1,0,1,0,7,4
35 - Φωκίδας,83 E.T. Δήμου Δωρίδος,406,245,5,0,5,240,100,47,32,15,52,7,21,10,43,10,17,9,20,2,17,0,4,3,1,0,3,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,6,5,0,0,1,1,0,0,0,0,1,1,4,3
35 - Φωκίδας,84 E.T. Δήμου Δωρίδος,227,139,3,0,3,136,49,22,11,13,24,6,3,12,18,5,10,3,13,0,10,0,8,6,2,0,2,0,0,0,3,3,0,0,0,0,1,0,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,1,2,0,1,0,5,4
35 - Φωκίδας,85 E.T. Δήμου Δωρίδος,214,96,3,0,3,93,40,16,15,7,16,4,2,3,11,2,3,1,20,0,17,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,86 E.T. Δήμου Δωρίδος,567,377,6,1,7,370,166,37,65,41,86,14,26,27,44,17,13,1,24,3,14,0,8,5,1,1,4,0,1,0,5,3,1,0,0,0,0,0,1,0,3,1,8,4,1,0,0,0,0,0,1,1,1,0,2,1,5,2,1,1,0,0,1,1,0,0,2,2,6,5
35 - Φωκίδας,87 E.T. Δήμου Δωρίδος,359,180,7,1,8,172,91,44,22,18,29,14,7,2,8,3,3,0,21,1,11,1,3,2,1,0,5,2,2,1,2,2,1,1,0,0,0,0,0,0,1,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,5,4
35 - Φωκίδας,88 E.T. Δήμου Δωρίδος,270,148,3,0,3,145,83,11,38,29,19,3,8,5,20,1,17,0,5,0,4,0,5,2,2,0,2,0,0,0,3,3,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
35 - Φωκίδας,89 E.T. Δήμου Δωρίδος,336,165,2,2,4,161,79,16,35,24,25,5,9,8,27,4,23,0,3,1,2,0,10,4,3,1,2,0,0,0,2,0,0,0,0,0,0,0,2,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,5,4
35 - Φωκίδας,90 E.T. Δήμου Δωρίδος,295,169,3,0,3,166,90,8,31,51,21,4,5,5,20,0,16,0,15,0,11,0,5,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,2,0,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,3,1
35 - Φωκίδας,91 E.T. Δήμου Δωρίδος,365,214,1,0,1,213,99,15,20,63,41,9,17,5,25,0,19,3,23,3,15,3,7,2,2,0,0,0,0,0,1,1,0,0,0,0,1,0,3,2,2,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,5,4
35 - Φωκίδας,92 E.T. Δήμου Δωρίδος,527,329,4,2,6,323,182,49,85,29,67,11,17,24,13,2,5,2,30,1,24,1,6,2,2,1,5,3,0,0,0,0,0,0,0,0,0,0,4,2,1,1,6,5,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,3,2,3,2,0,0,1,0
35 - Φωκίδας,93 E.T. Δήμου Δωρίδος,326,155,2,1,3,152,70,13,32,23,32,4,23,4,15,7,7,0,18,6,8,1,2,1,0,1,4,0,4,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,1,1,0,0,0,0,2,2
35 - Φωκίδας,94 E.T. Δήμου Δωρίδος,267,129,2,1,3,126,63,9,40,10,29,7,13,2,4,1,3,0,18,2,12,0,5,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
35 - Φωκίδας,95 E.T. Δήμου Δωρίδος,160,72,1,0,1,71,22,17,1,3,22,4,15,0,4,1,2,1,14,1,12,0,2,1,1,0,3,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
35 - Φωκίδας,96 E.T. Δήμου Δωρίδος,287,126,0,0,0,126,37,11,14,8,42,7,19,8,11,5,4,0,20,1,17,1,2,0,0,0,1,0,0,0,3,2,0,0,0,0,4,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
35 - Φωκίδας,97 E.T. Δήμου Δωρίδος,45,23,0,0,0,23,11,4,6,0,2,0,1,1,0,0,0,0,6,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35 - Φωκίδας,98 E.T. Δήμου Δωρίδος,96,35,0,0,0,35,29,3,18,6,1,0,0,1,1,0,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,99 E.T. Δήμου Δωρίδος,268,170,2,0,2,168,88,19,33,26,31,8,16,6,21,5,5,3,7,1,1,3,3,2,0,0,0,0,0,0,5,5,1,0,0,0,2,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,4,3
35 - Φωκίδας,100 E.T. Δήμου Δωρίδος,208,67,1,0,1,66,27,11,12,3,12,1,2,0,3,3,0,0,19,4,11,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,101 E.T. Δήμου Δωρίδος,441,275,2,2,4,271,164,28,103,24,26,9,8,6,31,4,20,7,14,3,8,0,6,2,3,1,1,0,0,0,5,3,0,0,0,0,3,2,1,0,1,0,6,5,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,6
35 - Φωκίδας,102 E.T. Δήμου Δωρίδος,278,155,4,1,5,150,87,41,38,8,28,5,4,16,15,3,2,4,4,1,2,0,5,1,3,0,3,0,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,3,3
35 - Φωκίδας,103 E.T. Δήμου Δωρίδος,470,217,2,0,2,215,102,40,56,2,32,29,0,0,19,10,5,0,19,9,2,2,10,4,2,1,7,2,2,1,2,1,0,0,0,0,0,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,5,5,1,1,0,0,1,0,0,0,7,6
35 - Φωκίδας,104 E.T. Δήμου Δωρίδος,450,183,4,2,6,177,62,28,21,4,41,39,0,0,26,11,4,5,20,8,2,6,10,10,0,0,3,0,0,0,1,1,0,0,1,0,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,1,0,2,2
35 - Φωκίδας,105 E.T. Δήμου Δωρίδος,120,42,0,2,2,40,17,3,11,2,9,6,2,0,7,5,2,0,0,0,0,0,0,0,0,0,2,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,106 E.T. Δήμου Δωρίδος,343,157,2,3,5,152,78,38,36,3,29,5,1,19,7,4,1,1,12,7,2,1,8,5,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2,2,0,6,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
35 - Φωκίδας,107 E.T. Δήμου Δωρίδος,309,158,1,0,1,157,80,32,37,3,43,11,0,25,9,3,0,5,7,3,1,0,7,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,1,1,3,2,1,0,0,0,0,0,0,0,1,1
35 - Φωκίδας,108 E.T. Δήμου Δωρίδος,82,19,0,0,0,19,13,7,4,0,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
35 - Φωκίδας,109 E.T. Δήμου Δωρίδος,98,33,0,0,0,33,10,1,9,0,8,5,1,2,9,6,0,1,2,0,1,1,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
