ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΑΣΙΛΕΙΑΔΗΣ ΒΑΣΙΛΕΙΟΣ (ΛΑΚΗΣ) του Νικολάου,ΓΙΑΝΝΟΥ ΔΗΜΗΤΡΙΟΣ (ΤΑΚΗΣ) του Αριστείδη,ΚΑΡΑΣΜΑΝΗΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΠΟΖΙΔΟΥ ΝΙΚΟΛΕΤΤΑ (ΝΙΚΗ) του Οδυσσέα,ΣΑΡΑΛΙΩΤΟΥ ΜΑΡΙΑ του Θεοδώρου,ΣΤΑΜΕΝΙΤΗΣ ΔΙΟΝΥΣΙΟΣ (ΔΙΟΝΥΣΗΣ) του Ευαγγέλου,ΣΥΡΙΖΑ,ΔΑΝΤΣΗ ΠΑΡΑΣΚΕΥΗ (ΕΥΗ) του Τρύφωνα,ΜΠΑΛΤΖΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΜΠΑΜΠΑΛΗΣ ΑΛΚΙΒΙΑΔΗΣ (ΑΛΚΗΣ) του Χρήστου,ΣΗΦΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΣΤΑΥΡΙΔΟΥ ΣΟΦΙΑ του Κωνσταντίνου,ΤΖΑΚΡΗ ΘΕΟΔΩΡΑ του Εμμανουήλ,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΛΕΞΑΝΔΡΙΔΟΥ ΡΑΧΗΛ του Νικολάου,ΖΑΡΟΓΟΥΛΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Αριστοτέλη,ΝΟΥΣΗΚΥΡΟΥ ΑΛΚΙΒΙΑΔΗΣ (ΑΛΚΗΣ) του Γεωργίου,ΞΥΛΟΥΡΓΙΔΗΣ ΑΝΤΩΝΙΟΣ του Στυλιανού,ΠΑΠΑΔΑΚΗ ΚΥΡΙΑΚΗ (ΚΙΚΗ) του Γεωργίου,ΤΣΑΛΤΑΦΕΡΙΔΗΣ ΑΠΟΣΤΟΛΟΣ του Στυλιανού,Κ.Κ.Ε.,ΚΟΥΤΟΥΦΗΣ ΘΕΟΦΑΝΗΣ του Χριστόδουλου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΛΕΝΗ του Ιωάννη,ΠΑΠΑΔΟΠΟΥΛΟΥ ΟΛΥΜΠΙΑ του Νικολάου,ΣΟΥΜΕΛΙΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΤΣΙΤΣΑΓΚΑΣ ΧΑΡΑΛΑΜΠΟΣ του Ιωακείμ,ΧΑΤΖΗΒΑΣΙΛΕΙΑΔΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΓΕΩΡΓΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Στυλιανού,ΔΕΛΛΙΟΣ ΓΡΗΓΟΡΙΟΣ του Αντωνίου,ΚΟΥΚΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Ελευθερίου,ΜΠΑΛΑΤΣΟΥ ΠΕΡΙΣΤΕΡΑ ΣΤΕΛΛΑ του Ιωάννη,ΞΕΦΤΕΡΗΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΣΙΑΡΙΔΟΥ ΣΟΦΙΑ του Ευριπίδη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΚΑΡΥΠΙΔΗΣ ΣΟΦΟΚΛΗΣ του Κωνσταντίνου,ΚΟΓΙΟΥ ΕΛΕΝΗ του Ιωάννη,ΜΠΑΡΜΠΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΤΖΙΓΚΑΣ ΝΙΚΟΛΑΟΣ του Αναστασίου,ΤΟΠΑΛΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Χρυσοβέργη,ΤΣΑΚΙΡΙΔΗΣ-ΠΑΛΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ (ΧΑΡΗΣ) του Σάββα,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΤΣΙΚΟΥ ΓΕΩΡΓΙΑ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΒΟΝΤΣΗ ΣΩΤΗΡΙΑ του Δημητρίου,ΖΑΓΓΑΝΑΣ ΠΑΝΑΓΙΩΤΗΣ του Ταξιάρχη,Ο.Κ.Δ.Ε.,ΓΑΤΣΟΥ ΙΟΡΔΑΝΑ του Ευαγγέλου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΑΛΚΑΝΗ ΙΦΙΓΕΝΕΙΑ του Ιωάννη,ΚΑΤΛΑΜΟΥΣΗ ΙΩΑΝΝΑ του Δημητρίου,ΚΕΧΑΓΙΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννου,ΛΟΥΣΙΩΤΗΣ ΝΙΚΟΛΑΟΣ του Πέτρου,Κίνημα 21,ΓΟΥΓΟΥΛΙΑΣ ΤΡΙΑΝΤΑΦΥΛΛΟΣ του Χρήστου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΖΙΑΝΝΗ ΠΑΝΑΓΙΩΤΑ του Γεωργίου,ΚΟΥΦΑΛΗΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνος,ΛΙΑΚΟΥΛΗ ΦΑΝΗ του Ιωάννη,ΠΑΠΑΔΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Παύλου,ΝΙΚΗ,ΒΑΣΙΛΕΙΑΔΗΣ ΑΝΤΩΝΙΟΣ του Ιωάννη,ΓΑΛΑΝΤΑΡΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΚΑΡΑΣΑΒΒΙΔΗΣ ΓΕΩΡΓΙΟΣ του Βιτάνη,ΜΑΚΡΙΔΗΣ ΣΤΑΥΡΟΣ του Κωνσταντίνου,ΜΑΡΑΝΤΙΔΟΥ ΓΕΩΡΓΙΑ του Βασιλείου,ΤΑΒΟΥΛΑΡΗ ΕΛΕΝΗ του Αναστασίου,κοινωνία αξιών,ΧΑΡΑΛΑΜΠΟΥΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΓΙΑΝΝΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Ευάγγελου,ΔΗΜΗΤΡΙΑΔΟΥ ΑΝΤΩΝΙΑ του Κυριάκου,Ο.Α.Κ.Κ.Ε.,ΓΚΙΟΥΛΑΚΗΣ ΣΤΕΡΓΙΟΣ του Κωνσταντίνου,Μ-Λ Κ.Κ.Ε.,ΣΟΥΛΙΩΤΗ ΣΟΦΙΑ του Κωνσταντίνου,Ελλήνων Συνέλευσις,ΔΙΠΛΑΡΙΔΟΥ ΕΙΡΗΝΗ του Κωνσταντίνου,ΔΙΣΚΟΥ ΠΑΡΑΣΚΕΥΗ του Παύλου,ΜΑΤΖΑΡΗΣ ΑΡΙΣΤΕΙΔΗΣ του Γεωργίου,ΠΟΥΤΑΚΙΔΗΣ ΓΕΩΡΓΙΟΣ του Θεμιστοκλή,ΣΤΡΕΠΚΟΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,Ένωση Κεντρώων,ΑΒΑΝΙΔΟΥ ΒΑΣΙΛΙΚΗ του Προδρόμου,ΚΥΖΥΡΙΔΟΥ ΕΙΡΗΝΗ του Θεόφιλου,ΤΣΟΥΜΑΣ ΒΑΣΙΛΕΙΟΣ του Παναγιώτη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΑΡΟΥΤΙΟΥΝΙΑΝ- ΔΗΜΗΤΡΙΑΔΟΥ ΙΡΜΑ- ΕΙΡΗΝΗ του Ράφαελ,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΩΣΤΑ ΑΘΑΝΑΣΙΑ του Σταύρου,ΟΥΡΕΪΛΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Χρήστου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΒΕΛΤΣΟΥ ΜΑΡΙΑ του Οδυσσέα,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΧΑΤΖΗΜΙΧΑΗΛ ΑΝΤΩΝΙΟΣ του Ζαχαρία,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΤΣΟΡΜΠΑΤΖΟΓΛΟΥ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΝΙΚΟΛΑΪΔΗΣ ΝΙΚΟΛΑΟΣ του Γρηγορίου,ΕΑΝ...,ΔΕΛΗΧΑΤΖΟΓΛΟΥ ΠΡΟΔΡΟΜΟΣ του Ελευθερίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΛΕΥΚΗ ΜΑΡΙΝΑ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΟΠΑΝΟΓΛΟΥ ΕΥΣΤΡΑΤΙΟΣ του Ευθυμίου
11 - Πέλλας,96 E.T. Δήμου Έδεσσας,533,323,5,4,9,314,122,40,82,27,8,5,22,54,18,4,2,14,6,36,43,8,0,16,21,11,0,13,1,4,1,3,7,1,15,5,2,6,2,1,3,5,0,1,0,1,1,0,5,4,0,0,0,0,0,3,1,2,1,2,0,0,7,1,0,1,0,32,5,9,4,1,19,5,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,6
11 - Πέλλας,97 E.T. Δήμου Έδεσσας,537,323,5,1,6,317,101,27,66,23,6,1,17,71,32,3,0,14,4,43,44,5,3,11,20,25,1,25,2,7,3,6,14,3,16,5,5,5,1,2,2,7,3,4,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,4,1,0,0,1,21,6,9,2,5,12,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,5,2,1,0,0,0,1,1,1,0,0,0,0,4,2,1,0,0,0,0,0,12,5
11 - Πέλλας,98 E.T. Δήμου Έδεσσας,525,326,12,2,14,312,113,33,77,21,7,9,16,69,28,7,5,12,7,42,38,6,3,10,20,11,1,15,4,5,0,5,8,3,23,6,6,7,4,4,4,5,1,0,0,3,2,0,0,0,0,0,0,0,0,6,1,1,3,5,1,0,2,0,0,1,1,22,7,8,1,3,12,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,3,3,2,0,1,0,1,1,0,0,7,4
11 - Πέλλας,99 E.T. Δήμου Έδεσσας,550,356,9,1,10,346,116,46,77,21,11,10,19,72,24,3,6,11,9,46,59,6,1,20,25,24,1,7,0,3,1,1,3,1,22,11,8,4,4,4,0,7,2,1,0,3,2,0,1,1,3,1,0,0,0,3,0,0,0,0,4,3,7,1,2,0,5,22,3,4,1,4,17,3,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,5,4,2,0,0,2,2,3,3,3,1,0,0,0,0,7,6
11 - Πέλλας,100 E.T. Δήμου Έδεσσας,526,320,3,1,4,316,118,47,80,22,10,11,16,71,33,3,5,11,9,45,45,10,3,13,23,18,0,12,2,4,3,2,5,2,22,12,5,6,5,1,2,6,1,2,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,1,0,16,3,2,2,2,10,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,2,1,4,3,1,1,1,1,0,0,7,5
11 - Πέλλας,101 E.T. Δήμου Έδεσσας,525,301,7,0,7,294,96,33,59,21,6,3,24,60,27,3,3,16,8,43,40,4,0,13,18,15,1,13,2,0,1,3,4,1,28,11,11,8,4,4,7,9,3,3,0,2,2,1,1,1,0,0,0,0,0,4,0,1,1,3,2,1,5,3,1,1,2,17,1,3,0,1,9,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,2,1,0,0,0,0,0,0,0,0,0,1,0,9,4
11 - Πέλλας,102 E.T. Δήμου Έδεσσας,538,305,0,3,3,302,106,35,65,23,4,6,12,59,22,2,3,12,3,39,46,5,3,18,17,14,1,23,2,6,1,8,12,1,9,2,1,3,2,0,4,4,1,0,0,0,1,0,2,2,0,0,0,1,1,2,2,1,0,0,0,0,3,1,0,0,0,25,6,2,7,2,19,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,2,2,2,2,0,1,1,0,0,0,0,4,0,8,6
11 - Πέλλας,103 E.T. Δήμου Έδεσσας,537,322,6,2,8,314,113,35,67,24,10,5,17,84,26,3,4,23,10,46,28,1,3,12,7,11,0,10,1,1,0,2,6,2,15,4,5,2,3,1,4,12,3,2,2,2,4,2,1,1,0,0,0,0,0,2,0,1,0,1,2,1,3,0,0,0,2,25,4,5,6,2,12,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,3,1,1,2,0,0,1,1,1,0,0,2,2,0,0,1,1,3,1,0,0,8,6
11 - Πέλλας,104 E.T. Δήμου Έδεσσας,500,289,7,3,10,279,111,33,65,23,7,6,17,53,17,2,1,13,5,27,32,1,2,12,17,10,0,12,0,4,0,3,6,0,18,6,5,4,1,1,4,5,1,2,0,1,2,1,2,2,2,1,0,0,0,2,0,0,0,2,1,1,2,0,0,0,1,20,5,8,1,3,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,1,0,1,1,2,1,0,0,0,0,10,5
11 - Πέλλας,105 E.T. Δήμου Έδεσσας,404,278,2,2,4,274,87,43,41,18,1,6,22,52,10,0,1,11,6,40,55,22,2,24,22,11,1,15,3,4,3,3,6,2,29,5,6,16,2,0,1,9,1,1,1,2,1,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,1,0,0,0,0,13,3,3,0,1,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,1,0,4,4
11 - Πέλλας,106 E.T. Δήμου Έδεσσας,553,353,11,0,11,342,126,48,63,49,5,3,24,69,17,3,3,20,4,47,68,12,2,24,31,28,0,9,1,0,0,1,6,0,18,12,6,3,0,2,2,3,0,1,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,1,2,2,2,1,1,0,0,21,3,7,3,1,7,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,0,3,2,0,0,0,4,2,1,1,1,0,0,0,0,0,7,5
11 - Πέλλας,107 E.T. Δήμου Έδεσσας,562,373,2,1,3,370,132,55,62,67,3,2,18,91,35,2,0,5,3,79,72,7,0,27,44,27,2,10,2,2,2,0,3,1,21,4,8,7,3,2,6,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,1,1,0,2,1,0,0,0,17,6,3,1,3,8,3,0,0,1,1,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,1,1,7,6,2,0,0,3,2,1,0,1,0,0,0,0,0,4,3
11 - Πέλλας,108 E.T. Δήμου Έδεσσας,627,348,12,1,13,335,138,54,29,67,5,26,51,73,15,1,0,9,2,63,43,14,3,14,12,17,0,5,0,0,3,0,5,0,14,4,5,0,1,1,2,5,0,1,0,4,0,1,10,4,1,1,0,0,0,6,6,5,0,0,0,0,0,0,0,0,0,26,3,10,3,4,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,2,1,1,8,3
11 - Πέλλας,109 E.T. Δήμου Έδεσσας,387,266,8,0,8,258,116,52,69,35,2,4,10,55,24,2,0,3,1,49,55,9,0,2,34,24,0,7,1,5,0,0,1,3,8,2,3,2,1,2,1,2,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,3,0,0,0,0,0,0,7,1,2,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
11 - Πέλλας,110 E.T. Δήμου Έδεσσας,360,268,1,2,3,265,94,48,51,15,2,2,14,77,25,9,1,8,6,71,48,11,2,17,14,22,1,8,3,2,0,1,1,1,18,6,3,0,7,0,8,4,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,6,1,1,0,0,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,1
11 - Πέλλας,111 E.T. Δήμου Έδεσσας,570,453,4,0,4,449,151,75,67,30,2,26,31,118,35,1,0,12,18,109,89,22,0,24,38,46,2,23,2,9,0,0,14,3,28,10,12,7,4,1,4,10,3,1,0,2,1,0,1,0,0,0,0,0,0,2,0,0,0,2,2,2,1,1,0,1,0,12,3,2,1,2,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,0,0,0,0,0,2,2,0,0,1,0,1,1,0,0,3,2
11 - Πέλλας,112 E.T. Δήμου Έδεσσας,377,280,6,1,7,273,127,50,99,31,0,5,15,48,20,2,0,4,1,44,25,3,1,7,16,9,0,4,2,1,0,2,0,1,25,8,7,8,3,1,1,3,0,1,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,0,2,2,0,0,1,13,2,3,0,2,8,2,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,0
11 - Πέλλας,113 E.T. Δήμου Έδεσσας,383,253,3,1,4,249,79,31,53,19,3,2,8,56,26,0,1,7,2,51,37,3,0,11,18,14,0,8,1,2,0,2,4,1,32,5,14,20,2,1,1,4,1,2,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,12,2,0,2,2,8,1,0,0,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,1,1,1,0,0,0,0,2,1
11 - Πέλλας,114 E.T. Δήμου Έδεσσας,386,268,2,1,3,265,92,40,61,15,4,3,8,58,15,0,0,3,9,54,45,6,1,16,22,22,0,8,4,1,0,6,1,0,22,7,3,7,3,1,3,2,0,0,0,1,0,0,3,2,0,0,0,0,0,4,1,0,2,2,3,1,4,1,1,1,2,12,2,1,0,1,5,3,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,4,3
11 - Πέλλας,115 E.T. Δήμου Έδεσσας,690,400,3,1,4,396,148,79,74,47,15,7,17,97,25,0,0,15,13,91,63,12,0,17,31,25,0,11,1,4,0,3,5,1,23,6,7,8,1,0,3,2,0,2,0,1,0,0,2,2,1,0,0,0,0,1,0,0,0,0,3,2,3,1,1,0,1,14,1,5,2,0,6,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,6,5,2,4,1,1,0,0,0,1,1,3,2,1,1,2,1,0,0,3,1,9,4
11 - Πέλλας,116 E.T. Δήμου Έδεσσας,486,379,8,3,11,368,86,59,37,26,1,2,11,133,58,6,2,13,5,119,64,10,0,15,22,38,0,9,3,0,1,3,4,1,28,9,10,4,4,2,2,9,1,4,0,4,2,0,3,1,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,20,3,5,4,9,12,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,1,0,0,3,1,1,0,0,0,0,0,3,1
11 - Πέλλας,117 E.T. Δήμου Έδεσσας,412,276,4,0,4,272,105,49,48,28,20,5,14,58,12,0,0,10,15,45,26,14,2,7,9,12,0,13,2,1,0,2,5,2,17,7,3,3,2,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,2,2,3,1,0,0,1,24,5,4,3,8,15,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,2,2,1,0,0,0,1,1,0,0,3,3,1,1,0,0,0,0,8,6
11 - Πέλλας,118 E.T. Δήμου Έδεσσας,422,252,3,0,3,249,83,36,57,13,6,6,12,71,22,2,3,8,14,60,25,8,2,7,14,8,0,6,0,1,0,1,4,1,15,6,7,5,1,1,4,1,0,0,0,1,0,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,3,0,0,1,0,29,8,11,2,6,15,4,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,3,0,1,3,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,4,4
11 - Πέλλας,119 E.T. Δήμου Έδεσσας,444,280,8,5,13,267,77,30,54,11,11,1,16,65,20,3,7,8,9,51,37,16,1,9,20,7,0,16,0,5,0,8,5,3,15,2,4,1,5,0,7,4,1,1,0,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,26,4,7,3,9,15,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,2,1,1,1,0,2,1,2,1,1,1,1,1,1,0,0,0,8,7
11 - Πέλλας,120 E.T. Δήμου Έδεσσας,447,270,1,2,3,267,101,33,73,16,1,8,8,81,44,0,4,10,1,71,38,6,1,12,21,13,20,10,2,4,0,2,7,0,8,2,5,2,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,0,0,0,2,4,4,0,0,0,0,0,5,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,2,5,2,2,2,0,0,2,2
11 - Πέλλας,121 E.T. Δήμου Έδεσσας,423,241,7,0,7,234,95,38,70,13,3,5,9,59,26,2,2,3,3,48,35,8,0,11,16,13,2,9,2,3,0,0,2,1,13,1,7,1,0,3,1,2,0,0,0,0,0,1,3,3,0,0,0,0,0,4,0,0,0,4,0,0,1,0,0,1,0,7,1,2,1,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2
11 - Πέλλας,122 E.T. Δήμου Έδεσσας,247,172,3,0,3,169,75,41,28,15,1,3,34,36,11,0,4,11,1,32,18,1,0,5,10,4,1,3,0,0,1,1,3,0,11,4,3,1,1,0,4,2,0,1,0,1,0,0,0,0,1,1,1,0,0,6,0,0,0,4,0,0,1,0,1,0,1,9,2,0,2,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,1,0,2,2
11 - Πέλλας,123 E.T. Δήμου Έδεσσας,366,268,3,1,4,264,127,60,70,35,4,5,11,49,20,2,0,5,3,41,39,7,0,11,18,15,0,16,2,6,1,3,10,5,14,5,8,4,1,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,6,0,1,0,0,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,3,2
11 - Πέλλας,124 E.T. Δήμου Έδεσσας,352,255,1,0,1,254,88,48,49,26,1,2,14,78,26,2,0,9,15,68,29,4,1,6,11,19,0,24,4,5,4,4,10,7,15,6,8,3,0,0,4,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,3,2,1,0,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,4
11 - Πέλλας,125 E.T. Δήμου Έδεσσας,295,219,4,0,4,215,60,32,26,21,2,3,19,34,8,0,0,1,3,33,98,4,0,16,19,90,0,1,0,1,1,0,0,0,13,6,10,1,1,0,2,1,0,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
11 - Πέλλας,126 E.T. Δήμου Πέλλας,537,328,9,1,10,318,123,62,8,41,1,3,72,63,4,10,19,12,6,40,16,5,9,1,2,1,2,17,4,2,8,4,0,10,36,16,12,4,7,3,10,8,1,2,1,3,0,2,2,2,0,0,0,0,0,1,0,0,0,0,2,2,2,0,0,0,0,16,5,7,2,0,3,4,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,5,2,4,3,4,0,0,0,0,3,2,1,0,3,1,1,0,12,9
11 - Πέλλας,127 E.T. Δήμου Πέλλας,531,328,18,1,19,309,114,73,6,24,4,3,53,58,7,9,22,9,3,29,30,4,19,0,4,5,8,23,6,4,8,0,0,12,26,15,7,2,2,4,10,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,26,15,16,0,0,3,1,0,0,0,0,0,1,0,1,0,3,2,0,2,0,0,3,2,1,1,1,1,1,1,1,0,0,2,2,1,1,2,1,0,0,0,0,10,5
11 - Πέλλας,128 E.T. Δήμου Πέλλας,523,326,6,0,6,320,138,69,14,32,8,7,78,56,5,19,14,10,2,33,41,12,25,1,5,8,7,9,3,1,3,0,0,5,18,10,3,0,1,3,1,3,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,2,0,0,1,0,4,1,2,1,0,21,18,8,4,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,1,1,0,0,2,2,0,0,2,2,0,0,16,10
11 - Πέλλας,129 E.T. Δήμου Πέλλας,530,345,5,1,6,339,125,66,11,24,1,3,78,63,4,5,20,7,5,41,31,16,16,4,3,4,5,25,8,1,12,1,3,14,29,12,4,3,2,0,6,6,1,1,0,0,0,2,0,0,0,0,0,1,1,1,1,0,0,0,2,0,5,0,0,0,0,21,10,10,3,0,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,6,3,2,0,0,0,0,0,0,2,1,1,0,0,0,18,9
11 - Πέλλας,130 E.T. Δήμου Πέλλας,529,360,7,2,9,351,144,78,5,30,10,12,78,64,3,12,11,8,4,45,38,14,20,0,0,5,8,18,6,2,6,2,0,7,27,14,4,3,3,2,4,7,2,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,20,13,9,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,4,3,3,0,0,0,0,2,1,0,0,1,1,0,0,17,9
11 - Πέλλας,131 E.T. Δήμου Πέλλας,526,351,5,3,8,343,158,88,10,30,5,6,78,61,4,7,24,10,8,34,24,7,11,0,1,1,10,16,3,1,8,2,0,10,17,7,4,2,3,1,2,6,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,1,0,28,23,17,1,0,2,3,2,1,0,0,0,0,0,0,0,1,0,1,0,0,1,3,1,2,0,0,0,3,1,1,0,0,1,1,2,1,0,0,0,0,2,2,14,9
