ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΝΤΩΝΙΟΥ-ΧΟΥΒΑΡΔΑ ΕΥΤΥΧΙΑ (ΕΦΗ) του Βασιλείου,ΚΑΘΗΝΙΩΤΗ ΟΥΡΑΝΙΑ του Λουκά,ΛΙΟΥΠΗΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΜΑΚΡΗ ΖΩΗ (ΖΕΤΤΑ) του Μιχαήλ,ΜΑΡΑΒΕΓΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αριστοτέλη,ΜΠΟΥΚΩΡΟΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΤΡΙΑΝΤΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΣΥΡΙΖΑ,ΑΡΑΜΠΑΤΖΗΣ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Αλέξανδρου,ΔΡΑΜΗΤΙΝΟΣ ΜΑΤΘΑΙΟΣ (ΜΑΝΘΟΣ) του Γεωργίου,ΜΕΪΚΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ του Μιχαήλ,ΠΑΠΑΝΑΤΣΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Στεργίου,ΣΤΑΧΤΟΥ ΕΥΘΑΛΙΑ (ΘΑΛΕΙΑ) του Παναγιώτη,ΦΑΔΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,ΧΡΥΣΟΒΕΛΩΝΗ ΜΑΡΙΝΑ του Γεωργίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΟΣΠΟΔΙΝΗ (ΑΣΠΑ) ΑΝΑΣΤΑΣΙΑ - ΑΣΠΑΣΙΑ του Δημητρίου,ΚΑΝΑΒΟΣ ΑΠΟΣΤΟΛΟΣ του Λάμπρου,ΟΥΤΑ ΜΑΡΙΑ του Σωτηρίου,ΣΚΡΙΜΠΑΣ ΑΘΑΝΑΣΙΟΣ (ΣΑΚΗΣ) του Κωνσταντίνου,ΤΖΟΥΜΑΣ ΝΙΚΟΛΑΟΣ του Βασιλείου,ΤΣΕΚΟΥΡΑ ΠΑΡΑΣΚΕΥΗ (ΒΙΚΥ) του Κωνσταντίνου,ΤΣΙΜΠΑΝΑΚΟΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,Κ.Κ.Ε.,ΓΕΩΡΓΑΔΑΚΗΣ ΘΕΟΔΩΡΟΣ του Στυλιανού,ΜΕΤΑΞΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΙΩΑΝΝΑ του Χριστόφιλου,ΡΙΖΟΠΟΥΛΟΣ ΑΠΟΣΤΟΛΟΣ του Δημητρίου,ΤΑΛΑΔΙΑΝΟΥ ΕΥΛΑΛΙΑ (ΕΥΗ) του Νικολάου,ΤΑΣΟΛΑΜΠΡΟΥ ΧΡΥΣΟΥΛΑ του Θεοδώρου,ΤΖΙΟΥΜΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Σωτηρίου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΓΡΑΦΙΩΤΗΣ ΑΓΓΕΛΟΣ του Παναγιώτη,ΑΛΕΞΙΟΥ ΕΙΡΗΝΗ ΑΙΚΑΤΕΡΙΝΗ του Ελευθερίου,ΑΡΜΕΝΤΖΙΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΒΑΪΡΑΜΗΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,ΜΑΡΙΤΣΟΥΔΗ ΑΘΑΝΑΣΙΑ του Δημητρίου,ΜΑΡΚΑΚΗΣ ΠΑΥΛΟΣ του Γεωργίου,ΠΑΡΑΠΑΡΕΚΗ ΜΑΓΔΑΛΗΝΗ του Νικολάου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΒΑΛΑΜΟΥΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΚΑΝΕΛΛΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΚΑΡΑΜΑΝΛΗ ΑΓΑΠΗ του Γεωργίου,ΜΠΑΛΛΑ ΑΙΚΑΤΕΡΙΝΗ του Ιωάννη,ΜΠΕΦΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Γεωργίου,ΤΖΑΝΕΤΟΥΛΑΚΟΥ ΕΥΤΥΧΙΑ (ΦΑΙΗ) του Σπυρίδωνα,ΨΑΘΑΣ ΒΑΣΙΛΕΙΟΣ-ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΜΑΣΤΟΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΑΝΔΡΕΑΤΟΣ ΓΡΗΓΟΡΙΟΣ του Γερασίμου,ΒΛΑΧΟΣΤΑΜΑΤΗΣ ΕΜΜΑΝΟΥΗΛ του Παντελή,ΚΟΥΤΣΙΜΠΟΥ ΕΛΕΝΗ του Στυλιανού,Ο.Κ.Δ.Ε.,ΠΡΙΓΚΟΥ ΜΑΡΙΑ του Ιωάννη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΕΡΟΓΙΑΚΟΜΟΥ ΑΡΓΥΡΩ (ΡΟΥΛΑ) του Ανδρέα,ΕΥΑΓΓΕΛΑΚΟΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΚΑΤΣΙΑΜΠΟΥΡΑ ΑΣΠΑΣΙΑ του Νικολάου,ΡΕΚΟΥΝΑΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΣΤΕΦΑΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Βασιλείου,ΤΣΙΟΥΝΗΣ ΑΝΑΣΤΑΣΙΟΣ του Κωνσταντίνου,ΧΑΤΖΗΝΙΚΟΛΑΟΥ ΜΑΡΙΑ του Νικολάου,Κίνημα 21,ΓΕΡΟΔΗΜΟΥ ΑΓΓΕΛΑ του Απόστολου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΜΩΡΑΪΤΗΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΑΣΑΜΠΑΛΗΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου,ΛΙΒΙΤΣΑΝΟΥ ΕΙΡΗΝΗ του Λάμπρου,ΝΙΚΗ,ΓΕΩΡΓΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Στεφάνου,ΓΙΩΤΑΚΟΣ ΑΠΟΣΤΟΛΟΣ του Δημοσθένη,ΜΠΑΓΛΑΤΖΗ ΞΕΝΙΑ- ΣΟΦΙΑ του Γεωργίου,ΣΕΚΕΡΤΖΗΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,ΣΚΟΥΡΓΙΑ ΕΛΕΝΗ του Νικολάου,κοινωνία αξιών,ΡΟΔΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΒΑΛΟΥΞΗ (ΜΠΑΛΟΥΞΗ) ΓΕΩΡΓΙΑ του Δημητρίου,ΚΑΡΑΔΗΜΟΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΧΑΣΙΩΤΗΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,Ο.Α.Κ.Κ.Ε.,ΧΡΗΣΤΟΥ ΓΡΗΓΟΡΙΟΣ του Παναγιώτη,Μ-Λ Κ.Κ.Ε.,ΜΑΡΓΑΡΙΤΗΣ ΓΑΒΡΙΗΛ του Σταύρου,Ελλήνων Συνέλευσις,ΡΟΪΔΗ ΙΩΑΝΝΑ ΜΑΡΙΑ του Βασιλείου,Ένωση Κεντρώων,ΖΑΦΕΙΡΗΣ ΔΗΜΗΤΡΙΟΣ του Τρύφωνα,ΚΑΒΑΔΕΛΛΑ ΑΘΗΝΑ - ΕΛΕΥΘΕΡΙΑ του Κωνσταντίνου,ΚΑΡΒΕΛΗ ΙΩΑΝΝΑ του Γεωργίου,ΚΟΥΤΣΟΡΙΖΟΣ ΑΓΓΕΛΟΣ - ΝΙΚΟΛΑΟΣ του Τιμολέωντα,ΦΟΥΡΝΑΡΗΣ ΑΠΟΣΤΟΛΟΣ - ΓΕΩΡΓΙΟΣ του Ιωάννη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΕΡΓΑ ΑΙΚΑΤΕΡΙΝΗ του Κωνσταντίνου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΚΑΓΙΑΝΝΗΣ ΧΡΗΣΤΟΣ του Ευσταθίου,ΜΑΥΡΟΜΜΑΤΗ ΚΑΙΡΟΥ (ΚΕΡΗ) του Παναγιώτη,ΠΑΠΑΔΟΥΛΗ ΧΑΡΙΚΛΕΙΑ του Νικολάου,ΤΖΙΒΙΝΙΚΟΣ ΘΕΟΔΩΡΟΣ του Αθανασίου,ΦΥΚΑΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΝΕΑ ΔΟΜΗ,ΠΟΛΥΖΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΡΟΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΓΡΗΓΟΡΙΟΥ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΑΤΣΟΥΡΑ ΕΥΑΓΓΕΛΙΑ του Τριαντάφυλλου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΒΟΥΛΓΑΡΗ ΕΙΡΗΝΗ - ΧΡΥΣΟΒΑΛΑΝΤΟΥ του Εμμανουήλ,ΚΑΡΒΕΛΗ ΙΩΑΝΝΑ του Δημητρίου,ΛΕΒΕΝΤΗΣ ΣΤΕΦΑΝΟΣ του Θεμιστοκλή,ΜΑΚΡΟΓΙΑΝΝΗΣ ΔΗΜΗΤΡΙΟΣ του Ηλία,ΜΠΑΖΑΝΟΣ ΑΛΕΞΑΝΔΡΟΣ - ΣΤΕΦΑΝΟΣ του Νικολάου,ΦΥΣΕΚΗ ΣΟΦΙΑ του Νικολάου,Οικολόγοι Πράσινοι,ΠΟΛΙΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Φωκίωνα,ΕΑΝ...,ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΦΥΣΕΝΤΖΙΔΗΣ ΚΩΣΤΑΣ του Πέτρου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΑΪΡΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΚΟΝΤΟΓΙΑΝΝΗ ΑΝΝΑ του Λαυρεντίου,ΚΟΥΚΟΥΒΙΝΟΥ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΜΑΓΚΟΥΡΙΤΣΑΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΠΑΤΣΙΑΝΤΑΣ ΜΑΡΓΑΡΙΤΗΣ του Ρήγα,ΠΟΛΥΖΟΥ ΙΩΑΝΝΑ του Αθανασίου,ΦΡΑΓΚΟΥΔΑΚΗ ΕΥΓΕΝΙΑ του Ελευθερίου
23 - Μαγνησίας,21 E.T. Δήμου Αλμυρού,473,312,4,2,6,306,167,3,1,11,50,21,77,95,54,6,1,20,42,0,1,16,28,1,13,22,2,0,3,4,14,6,5,1,2,0,1,4,10,4,0,4,0,1,2,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,10,4,2,6,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,0,2,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,7,3,0,0,1,0,3,5
23 - Μαγνησίας,22 E.T. Δήμου Αλμυρού,292,197,3,0,3,194,128,4,0,23,23,14,91,50,24,2,2,5,12,0,0,6,14,0,0,9,1,0,0,2,9,1,0,2,1,1,1,0,6,2,0,0,0,1,0,0,4,1,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,0,1,3,1,0
23 - Μαγνησίας,23 E.T. Δήμου Αλμυρού,527,372,10,3,13,359,190,12,3,27,47,24,81,104,47,7,3,27,22,2,0,14,24,7,2,15,3,4,2,1,21,6,8,2,2,0,2,2,14,1,1,0,6,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,45,2,0,44,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,3,1,0,0,0,0,5,0,0,0,0,1,1,2
23 - Μαγνησίας,24 E.T. Δήμου Αλμυρού,229,138,5,0,5,133,71,1,0,10,3,7,54,28,16,2,1,9,4,4,0,2,17,0,7,16,0,0,1,1,10,7,8,1,2,0,0,0,7,4,2,0,0,0,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
23 - Μαγνησίας,25 E.T. Δήμου Αλμυρού,374,261,4,1,5,256,126,2,3,28,26,10,59,67,48,7,2,12,34,4,4,11,22,3,10,15,1,0,4,2,17,4,3,0,2,2,2,0,2,2,0,1,0,0,1,0,10,5,2,3,2,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,1,1,1,1,5,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,4,3,3,1,0,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,2,1,1,2
23 - Μαγνησίας,26 E.T. Δήμου Αλμυρού,372,247,3,2,5,242,129,2,0,20,38,9,62,69,45,1,2,8,34,0,0,7,21,0,5,10,2,0,5,4,16,2,5,2,2,1,2,0,8,5,3,0,0,0,1,0,6,0,2,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,2,0,1,0
23 - Μαγνησίας,27 E.T. Δήμου Αλμυρού,195,136,0,1,1,135,93,15,0,15,21,8,35,64,10,0,0,1,6,1,0,5,19,1,5,12,0,0,0,12,1,0,0,0,1,1,0,0,6,1,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
23 - Μαγνησίας,28 E.T. Δήμου Αλμυρού,337,212,3,0,3,209,140,36,1,23,23,14,45,84,40,4,2,14,21,4,1,7,8,2,4,6,1,1,1,0,3,0,0,0,0,0,0,0,6,3,2,0,0,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0
23 - Μαγνησίας,29 E.T. Δήμου Αλμυρού,330,206,4,0,4,202,130,30,1,19,25,6,56,73,22,0,4,4,11,3,0,5,13,5,0,6,1,0,1,1,8,0,0,2,1,0,1,2,13,8,4,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,3,1,1,0,1,0,1,1
23 - Μαγνησίας,30 E.T. Δήμου Αλμυρού,360,237,5,1,6,231,75,1,0,8,14,9,32,41,59,5,3,14,32,9,2,14,40,3,5,19,3,1,6,15,19,6,3,5,3,4,1,2,8,7,1,3,0,0,0,1,7,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,10,1,0,0,0,0,10,0,0,0,0,0,0,4,0,2,0,0,0,1,0
23 - Μαγνησίας,31 E.T. Δήμου Αλμυρού,371,254,2,0,2,252,136,5,1,26,34,16,54,79,33,3,5,7,18,2,2,9,29,2,6,16,3,2,11,6,17,1,9,2,3,2,6,4,16,6,1,0,0,0,1,2,3,0,1,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,1,1,2,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0
23 - Μαγνησίας,32 E.T. Δήμου Αλμυρού,346,251,1,1,2,249,124,12,1,26,36,10,57,63,47,3,1,16,28,7,5,6,24,2,5,9,5,1,6,3,17,7,12,0,6,1,0,0,7,5,3,0,0,1,2,0,3,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,3,2,2,8,4,6,1,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,1,2,0,0,0,0,1
23 - Μαγνησίας,33 E.T. Δήμου Αλμυρού,470,297,10,1,11,286,152,8,3,22,45,18,80,65,45,6,3,12,30,4,0,7,26,3,2,9,5,2,5,12,14,4,4,4,6,1,3,1,10,5,5,0,0,0,0,2,9,1,3,2,1,0,3,1,2,2,1,0,0,1,0,0,2,1,0,0,1,0,0,0,1,1,1,1,2,2,0,6,1,2,1,0,3,0,0,4,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,1,0,1,1,0,0,0,2,1,3,1,0,0,0,0,0,0
23 - Μαγνησίας,34 E.T. Δήμου Αλμυρού,460,279,6,2,8,271,135,21,2,14,44,14,67,69,45,8,5,12,19,4,4,6,31,5,6,8,1,3,9,13,12,5,3,0,3,0,2,1,7,6,3,1,0,0,2,0,6,1,1,0,0,0,0,0,2,1,2,0,0,2,0,0,4,2,0,1,0,3,0,0,2,2,0,0,0,0,0,7,4,0,4,0,2,0,0,6,2,0,6,0,0,1,1,0,0,1,0,0,0,0,1,0,0,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,1,0,1,1,1
23 - Μαγνησίας,35 E.T. Δήμου Αλμυρού,447,275,5,2,7,268,163,7,1,30,57,22,87,60,30,4,5,5,11,4,2,11,25,4,3,4,5,0,6,7,7,2,2,0,1,2,3,2,5,3,1,0,1,1,1,0,4,0,1,1,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,5,2,1,2,2,0,0,0,7,0,2,7,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,2,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,11,1,3,3,1,4,4,3
23 - Μαγνησίας,36 E.T. Δήμου Αλμυρού,228,160,1,0,1,159,85,5,2,24,18,13,29,38,40,3,2,6,33,2,1,13,20,3,6,9,3,2,7,2,3,1,0,2,0,1,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,1,0,1,1,1
23 - Μαγνησίας,37 E.T. Δήμου Αλμυρού,55,41,0,0,0,41,20,0,0,4,5,1,11,12,15,2,0,12,9,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23 - Μαγνησίας,38 E.T. Δήμου Αλμυρού,250,173,2,0,2,171,81,5,1,24,25,5,15,54,19,1,1,7,6,2,1,3,16,2,8,7,0,0,1,8,27,5,8,3,5,0,11,5,4,2,1,0,0,0,0,2,4,2,1,1,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,3,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,0,0,1,2,0
23 - Μαγνησίας,39 E.T. Δήμου Αλμυρού,530,338,11,2,13,325,131,9,6,30,49,25,80,63,78,9,5,39,36,4,2,15,15,4,3,11,0,0,3,1,46,29,26,5,5,6,2,5,8,4,3,1,1,3,1,1,13,5,2,1,2,0,0,1,0,0,0,0,0,0,0,0,3,2,0,2,0,1,0,1,1,0,3,2,0,0,0,8,2,1,3,2,4,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,8,2,3,2,2,1,1,1
23 - Μαγνησίας,40 E.T. Δήμου Αλμυρού,476,292,4,1,5,287,145,12,0,23,28,23,68,83,38,3,2,6,15,1,0,2,42,3,8,31,1,0,6,3,22,7,4,3,1,5,2,0,3,0,0,0,1,0,1,0,5,2,0,0,0,0,0,1,2,2,3,3,0,3,0,0,2,0,0,0,0,0,0,0,1,1,2,1,0,0,0,14,2,4,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,1,1,0
23 - Μαγνησίας,41 E.T. Δήμου Αλμυρού,274,177,0,1,1,176,100,3,0,19,23,12,40,53,28,7,3,12,11,1,0,6,13,2,3,3,0,0,2,3,4,0,0,0,2,0,0,2,8,3,1,1,0,0,2,1,5,2,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,7,4,3,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,0,0,0,0,0,0
23 - Μαγνησίας,42 E.T. Δήμου Αλμυρού,436,268,7,0,7,261,145,12,0,33,29,32,57,68,40,2,3,14,22,5,1,13,20,4,6,11,3,1,3,4,27,3,14,3,9,4,7,2,9,6,2,2,0,0,6,0,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,1,3,1,0,0,0,0
23 - Μαγνησίας,43 E.T. Δήμου Αλμυρού,454,285,4,0,4,281,122,2,1,13,38,16,54,57,64,4,6,17,38,3,1,19,10,1,1,4,0,0,4,2,44,7,20,0,5,5,27,2,5,1,1,0,0,0,0,0,5,1,0,1,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,14,2,2,4,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,2,1,5,1,1,1
23 - Μαγνησίας,44 E.T. Δήμου Αλμυρού,426,247,2,2,4,243,102,4,0,29,23,20,45,39,49,4,3,14,19,4,1,14,14,1,4,5,2,1,1,2,34,5,17,3,4,4,17,4,8,3,2,1,0,0,0,4,5,1,0,1,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,2,5,1,0,4,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0,3,0,2,0,2,0,0,0,0,0,1,1,0,0,0,3,1,2,0,0,0,2,0,0,2,2,0,0,8,1,3,1,0,2,2,1
