ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΟΥΛΚΟΥΔΙΝΑΣ ΣΠΥΡΙΔΩΝ του Ευριπίδη,ΜΑΝΗ-ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΑΝΝΑ του Ευαγγέλου,ΜΠΑΡΑΛΙΑΚΟΣ ΞΕΝΟΦΩΝ (ΦΩΝΤΑΣ) του Ελευθερίου,ΜΠΕΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΝΑΒΡΟΖΙΔΟΥ ΠΑΡΘΕΝΑ (ΝΟΠΗ) του Παναγιώτη,ΧΙΟΝΙΔΗΣ ΣΑΒΒΑΣ του Γεωργίου,ΣΥΡΙΖΑ,ΓΚΟΥΝΑΣ ΑΘΑΝΑΣΙΟΣ (ΣΑΚΗΣ) του Σωτηρίου,ΖΑΝΝΑΣ ΖΗΣΗΣ του Γρηγορίου,ΖΑΡΩΤΗΣ ΔΙΟΝΥΣΙΟΣ του Χρήστου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΓΕΩΡΓΙΑ του Κωνσταντίνου,ΣΚΟΥΦΑ ΕΛΙΣΣΑΒΕΤ (ΜΠΕΤΤΥ) του Δημητρίου,ΧΑΪΛΑΤΖΙΔΟΥ ΘΕΟΔΟΣΙΑ (ΓΝΩΣΟΥΛΑ) του Δημητρίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΕΩΡΓΟΥΛΗ ΕΛΕΝΗ του Κωνσταντίνου,ΘΕΟΧΑΡΟΠΟΥΛΟΥ ΑΝΔΡΟΝΙΚΗ (ΝΙΚΗ) του Θωμά,ΚΟΥΤΡΟΥΠΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Εμμανουήλ,ΜΑΛΤΖΑΡΗΣ ΙΩΑΝΝΗΣ του Αθανάσιου,ΜΙΧΟΥ ΜΑΡΙΑ του Κωνσταντίνου,ΠΑΓΟΥΡΑΣ ΑΝΔΡΕΑΣ του Νικήτα,Κ.Κ.Ε.,ΖΑΧΑΡΟΠΟΥΛΟΣ ΑΧΙΛΛΕΑΣ του Αθανασίου,ΚΟΥΛΑΟΥΖΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ορέστη,ΝΙΚΟΛΑΟΥ ΣΤΕΛΛΑ του Αντωνίου,ΝΤΟΤΣΙΚΑΣ ΧΑΡΑΛΑΜΠΟΣ του Ανδρέα,ΠΑΠΑΓΕΩΡΓΙΟΥ ΑΡΧΟΝΤΙΑ του Ηλία,ΤΗΛΕΓΡΑΦΟΥ ΑΝΑΣΤΑΣΙΑ του Παντελή,Ελληνική Λύση - Κ. Βελόπουλος,ΖΕΪΜΠΕΚΗΣ ΝΙΚΟΛΑΟΣ του Κυριάκου,ΖΕΡΒΑΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,ΚΑΛΑΪΤΖΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Ιορδάνη,ΚΑΡΑΦΟΥΛΙΔΟΥ ΔΕΣΠΟΙΝΑ του Ιωάννη,ΝΙΚΟΛΑΪΔΟΥ ΜΑΡΙΑ του Φίλιππου,ΤΣΙΟΜΠΑΝΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΚΑΡΑΝΙΚΑΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΠΟΥΖΟΥΚΛΙΔΟΥ ΣΩΤΗΡΙΑ του Αλέξανδρου,ΣΤΑΘΑΚΟΠΟΥΛΟΥ ΕΥΓΕΝΙΑ του Κωνσταντίνου,ΧΑΪΔΑΛΗΣ ΘΕΟΛΟΓΟΣ του Κωνσταντίνου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΣΤΙΚΟΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,Κ.Κ.Ε. (μ-λ),ΜΑΝΙΚΑΣ ΙΩΑΝΝΗΣ του Ηλία,Ο.Κ.Δ.Ε.,ΦΟΥΡΝΟΤΖΗΣ ΑΓΓΕΛΟΣ του Μιχαήλ,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΑΡΑΚΩΣΤΑ ΘΕΟΚΛΕΙΑ του Δημητρίου,ΠΛΙΑΤΣΙΚΑΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,Κίνημα 21,ΤΡΑΝΤΗΣ ΑΠΟΣΤΟΛΟΣ του Αριστείδη,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΘΑΝΑΣΙΑΔΗΣ ΑΡΓΥΡΙΟΣ του Μιχαήλ,ΜΠΟΧΤΗ ΕΛΕΝΗ του Κωνσταντίνου,ΝΤΙΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΦΙΛΙΠΠΟΥ ΠΑΝΑΓΙΩΤΑ του Ερμή,ΝΙΚΗ,ΔΕΛΒΕΡΟΥΔΗΣ ΚΟΜΝΗΝΟΣ του Βαγιάνου,ΙΝΤΖΕΣ ΙΩΑΝΝΗΣ του Μόσχου,ΚΑΖΕΠΙΔΟΥ ΕΙΡΗΝΗ του Ιωάννη,ΠΑΠΑΔΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΡΑΚΟΠΟΥΛΟΥ ΠΑΡΑΣΚΕΥΗ του Ελευθερίου,ΤΣΕΡΤΙΚΙΔΗΣ ΝΙΚΟΛΑΟΣ του Αναστασίου,κοινωνία αξιών,ΘΗΡΑΙΟΣ ΜΙΧΑΗΛ του Ιακώβου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΝΙΚΗΤΑ ΚΡΥΣΤΑΛΛΕΝΙΑ του Νικολάου,ΧΩΡΙΚΗΣ ΣΤΥΛΙΑΝΟΣ του Θεόδωρου,Ο.Α.Κ.Κ.Ε.,ΚΕΧΑΓΙΑ ΒΑΣΙΛΙΚΗ του Σωτηρίου,Μ-Λ Κ.Κ.Ε.,ΜΑΝΔΕΛΕΝΑΚΗ ΖΩΗ του Ηλία,Ελλήνων Συνέλευσις,ΚΟΥΤΡΟΥΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΤΡΑΧΑΝΑ ΑΝΔΡΟΝΙΚΗ του Δημητρίου,Ένωση Κεντρώων,ΚΑΡΔΑΚΟΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΠΑΝΤΖΙΑΛΑ ΧΡΥΣΟΥΛΑ του Γεωργίου,ΠΑΞΙΜΑΔΗΣ ΘΕΟΔΩΡΟΣ του Αντωνίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΝΕΣΤΟΡΑΣ ΒΑΣΙΛΗΣ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΒΑΖΑΚΑΣ ΓΕΩΡΓΙΟΣ του Αστερίου,ΓΙΑΛΤΟΥΡΙΔΗΣ ΜΙΧΑΗΛ του Ευσταθίου,ΚΛΕΤΣΑ ΦΩΤΕΙΝΗ του Διονυσίου,ΜΕΝΟΥΝΟΥ ΑΔΑΜΑΝΤΙΑ του Γεωργίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΖΑΦΕΙΡΙΑΔΗΣ ΔΗΜΗΤΡΙΟΣ του Ηλία,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΣΚΡΕΠΕΤΟΥ ΝΙΚΟΛΕΤΤΑ του Δημητρίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΥΦΑΝΤΗ ΜΑΡΙΑ του Δημητρίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΡΟΥΝΤΟΣ ΑΝΔΡΕΑΣ του Ιωάννη,Οικολόγοι Πράσινοι,ΣΟΥΡΜΠΑΤΗ ΠΑΡΑΣΚΕΥΗ του Λαζάρου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΣΩΠΑΚΗ ΧΑΡΙΚΛΕΙΑ του Αθανασίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΟΝΤΕΚΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Τριαντάφυλλου
13 - Πιερίας,239 E.T. Δήμου Πύδνας - Κολινδρού,509,332,6,6,12,320,133,46,57,47,8,12,36,45,17,9,5,5,10,9,42,6,3,15,9,18,2,18,2,10,0,1,5,4,28,16,9,2,1,10,2,8,2,1,1,1,1,0,0,0,0,0,2,1,0,3,1,1,1,0,0,0,6,2,3,1,0,1,0,2,0,1,1,1,0,0,0,0,0,0,0,2,1,1,0,1,0,3,0,1,2,0,1,0,1,1,1,0,0,0,3,3,1,0,17,11
13 - Πιερίας,240 E.T. Δήμου Πύδνας - Κολινδρού,468,322,1,4,5,317,135,54,55,42,14,13,23,48,17,13,1,7,22,12,33,2,1,18,13,20,0,15,3,10,2,0,7,2,36,7,7,3,6,13,3,8,3,3,2,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,6,1,2,1,2,1,0,0,0,1,1,1,0,0,0,0,2,1,1,1,1,0,0,3,3,5,3,0,2,3,0,0,2,2,2,1,1,0,3,0,3,2,9,2
13 - Πιερίας,241 E.T. Δήμου Πύδνας - Κολινδρού,255,178,2,0,2,176,99,43,29,19,45,3,13,18,4,3,2,4,7,2,4,1,1,0,0,0,0,15,8,8,6,1,0,1,11,7,3,0,2,1,0,3,1,0,0,0,2,1,0,0,0,0,1,0,0,1,1,2,1,0,0,0,8,2,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,5
13 - Πιερίας,242 E.T. Δήμου Πύδνας - Κολινδρού,402,241,3,0,3,238,70,28,33,25,19,5,8,37,6,3,5,3,15,17,30,5,1,5,3,17,1,40,2,36,2,0,12,5,17,5,6,3,4,5,1,6,2,3,3,0,4,3,1,0,0,0,1,1,0,0,0,3,0,2,2,0,10,4,1,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,1,0,0,0,0,1,1,3,1,0,0,0,0,0,0,11,6
13 - Πιερίας,243 E.T. Δήμου Πύδνας - Κολινδρού,386,230,0,0,0,230,65,10,36,20,16,3,12,36,6,5,5,9,17,13,28,3,0,10,11,19,2,37,4,27,6,0,9,3,19,11,5,1,4,3,1,10,2,5,5,1,3,3,0,0,0,0,0,0,0,5,5,0,0,0,0,0,9,1,6,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,4,2,0,0,1,1,1,0,10,3
13 - Πιερίας,244 E.T. Δήμου Πύδνας - Κολινδρού,420,234,6,0,6,228,80,34,31,36,8,10,12,40,22,14,5,5,8,3,40,3,6,12,16,17,1,9,3,6,1,1,1,1,18,8,9,1,3,5,1,7,2,4,2,2,4,2,0,0,0,0,1,1,1,0,0,1,1,1,0,0,16,3,2,10,4,3,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,0,1,0,0,0,6,1
13 - Πιερίας,245 E.T. Δήμου Πύδνας - Κολινδρού,526,300,8,2,10,290,157,87,41,91,6,5,13,30,13,8,1,3,10,10,24,6,2,7,6,6,1,24,7,11,4,0,10,3,21,7,3,1,6,9,1,3,2,2,0,0,1,1,0,0,0,0,1,1,1,0,0,4,1,0,0,1,11,3,6,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,1,1,7,6
13 - Πιερίας,246 E.T. Δήμου Πύδνας - Κολινδρού,539,343,7,2,9,334,186,103,47,103,17,3,25,37,20,10,1,3,7,5,34,1,6,11,5,20,7,9,5,4,5,0,0,1,25,9,6,2,4,6,3,14,4,4,7,3,0,0,0,0,0,0,3,0,0,0,0,4,1,0,1,1,13,4,5,1,2,5,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,2
13 - Πιερίας,247 E.T. Δήμου Πύδνας - Κολινδρού,540,281,4,1,5,276,165,106,33,104,13,3,15,19,6,4,2,1,9,6,19,1,0,14,4,9,2,9,1,3,1,0,1,0,26,8,9,3,7,14,3,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,6,1,0,1,1,12,6,2,1,4,4,3,0,0,0,0,0,0,0,0,0,1,1,1,4,2,3,0,0,0,1,1,0,1,0,1,1,1,1,2,2,1,1,0,0,1,1,5,4
13 - Πιερίας,248 E.T. Δήμου Πύδνας - Κολινδρού,517,339,7,1,8,331,190,99,52,113,17,1,25,31,10,4,2,5,12,6,15,5,1,7,3,7,1,14,4,4,4,1,3,2,27,6,10,2,4,10,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,34,11,7,11,8,5,5,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,7,4
13 - Πιερίας,249 E.T. Δήμου Πύδνας - Κολινδρού,539,312,0,2,2,310,159,89,26,94,6,8,26,36,13,9,1,3,20,5,23,5,3,4,2,11,2,12,2,2,3,0,3,1,34,12,5,5,5,7,3,2,0,0,0,0,2,0,1,1,0,0,1,0,0,2,2,6,4,1,0,3,16,4,4,5,6,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,1,0,2,1,2,1,1,1,0,0,8,3
13 - Πιερίας,250 E.T. Δήμου Πύδνας - Κολινδρού,488,310,5,1,6,304,178,105,44,100,6,4,26,27,15,2,2,4,9,2,11,0,0,6,5,6,1,9,1,2,2,2,3,2,27,12,7,4,6,10,5,2,0,1,1,0,1,1,0,0,0,0,0,0,0,4,0,4,1,2,0,2,17,7,3,6,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,3,1,0,0,0,2,2,0,0,1,1,0,0,2,1,0,0,13,8
13 - Πιερίας,251 E.T. Δήμου Πύδνας - Κολινδρού,250,177,1,0,1,176,84,29,32,27,14,5,20,22,5,6,2,4,5,5,25,2,2,15,3,8,0,8,1,3,3,1,3,1,13,6,1,1,2,2,0,6,2,2,2,0,3,1,0,0,0,0,2,2,2,2,2,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,2,0,0,1,1
13 - Πιερίας,252 E.T. Δήμου Πύδνας - Κολινδρού,311,174,2,2,4,170,89,52,17,52,4,4,24,12,6,2,1,4,4,2,11,1,1,3,1,7,1,2,0,0,0,0,2,2,30,10,8,4,0,17,1,4,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,3,2,2,1,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,5,4,0,2,2,0,0,2,1,0,0,0,0,1,0,1,1,2,2
13 - Πιερίας,253 E.T. Δήμου Πύδνας - Κολινδρού,507,331,8,1,9,322,212,73,99,121,18,4,57,51,40,4,3,3,9,10,20,4,2,11,3,9,4,0,0,0,0,0,0,0,10,3,2,0,0,2,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,4,4,1,1,0,1,0,12,2,5,2,3,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,1,0,3,3,1,1,0,0,0,0
13 - Πιερίας,254 E.T. Δήμου Πύδνας - Κολινδρού,461,271,4,0,4,267,93,39,35,21,9,8,32,47,8,10,3,5,14,14,34,6,4,11,1,21,2,23,5,15,4,0,12,2,23,11,2,6,5,7,1,5,1,1,2,0,2,1,1,1,0,0,0,0,0,0,0,3,0,2,1,0,17,3,1,3,1,2,8,0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,12,8
13 - Πιερίας,255 E.T. Δήμου Πύδνας - Κολινδρού,459,275,4,1,5,270,106,42,26,23,22,16,41,45,15,16,8,6,13,16,31,6,2,17,4,18,3,17,4,5,4,0,6,3,24,9,3,5,8,6,2,8,5,1,3,2,0,0,1,1,0,0,1,1,1,2,2,1,1,0,0,1,16,9,4,3,1,3,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2,1,1,0,0,0,0,2,2,0,0,0,0,2,2,9,7
13 - Πιερίας,256 E.T. Δήμου Πύδνας - Κολινδρού,464,260,3,3,6,254,90,49,18,14,8,13,30,45,15,12,2,4,18,12,38,3,5,21,0,14,1,16,1,7,1,0,6,1,38,19,9,2,8,11,0,3,1,1,2,1,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,7,1,1,1,0,0,5,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,3,2,1,1,2,2,0,0,0,0,3,3
13 - Πιερίας,257 E.T. Δήμου Πύδνας - Κολινδρού,435,255,5,0,5,250,92,46,22,12,7,10,34,52,10,9,9,8,23,19,35,7,2,17,4,22,0,9,0,2,2,0,2,0,19,9,4,3,6,4,0,6,3,1,1,1,0,0,0,0,0,0,2,1,1,0,0,4,2,1,1,1,18,9,4,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,2,3,1,0,1,1,1,0,0,0,1,0,0,0,5,2
13 - Πιερίας,258 E.T. Δήμου Πύδνας - Κολινδρού,393,231,4,2,6,225,92,18,47,27,9,9,20,28,10,6,4,7,12,4,28,4,2,12,11,10,2,15,3,6,3,0,7,1,23,9,5,3,7,8,0,4,3,1,2,1,1,1,1,0,0,0,2,1,0,1,1,0,0,0,0,0,12,1,1,5,1,0,7,0,0,0,0,0,0,0,0,0,1,1,0,2,1,2,1,0,0,0,0,0,0,0,1,0,2,0,2,2,0,0,2,2,3,1,5,3
13 - Πιερίας,259 E.T. Δήμου Πύδνας - Κολινδρού,435,251,8,2,10,241,104,22,51,38,9,6,27,47,18,6,3,9,13,11,22,3,4,7,3,5,2,21,2,13,8,1,8,2,21,10,8,1,4,4,3,6,3,1,3,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,0,1,7,1,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,2
13 - Πιερίας,260 E.T. Δήμου Πύδνας - Κολινδρού,354,201,1,1,2,199,71,16,52,20,5,6,12,39,4,6,4,10,20,13,10,3,2,5,1,4,0,27,9,18,3,0,8,1,13,5,1,2,2,2,0,7,2,2,3,0,4,4,0,0,0,0,1,1,1,4,3,4,1,2,0,0,2,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,3,1,5,4
13 - Πιερίας,261 E.T. Δήμου Πύδνας - Κολινδρού,623,348,5,3,8,340,131,59,30,45,22,14,31,69,40,9,5,5,18,21,49,11,3,30,8,21,6,11,3,3,1,0,3,1,31,15,4,4,8,12,3,9,1,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,12,1,1,1,5,1,4,0,0,0,0,0,0,0,0,0,5,2,5,1,0,0,0,2,2,0,0,0,0,0,1,1,1,1,3,0,1,1,0,0,2,1,10,7
13 - Πιερίας,262 E.T. Δήμου Πύδνας - Κολινδρού,554,272,4,1,5,267,85,25,19,41,12,27,32,44,21,8,3,2,10,25,60,5,7,40,14,25,3,14,3,5,6,0,5,3,27,13,7,9,4,7,2,6,0,4,1,1,1,1,0,0,0,0,1,1,0,4,3,1,0,1,1,0,16,7,4,4,5,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,5
13 - Πιερίας,263 E.T. Δήμου Πύδνας - Κολινδρού,544,283,2,0,2,281,132,52,33,43,35,25,36,27,10,10,4,2,8,4,46,10,4,32,10,14,4,4,1,3,0,1,1,0,42,21,7,12,11,7,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,12,1,2,0,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,1,1,1,1,7,5
13 - Πιερίας,264 E.T. Δήμου Πύδνας - Κολινδρού,621,381,7,0,7,374,217,89,80,76,37,28,52,47,26,10,1,6,16,17,26,4,2,11,5,8,4,2,0,0,1,0,1,0,32,14,12,8,7,12,0,4,0,3,3,0,3,2,0,0,0,0,1,1,0,1,0,0,0,0,0,0,24,13,3,2,9,2,6,0,0,1,1,1,0,0,0,0,0,0,0,3,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,10,6
13 - Πιερίας,265 E.T. Δήμου Πύδνας - Κολινδρού,438,259,2,1,3,256,105,47,34,30,7,7,29,54,22,17,3,7,17,13,32,5,3,19,7,17,1,8,0,2,3,1,2,1,24,6,3,1,5,8,3,6,2,2,1,0,2,0,0,0,0,0,1,1,0,3,0,1,0,0,0,0,7,5,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,0,1,1,5,3
13 - Πιερίας,266 E.T. Δήμου Πύδνας - Κολινδρού,431,271,9,1,10,261,86,28,37,33,4,7,29,59,25,17,11,11,20,9,46,6,1,30,8,19,6,14,2,2,10,1,1,3,20,4,5,2,5,14,1,3,1,0,1,0,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,13,8,7,4,1,1,3,0,0,1,1,1,0,0,1,0,0,0,0,2,0,2,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,10,6
13 - Πιερίας,267 E.T. Δήμου Πύδνας - Κολινδρού,436,263,6,2,8,255,115,64,33,19,8,9,41,35,16,13,5,6,7,10,44,9,4,15,6,28,4,8,2,2,2,1,2,0,11,3,4,3,4,4,2,5,2,1,3,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,14,6,3,1,2,3,4,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,14,10
13 - Πιερίας,268 E.T. Δήμου Πύδνας - Κολινδρού,426,273,2,2,4,269,99,52,27,34,3,14,36,44,27,15,2,1,10,14,39,4,1,19,1,24,7,16,4,4,5,0,7,1,28,11,5,4,6,5,0,7,3,0,2,0,3,2,0,0,0,0,1,0,0,2,2,2,2,1,0,1,14,6,3,3,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,1,1,8,5
13 - Πιερίας,269 E.T. Δήμου Πύδνας - Κολινδρού,507,228,6,0,6,222,82,22,26,15,12,10,40,40,21,10,5,0,7,13,36,15,2,27,2,2,3,13,2,2,3,0,4,0,16,3,5,3,2,4,1,2,1,1,0,0,3,3,2,1,0,0,1,0,1,3,2,1,1,1,0,0,16,5,2,3,3,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,2,1
13 - Πιερίας,270 E.T. Δήμου Πύδνας - Κολινδρού,517,250,5,1,6,244,90,22,45,17,8,6,43,54,25,11,1,4,17,19,31,7,0,25,4,5,4,8,1,2,1,1,4,0,15,9,3,6,3,2,1,6,3,1,1,1,1,0,2,2,0,0,2,1,1,2,0,1,0,0,1,0,16,2,6,1,3,3,10,0,0,2,2,1,0,0,0,0,0,0,0,1,0,0,0,3,2,1,1,0,0,1,0,0,2,2,1,1,0,0,0,0,0,0,6,2
13 - Πιερίας,271 E.T. Δήμου Πύδνας - Κολινδρού,504,241,2,1,3,238,87,16,22,26,21,9,42,49,9,10,6,4,13,25,33,10,1,21,8,6,0,25,9,10,3,1,8,3,12,7,2,3,1,5,1,5,2,1,0,0,2,1,0,0,0,0,1,1,0,2,1,1,0,1,0,0,8,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,6,4
13 - Πιερίας,Ετερ. Πιερίας (από 32ο Ε.Τ. Νομ. Θεσσαλονικης),197,126,2,0,2,124,58,14,15,14,6,18,13,24,11,5,1,7,8,3,4,0,1,1,0,2,0,5,1,1,2,0,2,1,8,1,6,0,4,2,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,2,1,0,7,2,2,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,5,2
13 - Πιερίας,Ετερ. Πιερίας (από Εφετείο Θεσσαλονίκης),40,29,1,0,1,28,7,1,2,1,0,1,2,6,1,0,1,0,2,1,3,0,0,2,0,1,2,1,0,0,0,0,0,0,4,1,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
13 - Πιερίας,Ετερ. Πιερίας (από 140ο Ε.Τ. Νομ. Αττικης-Αθηνών),376,265,1,1,2,263,113,21,42,20,15,30,41,57,12,15,7,8,20,16,16,3,3,7,2,4,2,32,6,0,9,1,13,6,3,1,0,2,0,2,1,8,3,2,4,1,0,0,0,0,0,0,1,0,1,4,2,2,1,1,1,1,8,1,4,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,3,0,0,1,1,1,1,0,0,2,2,0,0,0,0,0,0,11,6
13 - Πιερίας,Ετερ. Πιερίας (από Εφετείο Πειραιώς),60,42,2,0,2,40,21,5,10,1,0,7,11,8,3,0,1,1,3,0,5,3,1,1,1,3,0,1,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Σύνολο,,131540,79517,1501,353,1854,77663,31913,10438,11277,11887,4661,2626,9939,11904,4587,3137,1534,1241,3600,3067,9664,1209,579,5537,2199,3470,1107,4035,1198,583,897,327,1156,1120,5870,2066,1724,975,1060,1774,232,1600,608,548,537,205,467,388,140,86,29,14,186,111,81,506,327,701,295,237,108,109,5796,2219,1587,854,1496,1248,1420,52,33,108,46,74,10,7,45,21,141,97,91,292,121,116,70,152,106,688,345,174,161,138,71,43,287,215,385,262,99,67,460,284,166,111,1896,1245
