ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΜΑΝΑΤΙΔΗΣ ΓΕΩΡΓΙΟΣ του Ισαάκ,ΒΡΥΖΙΔΟΥ ΠΑΡΑΣΚΕΥΗ του Παναγιώτη,ΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Κωνσταντίνου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΜΙΧΑΗΛ (ΜΙΧΑΛΗΣ) του Γεωργίου,ΠΡΩΪΟΥ-ΒΑΡΖΗ ΕΥΛΑΜΠΙΑ του Ευαγγέλου,ΣΥΡΙΖΑ,ΒΑΤΑΛΗΣ ΣΩΚΡΑΤΗΣ του Αργυρίου,ΒΕΤΤΑ ΚΑΛΛΙΟΠΗ του Δημητρίου,ΓΚΑΣΤΑΡΗ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Γεωργίου,ΚΑΡΥΠΙΔΗΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,ΜΙΧΕΛΑΚΗ ΕΥΘΥΜΙΑ (ΕΦΗ) του Βασιλείου,ΠΑΣΣΑΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΖΑΡΟΓΙΑΝΝΗΣ ΛΟΥΚΑΣ του Ιωάννη,ΚΑΜΑΡΙΑΔΟΥ ΠΑΝΑΓΙΩΤΑ του Δημητρίου,ΚΟΥΚΟΥΛΟΠΟΥΛΟΣ ΠΑΡΑΣΚΕΥΑΣ (ΠΑΡΙΣ) του Δημητρίου,ΝΙΚΟΛΑΪΔΗΣ ΙΣΑΑΚ του Ανέστη,ΤΣΙΡΝΑΡΗ ΕΛΕΝΗ του Ιωάννη,ΦΤΑΚΑΣ ΓΕΩΡΓΙΟΣ του Χαρίσιου,Κ.Κ.Ε.,ΔΗΜΑΡΑΚΗ ΦΩΤΕΙΝΗ του Χρήστου,ΕΓΡΕΣ ΑΒΡΑΑΜ του Ιωάννη,ΘΕΟΔΩΡΙΔΗΣ ΕΜΜΑΝΟΥΗΛ του Αδάμ,ΚΟΥΖΙΑΚΗ ΘΕΟΔΩΡΑ ΜΑΤΙΝΑ (ΤΙΝΑ) του Παναγιώτη,ΜΩΥΣΙΑΔΗΣ ΣΤΑΥΡΟΣ του Θεοδώρου,ΤΡΙΑΝΤΑΦΥΛΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΩΤΣΙΟΠΟΥΛΟΣ ΕΛΕΥΘΕΡΙΟΣ (ΛΕΥΤΕΡΗΣ) του Άγγελου,ΛΙΒΕΡΙΑΔΟΥ ΑΝΑΣΤΑΣΙΑ του Λιβερίου,ΞΑΝΘΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Κωνσταντίνου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ (ΜΠΑΜΠΗΣ) του Κωνσταντίνου,ΧΑΡΑΛΑΜΠΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Θεοδώρου,ΧΕΙΜΩΝΙΔΟΥ ΚΑΤΙΝΑ (ΚΑΤΕΡΙΝΑ) του Μιχαήλ,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΘΑΝΑΣΙΑΔΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΛΙΑΚΟΣ ΠΟΛΥΔΕΥΚΗΣ του Θωμά,ΛΟΤΣΙΟΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΜΑΝΟΥ-ΓΙΟΛΔΑΣΗ ΑΓΓΕΛΙΚΗ (ΑΓΓΕΛΑ) του Ζήση,ΜΙΧΑΛΟΠΟΥΛΟΣ ΘΩΜΑΣ (ΜΑΚΗΣ) του Δημητρίου,ΜΠΕΓΛΕΡΙΔΟΥ ΣΤΑΥΡΟΥΛΑ του Αλέξανδρου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΑΠΟΣΤΟΛΙΔΗΣ ΛΑΥΡΕΝΤΙΟΣ του Θεοφύλακτου,ΜΠΕΜΠΗ ΒΑΣΙΛΙΚΗ του Παναγιώτη,ΤΣΙΡΑΝΙΔΟΥ ΘΕΟΔΩΡΑ του Αναστάσιου,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΣΙΔΟΥ ΜΑΡΙΑ του Θεοδώρου,ΘΕΡΑΠΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΚΟΥΤΡΩΤΣΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΚΑΡΥΔΗΣ ΜΑΡΚΟΣ του Παναγιώτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΣΠΡΑΓΚΑΘΟΣ ΑΠΟΣΤΟΛΟΣ του Κωνσταντίνου,ΓΑΡΟΥΦΑΛΛΙΔΟΥ ΓΙΑΝΟΥΛΛΑ του Νικολάου,ΓΕΩΡΓΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Γεωργίου,Κίνημα 21,ΧΑΡΑΛΑΜΠΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Ιωακείμ,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΔΙΟΝΥΣΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΣΤΥΛΙΔΟΥ ΟΛΓΑ του Ανέστη,ΤΑΜΙΩΛΑΚΗ ΕΙΡΗΝΗ του Ιωάννη,ΤΣΙΚΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΝΙΚΗ,ΑΛΑΤΖΗ ΕΙΡΗΝΗ του Χαραλάμπους,ΘΕΟΔΩΡΟΥ ΑΠΟΣΤΟΛΟΣ ΙΩΑΝΝΗΣ του Λάμπρου,ΜΠΑΛΙΑΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΣΙΣΜΑΝΙΔΟΥ ΠΟΛΥΞΕΝΗ του Γεωργίου,κοινωνία αξιών,ΓΟΥΣΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΑΡΝΑΟΥΤΗ ΑΝΝΑ του Θεοδώρου,ΒΛΑΧΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΓΙΑΝΤΣΗΣ ΜΙΧΑΗΛ του Βασιλείου,Ο.Α.Κ.Κ.Ε.,ΚΑΒΒΑΔΑΣ ΣΠΥΡΙΔΩΝ του Αριστείδη,Μ-Λ Κ.Κ.Ε.,ΤΣΙΤΟΣ ΙΩΑΝΝΗΣ του Φώτιου,Ελλήνων Συνέλευσις,ΓΕΩΡΓΙΑΔΗΣ ΑΛΕΞΑΝΔΡΟΣ του Κωνσταντίνου,ΓΚΙΟΥΡΑ ΘΕΟΔΩΡΑ του Κωνσταντίνου,ΚΑΡΑΚΟΥΛΑ ΜΑΡΚΗΣΙΑ του Χαρίσιου,ΚΑΡΑΜΑΡΚΟΣ ΔΗΜΗΤΡΙΟΣ του Χρήστου,ΠΟΥΛΑΤΣΟΓΛΟΥ ΙΩΑΝΝΗΣ του Κυριάκου,Ένωση Κεντρώων,ΒΟΓΔΟΠΟΥΛΟΣ ΘΩΜΑΣ του Νικολάου,ΜΑΡΚΟΣ ΕΥΑΓΓΕΛΟΣ του Αθανασίου,ΡΟΥΚΑ ΘΕΟΠΟΥΛΑ του Αποστόλου,ΧΡΙΣΤΟΦΟΡΙΔΟΥ ΕΥΡΗΚΑ του Βίκτωρα,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΤΕΝΤΣΟΓΛΙΔΗΣ ΜΑΡΙΟΣ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΟΥΡΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Ηρακλή,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΛΙΑΚΗΣ ΘΩΜΑΣ του Αθανασίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΡΙΖΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΙΩΣΗΦΙΔΗΣ ΚΥΡΙΑΚΟΣ του Δαμιανού,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΚΟΛΙΑΚΗ ΚΩΝΣΤΑΝΤΙΝΑ του Σπυρίδωνα,ΦΟΥΤΣΟΓΛΟΥ ΚΥΡΙΑΚΗ του Κωνσταντίνου,ΧΑΝΤΑΒΑΡΙΔΗΣ ΓΕΩΡΓΙΟΣ του Παύλου,Οικολόγοι Πράσινοι,ΔΗΜΑΚΟΥ ΑΓΓΕΛΙΚΗ του Νικολάου,ΙΩΑΝΝΙΔΗΣ ΧΡΗΣΤΟΣ του Αβραάμ,ΕΑΝ...,ΓΙΑΝΝΙΤΣΑ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΓΟΝΑΤΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΡΑΣΣΑΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου
15 - Κοζάνης,20 E.T. Δήμου Βοΐου,534,293,4,3,7,286,151,57,10,19,59,105,11,57,46,11,12,8,2,3,32,8,10,23,2,1,1,10,0,6,3,5,0,0,6,3,0,1,1,1,3,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,4,2,1,1,0,11,3,1,5,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,3,1
15 - Κοζάνης,21 E.T. Δήμου Βοΐου,209,85,2,3,5,80,50,18,16,15,4,9,11,11,1,8,2,2,1,1,3,0,0,1,2,0,0,2,1,0,1,0,0,0,2,0,2,0,1,0,0,3,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,3,1
15 - Κοζάνης,22 E.T. Δήμου Βοΐου,655,283,11,1,12,271,105,20,13,18,50,33,15,55,21,36,7,10,11,1,30,8,6,19,1,2,4,18,2,9,0,11,0,2,20,8,6,3,1,3,3,3,0,0,1,1,0,1,3,2,3,0,1,1,0,0,0,0,1,1,1,0,4,3,2,2,1,0,0,13,0,1,13,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5,1
15 - Κοζάνης,23 E.T. Δήμου Βοΐου,456,240,8,2,10,230,110,24,11,18,39,43,10,70,17,44,23,14,4,12,13,5,1,8,1,0,0,8,1,7,0,3,1,0,3,0,0,0,0,0,0,2,0,1,1,0,0,0,5,5,3,1,0,0,0,0,0,0,2,1,1,0,0,0,2,0,1,0,1,5,1,0,3,2,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0
15 - Κοζάνης,24 E.T. Δήμου Βοΐου,511,320,2,6,8,312,121,53,19,18,51,12,33,55,13,23,7,17,13,4,25,13,8,6,6,4,0,36,4,27,1,19,0,0,12,2,3,0,0,0,6,2,0,0,0,2,0,2,7,1,4,1,0,0,0,0,0,0,1,0,1,0,12,9,2,2,0,0,0,23,1,0,18,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,2,7,4
15 - Κοζάνης,25 E.T. Δήμου Βοΐου,516,283,0,3,3,280,102,30,22,8,43,19,38,43,8,14,9,18,16,1,32,7,10,10,6,11,1,26,1,16,0,15,0,0,12,1,2,1,1,2,3,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,11,7,1,1,0,0,0,36,5,0,31,4,0,0,1,0,0,0,0,0,0,0,5,2,2,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,0,4,0
15 - Κοζάνης,26 E.T. Δήμου Βοΐου,497,254,0,1,1,253,94,26,13,12,36,28,27,51,19,28,5,16,11,3,23,7,9,9,7,3,1,27,3,10,3,9,1,3,13,3,3,2,4,2,4,2,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,23,2,2,20,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,2,0,0,4,4
15 - Κοζάνης,27 E.T. Δήμου Βοΐου,499,269,3,3,6,263,118,40,25,20,45,20,27,38,11,17,6,14,7,1,32,10,9,9,7,7,1,10,2,5,0,5,1,1,10,0,3,2,2,3,4,5,0,0,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,12,7,1,1,0,0,0,25,3,4,22,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,0,0,0,4,2
15 - Κοζάνης,28 E.T. Δήμου Βοΐου,71,41,1,0,1,40,24,12,2,7,11,3,8,4,1,1,0,3,0,0,1,0,0,0,1,0,0,7,1,0,1,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,29 E.T. Δήμου Βοΐου,161,70,2,2,4,66,32,12,7,8,12,9,7,11,2,5,4,4,1,2,4,1,1,2,0,0,0,2,0,1,0,2,0,0,3,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,1,0,0,0,0
15 - Κοζάνης,30 E.T. Δήμου Βοΐου,341,188,4,1,5,183,96,15,4,6,30,12,67,29,2,8,0,10,7,3,13,8,1,5,0,3,1,10,2,5,0,3,0,0,8,3,5,0,2,0,1,2,0,1,0,0,0,1,6,4,2,3,1,0,0,0,0,0,0,0,0,0,1,1,3,3,1,0,0,8,3,0,6,1,0,0,0,0,0,0,0,0,0,0,3,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
15 - Κοζάνης,31 E.T. Δήμου Βοΐου,239,117,1,1,2,115,57,35,11,4,18,9,17,33,25,19,3,2,1,4,6,0,2,4,0,1,0,2,0,1,0,1,1,0,4,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,7,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
15 - Κοζάνης,32 E.T. Δήμου Βοΐου,340,131,1,0,1,130,70,15,11,8,32,25,7,14,3,3,0,2,5,1,10,4,0,5,0,2,0,4,1,2,0,0,0,0,8,3,3,2,1,2,2,3,0,0,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,3,1,2,1,1,2,0,10,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,1,0,0,2,0
15 - Κοζάνης,33 E.T. Δήμου Βοΐου,213,98,2,0,2,96,44,23,16,2,23,6,11,26,7,9,11,9,3,3,10,3,1,1,2,4,0,10,5,6,0,4,1,1,3,0,0,1,0,1,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,34 E.T. Δήμου Βοΐου,426,212,11,2,13,199,95,30,18,7,17,31,24,40,15,27,6,4,6,0,27,7,2,9,3,10,0,8,1,3,0,3,0,0,7,1,2,0,1,0,2,3,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,8,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0,2,1
15 - Κοζάνης,35 E.T. Δήμου Βοΐου,70,27,2,0,2,25,12,2,5,0,6,1,6,4,0,2,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,5,3,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15 - Κοζάνης,36 E.T. Δήμου Βοΐου,110,35,0,0,0,35,13,5,0,1,5,5,3,6,0,2,0,1,3,0,9,4,5,6,1,0,0,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,37 E.T. Δήμου Βοΐου,291,127,2,1,3,124,60,16,12,5,31,13,20,9,1,3,0,4,4,0,23,7,8,9,1,3,0,3,2,0,0,1,0,0,3,0,1,0,0,0,1,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,2,0,0,11,1,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15 - Κοζάνης,38 E.T. Δήμου Βοΐου,261,99,0,0,0,99,53,18,10,9,28,8,23,11,1,7,1,1,2,3,17,6,5,9,2,2,0,9,0,8,0,7,0,0,2,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,39 E.T. Δήμου Βοΐου,68,39,1,0,1,38,21,7,12,1,16,5,0,2,0,1,0,1,0,0,10,3,3,1,5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,40 E.T. Δήμου Βοΐου,192,89,1,1,2,87,29,16,6,18,7,5,4,17,2,6,3,7,6,2,20,12,7,2,2,2,1,7,1,2,2,1,1,2,4,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
15 - Κοζάνης,41 E.T. Δήμου Βοΐου,119,48,1,0,1,47,17,6,5,5,7,4,2,15,1,5,2,10,4,0,7,5,1,1,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15 - Κοζάνης,42 E.T. Δήμου Βοΐου,153,78,0,0,0,78,43,34,5,6,12,3,15,9,2,6,1,5,0,2,2,1,1,1,1,0,0,7,0,5,0,3,0,1,6,1,1,3,0,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,1,0,0,1,0,0,0,2,2
15 - Κοζάνης,43 E.T. Δήμου Βοΐου,109,38,0,1,1,37,18,8,4,2,8,2,3,3,0,1,0,2,0,3,10,1,7,2,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
15 - Κοζάνης,44 E.T. Δήμου Βοΐου,188,76,1,0,1,75,29,1,4,11,6,1,21,13,0,10,1,10,0,0,12,1,2,9,0,0,2,10,1,5,0,5,0,6,7,0,1,0,0,1,7,2,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15 - Κοζάνης,45 E.T. Δήμου Βοΐου,279,152,2,2,4,148,74,35,11,11,26,13,15,14,0,7,2,6,2,2,39,13,9,15,1,3,0,4,0,2,0,2,0,0,7,0,1,0,0,0,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
15 - Κοζάνης,46 E.T. Δήμου Βοΐου,186,83,3,0,3,80,29,15,10,2,12,2,7,23,13,7,9,2,3,1,10,6,4,2,1,0,0,3,2,2,0,0,0,0,7,0,3,1,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
15 - Κοζάνης,47 E.T. Δήμου Βοΐου,149,78,3,0,3,75,29,6,1,6,18,6,5,20,4,14,9,1,1,1,10,6,1,3,0,0,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,0,0,2,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
15 - Κοζάνης,48 E.T. Δήμου Βοΐου,364,147,0,0,0,147,75,18,22,38,15,22,9,33,3,10,23,7,9,1,21,9,8,11,1,4,0,7,2,3,1,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
15 - Κοζάνης,49 E.T. Δήμου Βοΐου,367,142,3,0,3,139,57,19,8,15,22,24,6,27,2,8,13,9,10,0,24,11,1,8,3,2,2,17,3,8,0,11,3,1,4,1,2,1,0,1,2,0,0,0,0,0,0,0,2,2,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1
15 - Κοζάνης,50 E.T. Δήμου Βοΐου,126,19,0,1,1,18,15,1,12,2,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
15 - Κοζάνης,51 E.T. Δήμου Βοΐου,298,87,0,1,1,86,27,7,9,7,13,3,5,30,1,5,28,5,5,1,14,4,3,11,0,0,0,3,1,1,0,2,0,0,3,1,0,1,0,0,0,1,1,0,1,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,2
15 - Κοζάνης,52 E.T. Δήμου Βοΐου,52,13,0,0,0,13,5,2,2,1,4,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,2,0,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
