ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΕΦΑΛΟΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Αχιλλέα,ΝΙΚΗΦΟΡΟΥ ΑΡΤΕΜΙΣ του Γεωργίου,ΠΑΠΑΔΑΚΗ ΔΕΣΠΟΙΝΑ του Εμμανουήλ,ΤΣΟΥΝΤΑΝΗΣ ΓΑΒΡΙΗΛ του Ιωάννη,ΣΥΡΙΖΑ,ΔΟΥΛΟΥΜΠΕΚΗΣ ΘΕΟΔΩΡΟΣ του Ευάγγελου,ΚΙΑΓΙΑ ΣΤΥΛΙΑΝΗ ΒΑΡΒΑΡΑ του Θωμά,ΜΑΝΟΥΣΑΚΗ ΧΡΥΣΟΥΛΑ του Νικολάου,ΞΑΝΘΟΣ ΑΝΔΡΕΑΣ του Γεωργίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΟΤΖΑΝΑΚΗ ΚΑΣΑΝΔΡΑ του Γεωργίου,ΜΙΧΑΛΑ ΕΛΕΥΘΕΡΙΑ του Ελευθερίου,ΣΚΟΥΝΤΗΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΧΝΑΡΗΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη,Κ.Κ.Ε.,ΔΑΚΑΝΑΛΗ ΙΩΑΝΝΑ του Χαράλαμπου,ΚΑΛΘΙ ΣΙΝΤΟΡΕΛΑ του Ντεντ,ΜΑΝΙΑΒΟΣ ΕΥΣΤΡΑΤΙΟΣ του Σωτηρίου,ΜΑΝΟΥΣΟΓΙΑΝΝΗΣ ΜΑΝΟΥΣΟΣ του Ιωσήφ,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΜΖΕΛΗΣ ΘΩΜΑΣ του Ανδρέα,ΜΩΡΑΪΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Σταύρου,ΤΣΟΡΑΚΙΔΟΥ ΕΙΡΗΝΗ του Γεωργίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΝΤΩΝΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Αναστασίου,ΤΣΑΚΑΝΑΚΗ ΑΙΚΑΤΕΡΙΝΗ-ΚΑΝΕΛΛΑ του Γεωργίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΟΚΟΓΙΑΝΝΑΚΗ ΑΝΑΣΤΑΣΙΑ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΔΕΛΗΓΙΩΡΓΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΑΝΤΡΕΑΣ) του Μιχαήλ,ΠΑΠΠΑ ΧΡΙΣΤΙΝΑ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΣΗΦΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αντωνίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΘΕΟΔΩΡΑΚΗΣ  ΜΙΧΑΗΛ του Αναστασίου,ΣΑΒΒΑΚΗ ΕΥΓΕΝΙΑ του Κωνσταντίνου,Κίνημα 21,ΒΑΜΒΟΥΚΑ ΜΑΡΙΝΑ του Γεωργίου,ΝΙΚΟΛΑΚΑΚΗΣ ΜΑΡΚΟΣ του Πέτρου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΤΖΙΝΑΣ ΑΠΟΣΤΟΛΟΣ του Νικηφόρου,ΤΡΟΥΛΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Μιχαήλ,ΝΙΚΗ,ΡΗΓΙΝΙΩΤΗΣ ΘΕΟΔΩΡΟΣ του Ιωάννου,ΣΤΡΑΤΗΓΑΚΗ ΕΙΡΗΝΗ του Γεωργίου,κοινωνία αξιών,ΔΑΒΑΡΗ ΕΛΕΝΗ (ΕΛΕΝΑ) του Δημητρίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΠΕΤΟΥΣΗΣ ΤΗΛΕΜΑΧΟΣ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΜΠΑΓΙΑΡΤΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΒΙΒΙΛΑΚΗΣ ΙΩΑΝΝΗΣ του Ιωάννη,ΚΑΠΝΙΣΤΟΥ ΕΛΕΝΗ του Κωνσταντίνου,ΚΥΜΙΩΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΣΤΑΚΚΟΥ ΚΟΝΤΕΣΣΑ του Σπύρου,Ένωση Κεντρώων,ΑΡΑΠΑΚΗΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,ΝΟΥΦΡΑΚΗ ΑΘΑΝΑΣΙΑ του Σπυρίδωνα,ΧΑΒΑΡΑΝΗΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΠΑΓΩΝΗΣ ΓΙΑΝΝΗΣ του Δημητρίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΙΑΝΝΙΚΑΚΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΜΑΡΚΙΔΗΣ ΕΜΜΑΝΟΥΗΛ του Τίτου,ΠΑΓΟΥΡΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Στυλιανού,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΒΟΓΙΑΤΖΑΚΗ ΕΛΕΝΗ του Εμμανουήλ,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΒΑΓΚΟΤΗ ΕΛΕΝΗ του Ευαγγέλου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΡΟΚΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,Οικολόγοι Πράσινοι,ΚΑΒΑΚΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Πανταζή,ΕΑΝ...,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Στεφάνου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΥΡΙΑΚΟΠΟΥΛΟΥ ΜΑΡΙΝΑ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΡΑΝΑΚΗΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ
54 - Ρεθύμνης,33 E.T. Δήμου Αμαρίου,57,36,1,0,1,35,13,11,1,0,1,6,1,0,0,3,13,0,0,8,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54 - Ρεθύμνης,34 E.T. Δήμου Αμαρίου,119,93,0,0,0,93,39,26,5,1,4,13,1,0,0,11,21,3,0,17,0,7,0,5,0,1,3,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
54 - Ρεθύμνης,35 E.T. Δήμου Αμαρίου,189,113,4,0,4,109,42,23,8,3,3,8,2,0,1,5,26,13,0,3,10,6,2,0,0,4,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0
54 - Ρεθύμνης,36 E.T. Δήμου Αμαρίου,103,57,2,0,2,55,16,9,0,2,1,7,1,0,1,5,16,1,1,4,7,3,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,6,2
54 - Ρεθύμνης,37 E.T. Δήμου Αμαρίου,156,82,0,0,0,82,46,31,6,0,4,15,1,0,2,10,9,0,0,6,3,0,0,0,0,0,5,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
54 - Ρεθύμνης,38 E.T. Δήμου Αμαρίου,91,70,1,0,1,69,20,13,3,1,2,14,8,0,0,4,18,0,1,10,7,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
54 - Ρεθύμνης,39 E.T. Δήμου Αμαρίου,267,171,1,1,2,169,80,69,6,1,2,16,5,0,0,9,62,7,2,9,42,1,1,0,0,0,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,2
54 - Ρεθύμνης,40 E.T. Δήμου Αμαρίου,353,201,3,2,5,196,85,58,6,9,6,32,3,0,1,19,48,12,0,9,23,5,1,1,0,3,6,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,6,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,5,2
54 - Ρεθύμνης,41 E.T. Δήμου Αμαρίου,109,70,0,2,2,68,24,16,0,1,5,11,2,0,0,9,27,0,3,16,8,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
54 - Ρεθύμνης,42 E.T. Δήμου Αμαρίου,220,157,2,0,2,155,35,21,4,2,6,46,12,1,4,28,54,0,4,26,21,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,0,5,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0
54 - Ρεθύμνης,43 E.T. Δήμου Αμαρίου,459,281,6,4,10,271,128,101,16,2,1,37,1,0,4,26,68,9,1,10,44,10,3,0,0,3,4,2,0,2,2,2,0,2,1,0,0,0,0,0,4,0,4,1,0,1,1,0,1,4,2,2,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,1
54 - Ρεθύμνης,44 E.T. Δήμου Αμαρίου,493,327,1,1,2,325,103,74,6,5,3,53,7,0,4,35,98,8,5,69,10,22,7,2,1,10,1,0,0,0,5,0,3,1,0,0,0,0,0,0,2,0,0,2,1,1,2,1,0,14,11,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,1,0,1,0,4,1,0,0,0,0,10,6
54 - Ρεθύμνης,45 E.T. Δήμου Αμαρίου,308,205,1,0,1,204,37,31,1,0,0,33,15,0,0,15,108,2,0,101,4,8,1,0,2,2,4,1,2,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,3,2
54 - Ρεθύμνης,46 E.T. Δήμου Αμαρίου,269,142,0,0,0,142,42,31,1,3,3,57,1,1,2,53,21,2,1,8,8,1,1,0,0,0,7,3,2,1,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,2,0,0,3,3,0,0
54 - Ρεθύμνης,47 E.T. Δήμου Αμαρίου,383,249,4,0,4,245,96,37,46,7,6,41,7,1,4,27,78,0,1,71,5,4,1,0,1,0,3,0,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,4,3,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1
54 - Ρεθύμνης,48 E.T. Δήμου Αμαρίου,246,171,0,3,3,168,51,36,6,1,4,41,7,0,0,32,51,2,12,14,16,3,0,0,0,2,2,1,0,1,3,0,2,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,3,3
54 - Ρεθύμνης,49 E.T. Δήμου Αμαρίου,197,119,0,0,0,119,39,24,13,0,2,33,4,1,1,27,24,1,1,11,10,6,3,0,0,1,2,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,5,5
54 - Ρεθύμνης,50 E.T. Δήμου Αμαρίου,193,145,4,0,4,141,56,43,3,3,4,16,3,0,3,8,41,0,4,13,23,2,1,0,0,1,2,0,0,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,4,1,1,2,1,1,1,1,0,0,2,1,0,0,2,2,6,3
54 - Ρεθύμνης,51 E.T. Δήμου Αμαρίου,445,275,6,0,6,269,136,75,23,14,15,48,8,2,8,29,47,2,0,23,21,5,3,0,0,1,5,1,2,2,3,0,2,0,0,0,0,0,0,0,2,0,2,1,0,1,1,1,0,11,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,1,0,0,0,0,0,1,1,0,0,4,2
54 - Ρεθύμνης,52 E.T. Δήμου Αμαρίου,194,123,0,0,0,123,52,34,6,3,9,28,9,1,2,15,30,0,0,20,10,1,1,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2
54 - Ρεθύμνης,53 E.T. Δήμου Αμαρίου,129,94,1,0,1,93,30,22,0,0,7,22,8,2,1,9,18,0,0,12,6,8,2,1,1,3,1,0,0,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
54 - Ρεθύμνης,54 E.T. Δήμου Αμαρίου,204,151,1,0,1,150,64,49,1,4,8,35,14,4,1,16,26,1,1,13,5,5,1,0,0,4,1,1,0,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
54 - Ρεθύμνης,55 E.T. Δήμου Αμαρίου,294,192,1,0,1,191,68,43,7,7,7,29,4,0,2,22,61,4,5,35,16,10,5,0,3,1,7,1,2,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,1,1,0,0,1,1,4,2
54 - Ρεθύμνης,56 E.T. Δήμου Αμαρίου,166,115,0,1,1,114,36,27,1,1,4,36,10,1,0,21,24,0,2,16,5,7,1,0,0,4,3,1,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
54 - Ρεθύμνης,57 E.T. Δήμου Αμαρίου,223,171,3,0,3,168,52,19,13,12,5,46,11,0,2,31,55,0,7,8,40,5,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54 - Ρεθύμνης,58 E.T. Δήμου Αμαρίου,294,183,1,1,2,181,73,47,5,13,1,26,1,4,1,17,53,5,6,12,28,4,2,0,0,0,3,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,4,3,0,0,1,0,1,0,0,0,1,1,0,0,3,3
54 - Ρεθύμνης,59 E.T. Δήμου Ανωγείων,494,356,3,1,4,352,149,134,6,1,0,104,35,2,4,56,35,2,0,4,26,44,37,0,0,2,1,0,0,0,3,0,2,1,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,1,1,0,0,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
54 - Ρεθύμνης,60 E.T. Δήμου Ανωγείων,512,389,0,0,0,389,194,174,10,0,1,99,31,0,2,59,56,4,0,4,43,34,28,0,0,4,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
54 - Ρεθύμνης,61 E.T. Δήμου Ανωγείων,506,362,3,2,5,357,138,124,4,0,0,148,49,6,8,72,46,1,2,2,39,11,7,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2
54 - Ρεθύμνης,62 E.T. Δήμου Ανωγείων,509,377,2,0,2,375,79,68,3,2,0,151,69,5,0,66,100,1,4,10,76,31,26,0,0,1,1,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
54 - Ρεθύμνης,63 E.T. Δήμου Ανωγείων,512,384,6,3,9,375,119,105,2,2,1,134,32,1,2,86,45,0,2,2,37,57,46,0,0,7,1,1,0,0,5,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,3
54 - Ρεθύμνης,64 E.T. Δήμου Μυλοποτάμου,347,262,2,1,3,259,100,85,4,6,2,48,15,6,2,24,78,4,7,8,53,10,3,1,1,4,2,0,1,1,3,2,0,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,3,0,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,0,0
54 - Ρεθύμνης,65 E.T. Δήμου Μυλοποτάμου,359,256,3,0,3,253,88,69,5,6,4,62,15,3,5,35,67,3,3,2,51,8,4,1,0,0,6,0,3,2,2,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,7,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,5,2
54 - Ρεθύμνης,66 E.T. Δήμου Μυλοποτάμου,390,260,3,0,3,257,95,68,5,6,7,24,14,2,1,7,109,5,6,10,84,2,1,0,0,1,4,0,2,1,1,0,1,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,11,4,1,4,1,1,0,0,0,0,0,0,0,0,2,2,0,0
54 - Ρεθύμνης,67 E.T. Δήμου Μυλοποτάμου,167,114,0,0,0,114,30,27,0,1,0,27,9,0,0,16,47,0,1,1,38,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
54 - Ρεθύμνης,68 E.T. Δήμου Μυλοποτάμου,448,305,4,2,6,299,118,79,6,25,3,65,38,3,3,17,67,5,3,2,53,1,0,0,0,0,12,3,4,3,2,1,1,2,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,12,10,1,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11
54 - Ρεθύμνης,69 E.T. Δήμου Μυλοποτάμου,234,171,3,1,4,167,67,47,3,8,4,32,12,2,0,17,43,1,0,9,32,5,3,0,1,1,3,0,2,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,6,0,0,0,0,1,0,0,0,2,1,1,1,0,0,1,0
54 - Ρεθύμνης,70 E.T. Δήμου Μυλοποτάμου,42,24,0,0,0,24,11,6,1,2,0,2,1,0,0,1,8,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
54 - Ρεθύμνης,71 E.T. Δήμου Μυλοποτάμου,558,357,10,3,13,344,107,77,3,15,7,52,20,7,0,19,128,0,2,9,113,13,3,0,1,6,5,1,1,1,3,1,0,0,0,0,0,0,0,0,2,1,1,3,2,1,0,0,0,6,4,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,1,0,3,5,2,1,1,0,0,2,1,0,0,0,0,10,8
54 - Ρεθύμνης,72 E.T. Δήμου Μυλοποτάμου,192,118,0,0,0,118,42,27,3,10,0,19,5,0,1,10,33,2,2,1,27,2,1,0,0,0,6,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
54 - Ρεθύμνης,73 E.T. Δήμου Μυλοποτάμου,411,318,7,1,8,310,142,120,12,5,1,45,22,5,2,16,94,1,2,20,63,4,2,0,0,1,7,0,2,3,3,0,0,2,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,3,3,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
54 - Ρεθύμνης,74 E.T. Δήμου Μυλοποτάμου,448,329,5,1,6,323,138,98,7,16,5,44,23,4,1,12,104,5,2,2,92,6,2,1,1,1,8,2,2,3,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,9,8,0,0,2,1,0,0,0,0,1,1,0,0,0,0,4,4
54 - Ρεθύμνης,75 E.T. Δήμου Μυλοποτάμου,52,33,0,1,1,32,2,1,0,1,0,11,6,0,0,3,14,2,0,5,7,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
54 - Ρεθύμνης,76 E.T. Δήμου Μυλοποτάμου,164,122,1,0,1,121,45,29,4,9,0,11,4,0,0,4,44,4,2,6,31,8,3,2,2,1,3,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0
54 - Ρεθύμνης,77 E.T. Δήμου Μυλοποτάμου,441,290,7,0,7,283,118,70,4,13,10,66,27,0,3,33,58,3,2,16,32,9,2,2,0,2,7,3,1,0,3,0,2,3,3,0,0,0,0,0,0,0,0,1,0,0,2,1,0,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,2,0,1,1,0,0,5,4
54 - Ρεθύμνης,78 E.T. Δήμου Μυλοποτάμου,62,42,0,0,0,42,19,15,0,4,0,9,6,0,0,0,6,0,0,1,5,1,1,0,0,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0
54 - Ρεθύμνης,79 E.T. Δήμου Μυλοποτάμου,458,374,7,2,9,365,145,89,9,36,1,75,21,1,3,45,107,3,3,19,79,4,3,0,0,0,6,2,1,1,3,1,0,1,1,0,0,0,0,0,0,0,0,3,1,2,1,0,0,7,6,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,3,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,2
54 - Ρεθύμνης,80 E.T. Δήμου Μυλοποτάμου,453,343,3,1,4,339,114,72,9,22,1,68,27,3,1,37,125,5,4,12,98,4,3,0,0,1,5,2,1,2,6,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,3,1,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,1
54 - Ρεθύμνης,81 E.T. Δήμου Μυλοποτάμου,479,379,3,2,5,374,119,78,2,20,5,65,22,2,3,34,139,4,2,9,118,7,6,0,1,0,3,0,0,2,7,2,3,3,3,0,0,0,0,0,1,0,1,1,0,1,3,2,1,11,9,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,4,1,1,1,0,0,2,1,2,2,2,1,1,1,0,0,2,2
54 - Ρεθύμνης,82 E.T. Δήμου Μυλοποτάμου,393,282,5,0,5,277,110,40,10,48,5,47,18,2,2,15,68,1,4,3,58,9,3,0,0,2,12,3,4,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,5,2,0,2,0,0,2,2,0,0,1,0,0,0,1,1,10,8
