ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΡΑΝΑ ΕΙΡΗΝΗ του Βρανά,ΔΕΛΗΚΑΡΗ ΑΓΓΕΛΙΚΗ του Γεωργίου,ΛΑΖΑΡΙΔΗΣ ΜΑΚΑΡΙΟΣ του Βασιλείου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΠΑΣΧΑΛΙΔΗΣ ΙΩΑΝΝΗΣ του Αδάμ,ΧΑΤΖΗΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΑ (ΜΑΙΡΗ) του Γεωργίου,ΣΥΡΙΖΑ,ΕΛΕΥΘΕΡΙΑΔΟΥ ΣΟΥΛΤΑΝΑ (ΤΑΝΙΑ) του Παύλου,ΕΜΜΑΝΟΥΗΛΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΚΑΡΑΣΑΒΒΟΓΛΟΥ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΜΙΡΛΗ ΑΝΑΣΤΑΣΙΑ του Δημητρίου,ΞΟΥΛΟΓΗΣ ΦΙΛΗΜΩΝ του Χρήστου,ΠΑΝΑΓΙΩΤΙΔΟΥ ΑΘΗΝΑ του Ιωάννη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΑΪΝΤΑΤΖΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Χαράλαμπου,ΜΑΡΤΙΔΟΥ ΣΟΦΙΑ του Νικολάου,ΠΑΠΟΥΤΣΗΣ ΔΗΜΗΤΡΙΟΣ του Πασχάλη,ΠΑΠΠΑΣ ΛΕΩΝΙΔΑΣ του Γεωργίου,ΠΛΑΦΑΔΕΛΗΣ ΙΩΑΝΝΗΣ του Αγγέλου,ΧΡΙΣΤΟΔΟΥΛΟΥ ΕΥΣΤΡΑΤΙΑ συζ. Κρεμύδα Σμάραγδου,Κ.Κ.Ε.,ΓΙΑΓΚΙΔΗΣ ΙΩΑΝΝΗΣ του Μιχαήλ,ΔΙΑΜΑΝΤΟΠΟΥΛΟΣ ΜΙΧΑΗΛ του Βασιλείου,ΚΟΝΤΟΓΕΩΡΓΙΟΥ ΘΕΟΔΩΡΟΣ του Γεωργίου,ΜΠΡΑΤΣΟΥ ΒΑΣΙΛΙΚΗ του Στυλιανού,ΠΗΛΙΤΣΗ ΧΑΪΔΟΥΛΑ (ΧΑΡΙΣ) του Δημητρίου,ΤΣΩΜΟΥ - ΧΡΥΣΑΦΗ ΑΝΑΣΤΑΣΙΑ (ΤΑΣΙΑ) συζ. Νικολάου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΤΣΑΔΑΚΗΣ ΝΙΚΟΛΑΟΣ του Εμμανουήλ,ΚΑΪΚΟΥΝΙΔΗΣ ΜΙΧΑΗΛ του Χαράλαμπου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΣΩΤΗΡΙΑ του Αλεξίου,ΠΙΠΕΡΓΙΑΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΣΥΜΕΩΝΙΔΗΣ ΑΛΕΞΑΝΔΡΟΣ του Παύλου,ΤΣΑΧΑΛΙΔΟΥ ΟΛΓΑ του Κωνσταντίνου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΠΟΣΤΟΛΑΚΑΚΗ ΦΩΤΕΙΝΗ του Αποστόλου,ΔΑΜΙΑΝΙΔΟΥ ΔΕΣΠΟΙΝΑ του Ομήρου,ΙΩΑΝΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Λαζάρου,ΜΑΚΑΡΙΟΣ (ΜΑΚΑΡΙΟΥ) ΜΙΧΑΗΛ (ΜΙΧΑΛΗΣ) του Εμμανουήλ,ΝΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Στυλιανού,ΠΑΣΣΑΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΤΑΧΤΣΙΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΤΡΙΑΝΤΑΦΥΛΛΙΔΟΥ ΙΟΥΛΙΑ του Αντωνίου,ΧΟΡΟΖΙΔΗΣ ΣΩΤΗΡΙΟΣ του Ηρακλή,Κ.Κ.Ε. (μ-λ),ΒΡΑΧΝΑΚΗ ΑΝΤΙΓΟΝΗ του Μιχαήλ,ΜΑΤΣΟΥΚΑΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΖΙΓΝΕΛΗΣ ΧΡΙΣΤΟΔΟΥΛΟΣ του Θεοδώρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΠΙΤΤΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Μαξίμου,ΨΩΜΙΑΔΗ ΜΑΡΙΑ του Νικολάου,Κίνημα 21,ΚΑΡΥΠΙΔΟΥ ΣΥΜΕΛΑ του Θεοδώρου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΣΑΡΙΔΟΥ ΣΟΦΙΑ του Δημητρίου,ΚΑΡΑΛΑΖΟΣ ΑΝΑΣΤΑΣΙΟΣ του Ευθυμίου,ΜΥΛΩΝΑΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΤΖΙΑΚΑ ΕΥΑΓΓΕΛΙΑ του Ευαγγέλου,ΝΙΚΗ,ΚΟΤΣΑΝΟΥ ΑΝΑΤΟΛΗ του Ευάγγελου,ΜΠΟΥΓΑΤΣΑ ΑΡΓΥΡΗ του Ιωάννη,ΤΑΚΗΣ ΑΝΤΩΝΙΟΣ του Ευσταθίου,ΤΣΕΛΕΠΟΝΗΣ ΔΗΜΗΤΡΙΟΣ του Αλεξάνδρου,κοινωνία αξιών,ΣΠΑΡΙΔΗΣ ΘΕΟΔΩΡΟΣ του Ευαγγέλου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΔΗΜΗΤΡΙΑΔΗΣ ΚΥΡΙΑΚΟΣ του Ευθυμίου,ΖΙΑΡΟΥ ΒΑΣΙΛΙΚΗ του Δημητρίου,Ο.Α.Κ.Κ.Ε.,ΜΑΝΙΑΔΗ ΜΑΡΙΑ του Μενελάου,Μ-Λ Κ.Κ.Ε.,ΠΑΣΑΧΙΔΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΘΑΛΑΣΣΟΥΔΗ ΟΛΓΑ του Γεωργίου,ΚΑΡΑΚΟΖΙΔΗΣ ΗΛΙΑΣ του Χαράλαμπου,ΜΟΜΤΣΟΥ ΦΩΤΕΙΝΗ του Ιωάννη,ΜΠΕΝΗΣ ΓΕΩΡΓΙΟΣ του Πέτρου,ΤΣΑΓΚΑΡΑΤΟΣ ΧΡΙΣΤΟΦΟΡΟΣ του Θρασύβουλου,ΧΩΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χαράλαμπου,Ένωση Κεντρώων,ΒΑΣΙΛΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Κωνσταντίνου,ΠΑΛΑΝΤΖΙΔΟΥ ΜΑΡΓΑΡΙΤΑ του Μιχαήλ,ΣΑΛΜΑΝ ΧΡΗΣΤΟΣ - ΤΖΑΜΑΛ του Χουσσεΐν,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΟΛΥΒΑΣ ΑΘΑΝΑΣΙΟΣ του Γερασίμου,ΡΑΜΠΟΤΑ ΑΡΕΤΗ του Γεωργίου,ΣΟΦΙΑΝΟΠΟΥΛΟΥ ΜΑΡΙΛΕΝΑ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΟΥΔΕΒΕΝΟΥ ΚΑΛΛΙΟΠΗ του Σπυρίδωνος,ΚΛΕΤΣΑ ΠΑΤΡΑ του Αχιλλέως,ΠΑΚΑΤΑΡΙΔΗΣ ΣΑΒΒΑΣ του Ευσταθίου,ΣΑΡΜΠΕΖΟΥΔΗΣ ΔΗΜΗΤΡΙΟΣ του Αλεξάνδρου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΡΟΤΟΠΟΥΛΟΥ-ΚΑΛΦΟΠΟΥΛΟΥ ΜΑΡΙΑ (ΜΑΡΙΝΑ) του Ιωσήφ,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΜΙΧΑΗΛΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Μιχαήλ,ΜΟΛΙΩΤΗ ΑΝΔΡΙΑΝΑ του Αλεξάνδρου,ΠΕΧΛΙΒΑΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΠΑΠΑΔΟΠΟΥΛΟΣ ΘΕΟΦΑΝΗΣ του Χρήστου,ΕΑΝ...,ΘΕΟΔΟΣΙΟΥ ΠΕΛΑΓΙΑ του Αθανασίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΡΥΩΤΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΟΠΑΝΟΓΛΟΥ ΠΟΛΥΞΕΝΗ του Ευθυμίου
5 - Καβάλας,179 E.T. Δήμου Νέστου,362,142,4,1,5,137,47,3,3,8,32,18,0,38,27,6,8,4,6,2,22,5,3,10,8,0,1,2,1,0,0,1,1,1,4,1,1,1,1,1,2,2,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,4,2,1,1,0,10,2,5,2,4,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1
5 - Καβάλας,180 E.T. Δήμου Νέστου,404,138,3,1,4,134,77,4,25,15,46,27,6,18,10,4,3,3,1,3,8,2,0,2,1,1,0,3,1,0,0,3,2,0,6,0,1,1,3,0,4,5,1,1,2,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7,6,3,1,2,0,0,1,1,0,1,0,0,0,0,0,0,1,1
5 - Καβάλας,181 E.T. Δήμου Νέστου,231,84,1,0,1,83,43,0,4,14,39,17,0,6,6,0,4,0,0,0,2,0,1,1,1,0,1,5,3,0,0,2,3,0,5,0,0,2,2,0,2,2,0,1,0,0,0,0,6,1,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,3,2,2,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,4,3
5 - Καβάλας,182 E.T. Δήμου Νέστου,522,272,6,2,8,264,101,2,39,11,76,22,2,48,16,6,6,15,3,7,29,15,2,16,5,2,2,10,2,0,0,5,4,0,26,1,2,6,6,4,5,5,4,2,0,0,1,0,3,2,0,2,1,1,0,0,0,1,0,0,3,3,1,1,0,0,0,12,4,3,4,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,2,2,0,1,0,0,0,6,2,1,3,1,0,0,1,1,0,0,1,1,2,2,1,1,7,7
5 - Καβάλας,183 E.T. Δήμου Νέστου,524,316,6,2,8,308,127,7,62,18,92,21,6,61,27,10,6,24,10,8,39,17,2,12,14,0,3,13,2,3,0,7,7,0,14,3,3,3,6,1,0,10,4,3,2,1,0,1,4,3,0,1,1,1,1,0,0,0,0,0,6,3,3,0,0,0,1,10,3,1,4,5,0,0,0,0,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,6,2,4,1,0,1,1,2,0,1,0,1,0,2,1,0,0,6,2
5 - Καβάλας,184 E.T. Δήμου Νέστου,525,280,3,0,3,277,127,5,58,18,77,23,8,49,20,13,6,11,9,8,21,12,2,5,5,0,1,7,3,3,1,1,0,0,13,2,0,0,8,0,2,5,2,2,2,1,0,0,2,0,0,1,2,1,1,1,0,3,1,2,2,2,2,1,0,0,0,10,2,3,3,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,2,1,0,0,0,0,0,7,4,0,3,3,1,0,6,5,5,0,0,0,1,0,0,0,15,10
5 - Καβάλας,185 E.T. Δήμου Νέστου,521,304,7,3,10,294,138,6,66,24,97,34,3,51,24,7,8,17,10,5,27,13,3,9,6,1,3,9,2,1,1,4,5,2,20,2,1,4,7,7,6,11,2,2,2,1,1,1,4,2,0,2,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,10,3,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,1,2,4,1,0,0,1,0,0,3,0,0,2,1,0,0,0,0,0,8,5
5 - Καβάλας,186 E.T. Δήμου Νέστου,521,307,5,4,9,298,145,11,75,20,116,36,2,41,23,8,2,15,3,8,23,13,4,12,6,0,2,18,1,0,0,5,10,0,27,6,1,5,8,7,9,5,2,0,1,0,0,0,4,3,2,1,0,0,0,1,1,0,0,0,2,2,1,0,0,0,0,10,1,4,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,5,2,3,0,1,0,0,1,0,0,0,0,0,2,2,3,2,8,7
5 - Καβάλας,187 E.T. Δήμου Νέστου,526,319,2,1,3,316,139,9,69,22,105,33,5,49,21,10,3,22,3,5,50,36,2,20,14,0,4,14,0,1,0,3,8,2,16,1,1,4,4,3,6,8,2,3,1,2,2,0,2,0,1,1,0,0,0,0,0,2,1,1,1,1,4,0,1,1,1,7,4,1,3,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,3,1,0,1,0,0,0,0,0,0,0,1,0,2,1,1,1,12,7
5 - Καβάλας,188 E.T. Δήμου Νέστου,511,308,6,3,9,299,109,5,54,18,71,25,1,46,20,9,4,13,6,7,49,27,2,21,12,1,4,6,1,0,0,2,1,1,18,4,0,2,7,5,2,10,2,0,1,0,0,2,2,0,0,2,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,23,8,4,5,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,5,1,2,1,2,1,1,8,2,2,5,4,4,0,0,0,0,11,4
5 - Καβάλας,189 E.T. Δήμου Νέστου,515,287,5,0,5,282,133,4,64,21,103,33,6,33,13,10,6,11,3,6,35,24,5,13,7,0,3,8,3,1,0,2,3,0,18,2,4,3,7,3,7,5,0,1,1,1,2,1,3,1,1,2,0,0,0,0,0,0,0,0,3,2,1,0,0,1,0,8,4,0,1,3,1,1,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,0,4,1,5,1,0,0,2,0,0,2,2,2,0,3,1,1,1,1,1,14,9
5 - Καβάλας,190 E.T. Δήμου Νέστου,522,294,5,0,5,289,128,4,57,15,101,31,10,55,30,18,5,22,8,5,36,22,4,16,9,1,4,10,4,0,1,4,5,1,12,4,0,2,5,1,3,12,5,2,3,2,2,4,4,4,2,1,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,7,6,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,12,9,3,4,5,0,0,2,2,0,0,1,1,0,0,1,0,4,2
5 - Καβάλας,191 E.T. Δήμου Νέστου,515,300,2,2,4,296,149,4,72,32,118,22,8,28,16,3,3,6,4,5,45,32,1,16,17,0,5,5,0,0,0,2,4,0,19,1,1,5,11,4,5,4,0,0,1,0,0,1,4,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,16,8,6,4,3,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,2,3,1,0,0,0,0,2,1,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,14,12
5 - Καβάλας,192 E.T. Δήμου Νέστου,517,289,9,1,10,279,106,5,56,22,64,17,6,44,19,9,6,18,7,5,41,17,8,16,13,0,4,13,2,1,0,6,7,2,23,4,0,6,15,3,8,8,1,3,2,0,0,3,1,1,0,0,0,0,0,2,1,1,0,0,3,2,1,1,0,0,1,6,2,1,2,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,0,1,1,2,0,0,1,5,1,4,2,0,1,1,5,4,2,2,2,0,0,0,0,0,12,7
5 - Καβάλας,193 E.T. Δήμου Νέστου,520,274,3,2,5,269,106,4,57,16,75,16,6,45,23,7,2,16,3,11,49,25,6,17,18,1,7,12,1,1,1,6,9,0,20,2,1,3,11,2,4,10,5,5,2,1,3,0,1,0,1,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,8,3,3,2,3,0,0,0,0,0,0,0,1,0,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,4,3
5 - Καβάλας,194 E.T. Δήμου Νέστου,516,295,5,0,5,290,131,6,62,32,90,25,3,47,26,10,3,16,11,8,37,20,5,15,15,0,4,10,1,1,0,4,6,0,22,5,1,7,8,8,10,8,2,3,0,3,0,0,4,1,0,4,0,0,0,0,0,0,0,0,5,4,3,2,1,0,1,7,2,2,1,3,0,0,1,1,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,0,0,0,6,3,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,5,4
5 - Καβάλας,195 E.T. Δήμου Νέστου,504,304,3,1,4,300,112,4,44,15,76,33,6,48,21,14,5,15,3,5,51,32,7,16,12,0,1,8,1,0,1,2,5,1,21,5,3,3,8,5,4,9,4,2,3,1,3,0,7,4,0,2,0,0,0,0,0,1,0,0,1,1,3,1,0,2,2,14,6,2,6,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,4,3,0,1,2,0,2,2,2,1,0,1,2,0,0,0,1,0,9,6
5 - Καβάλας,196 E.T. Δήμου Νέστου,164,72,3,0,3,69,34,6,10,6,24,11,0,3,2,1,0,1,0,0,4,2,0,2,3,0,0,1,0,0,0,0,0,0,6,0,0,1,4,0,1,2,0,0,1,1,0,0,9,9,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5 - Καβάλας,197 E.T. Δήμου Νέστου,360,197,0,0,0,197,106,11,27,36,76,25,3,31,18,2,3,7,14,6,22,7,5,10,4,0,2,10,0,2,0,6,7,2,3,1,0,1,1,1,1,2,1,0,1,0,0,0,4,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,5,2,3,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,1,2,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2,2,0,0,3,3
5 - Καβάλας,198 E.T. Δήμου Νέστου,354,187,6,0,6,181,87,4,3,33,52,32,4,34,27,2,3,7,12,1,31,5,6,18,6,1,7,7,2,2,0,2,2,0,4,0,0,0,3,0,1,0,0,0,0,0,0,0,2,1,0,1,2,1,0,0,0,1,1,1,0,0,1,1,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,2,0,1,1
5 - Καβάλας,199 E.T. Δήμου Νέστου,416,255,3,0,3,252,110,3,18,18,92,31,4,43,20,9,6,9,1,4,40,19,2,13,13,0,0,11,1,1,1,3,4,1,11,1,2,1,3,1,0,7,0,3,0,0,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,4,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,1,0,4,0,0,1,2,1,0,1,0,0,0,1,0,1,0,0,0,5,2
5 - Καβάλας,200 E.T. Δήμου Νέστου,421,281,1,0,1,280,112,4,20,19,98,37,6,54,32,7,6,20,4,4,50,27,3,24,17,0,2,12,0,0,0,4,4,1,22,5,0,2,9,2,3,5,3,1,0,0,0,0,2,1,1,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,3,1,1,1,0,0,0,0,1,1,3,2,1,0,0,0,1,1,0,0,7,7
5 - Καβάλας,201 E.T. Δήμου Νέστου,361,144,3,0,3,141,62,4,28,5,40,29,4,16,11,6,2,3,0,3,13,5,1,7,4,2,1,6,0,0,0,2,2,0,16,6,3,1,5,2,0,4,0,1,1,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,3,2,4,2,0,0,1,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,1,1
5 - Καβάλας,202 E.T. Δήμου Νέστου,378,257,4,0,4,253,145,3,57,25,99,41,5,25,18,7,1,7,3,0,26,8,1,13,8,0,3,5,0,0,1,0,2,1,10,3,0,2,6,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,5,1,3,2,0,10,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,2,0,0,0,2,0,1,0,0,0,1,0,1,1,0,0,4,1
5 - Καβάλας,203 E.T. Δήμου Νέστου,365,216,7,0,7,209,116,1,47,34,94,27,1,29,10,17,1,8,2,0,17,2,1,13,10,0,2,6,0,1,1,3,5,1,5,2,1,0,3,0,0,9,5,0,2,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,2,1,0,0,0,9,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,1,5,1,2,2,2,0,0,2,0,0,2,0,0,0,0,0,0,4,2
5 - Καβάλας,204 E.T. Δήμου Νέστου,448,252,4,1,5,247,116,8,33,22,92,27,4,36,27,8,2,8,4,4,22,5,3,5,9,0,7,11,2,2,1,0,0,0,13,1,1,1,4,0,1,4,1,0,0,0,1,0,8,3,2,3,1,1,1,0,0,1,0,0,2,1,3,0,0,1,1,6,4,0,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,1,0,0,0,1,0,3,1,0,2,1,1,2,0,1,1,7,3
5 - Καβάλας,205 E.T. Δήμου Νέστου,432,254,9,3,12,242,127,3,34,16,98,37,3,29,21,9,0,4,4,7,17,8,3,4,7,0,2,12,5,3,2,4,4,0,16,3,3,6,7,2,3,2,0,1,0,0,0,0,5,1,1,1,0,0,0,0,0,1,1,1,2,1,2,1,0,0,0,11,1,2,4,7,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,1,0,0,0,0,2,1,0,1,0,0,1,0,0,0,9,7
5 - Καβάλας,206 E.T. Δήμου Νέστου,296,155,2,0,2,153,77,11,8,17,51,25,2,15,6,1,2,2,3,1,10,5,0,3,1,0,0,12,0,0,0,11,12,0,8,1,2,1,2,1,0,7,4,0,3,0,1,1,5,4,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,2,2,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,2,2,2,0,0,1,1,0,0,0,0,0,0,2,1,1,0,2,1
5 - Καβάλας,207 E.T. Δήμου Νέστου,384,197,1,1,2,195,94,10,17,22,59,34,3,27,9,8,1,12,5,1,40,17,1,8,10,1,11,3,0,0,0,1,3,0,5,1,0,1,0,1,3,5,1,0,1,0,1,0,5,3,0,1,0,0,0,0,0,0,0,0,1,1,2,1,0,2,0,3,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2
5 - Καβάλας,208 E.T. Δήμου Νέστου,328,144,4,0,4,140,70,4,8,23,46,27,4,18,7,3,3,4,2,5,17,3,2,5,6,0,2,9,3,1,0,3,3,1,11,0,2,5,6,0,4,2,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1
5 - Καβάλας,209 E.T. Δήμου Νέστου,532,309,1,1,2,307,148,8,31,28,125,59,7,50,35,9,9,15,5,2,34,15,3,18,10,0,4,8,1,1,0,1,2,1,19,5,1,8,8,1,6,3,1,2,0,1,0,0,3,2,1,1,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,8,4,2,3,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,2,0,3,3,1,1,4,1,2,1,0,0,0,2,1,2,1,2,1,1,1,1,0,13,7
5 - Καβάλας,210 E.T. Δήμου Νέστου,543,289,8,3,11,278,133,7,28,14,102,54,9,46,26,9,10,11,3,7,29,10,3,13,7,1,7,13,0,0,2,5,6,1,20,4,2,1,5,3,4,6,3,0,0,4,2,1,3,1,1,1,0,0,0,0,0,1,1,1,3,3,1,0,0,0,0,10,4,4,1,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,1,1,0,0,0,1,0,0,0,4,2
5 - Καβάλας,211 E.T. Δήμου Νέστου,369,230,2,2,4,226,116,5,22,28,77,35,9,38,18,12,10,2,3,7,12,3,3,8,3,1,0,1,0,0,1,0,0,0,22,4,0,4,8,4,3,1,0,0,1,0,1,0,7,1,1,6,1,1,0,4,3,0,0,0,3,2,2,0,1,0,1,7,3,0,3,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,3,3,1,0,2,1,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,2,2
5 - Καβάλας,212 E.T. Δήμου Νέστου,363,204,3,1,4,200,96,5,14,19,77,36,14,32,21,8,10,7,3,3,26,7,2,15,13,1,3,3,1,0,1,0,0,0,12,6,1,2,6,3,2,2,0,1,0,0,1,0,6,0,0,5,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,12,7,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2
5 - Καβάλας,213 E.T. Δήμου Νέστου,652,306,7,3,10,296,180,10,27,21,150,33,4,24,19,0,6,0,1,10,33,13,2,13,15,0,1,5,0,3,1,2,0,0,22,3,1,2,7,12,8,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,5,0,2,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,7,4,0,0,1,0,0,1,0,0,0,2,0,0,2,0,0,2,1,3,2,4,1
