ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΝΔΡΙΑΝΟΣ ΙΩΑΝΝΗΣ του Σωτηρίου,ΔΩΡΟΒΙΝΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΜΠΟΥΝΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΥ ΕΛΕΝΗ του Ευαγγέλου,ΤΑΝΤΑΡΟΥ-ΚΡΙΓΓΟΥ ΘΕΟΔΟΣΙΑ (ΣΟΝΙΑ) του Δημητρίου,ΣΥΡΙΖΑ,ΓΑΒΡΗΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΝΙΚΟΛΟΠΟΥΛΟΥ ΣΤΑΥΡΟΥΛΑ (ΣΠΗΛΙΑ) του Χαράλαμπου,ΠΑΠΑΪΩΑΝΝΟΥ ΠΑΝΑΓΙΩΤΗΣ (ΤΑΚΗΣ) του Γεωργίου,ΣΚΟΥΡΤΗ ΠΑΡΑΣΚΕΥΗ (ΒΙΒΗ) του Δημητρίου,ΣΤΕΡΓΙΟΥ ΓΕΩΡΓΙΟΣ του Χρήστου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΕΥΑΓΓΕΛΙΝΟΥ ΣΤΑΥΡΟΥΛΑ - ΕΛΕΝΗ του Αργυρίου,ΖΑΧΑΡΙΟΥΔΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Κωνσταντίνου,ΠΟΥΛΑΣ ΑΝΔΡΕΑΣ του Θεοδοσίου,ΧΕΙΒΙΔΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΣΟΣ) του Παναγιώτη,ΨΥΧΟΓΥΙΟΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,Κ.Κ.Ε.,ΓΚΟΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΓΚΟΥΒΙΣΗ ΣΤΑΥΡΟΥΛΑ (ΒΟΥΛΑ) του Ιωάννη,ΚΟΛΙΖΕΡΑΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΚΡΟΚΟΣ ΜΙΧΑΗΛ του Φωτίου,ΧΑΤΖΗΑΝΑΣΤΑΣΙΟΥ ΑΓΓΕΛΙΚΗ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΛΥΜΝΙΑΤΗΣ ΣΠΥΡΙΔΩΝ του Νικολάου,ΜΑΛΛΙΑΡΑ ΑΝΔΡΙΑΝΑ- ΧΡΙΣΤΙΝΑ του Φωτίου,ΠΛΕΥΡΙΤΗ ΓΕΩΡΓΙΑ του Ιωάννη,ΠΟΪΚΛΗΣ ΔΗΜΗΤΡΙΟΣ του Ευάγγελου,ΣΑΛΑΠΑΤΑΣ ΔΗΜΗΤΡΙΟΣ του Λεωνίδα,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΕΩΡΓΙΟΠΟΥΛΟΥ ΙΟΥΛΙΑ (ΗΛΙΑΝΑ) του Δημητρίου,ΔΑΓΡΕΣ ΞΕΝΟΦΩΝ (ΦΩΝΤΑΣ) του Δημητρίου,ΔΡΟΥΓΚΑΣ ΔΗΜΟΣΘΕΝΗΣ του Κωνσταντίνου,ΜΙΧΑΛΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Διαμαντή,ΣΤΟΓΙΑΝΟΒΙΤΣ ΣΝΕΖΑΝΑ (ΝΕΝΑ) του Ζίβοραντ,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΓΟΥΡΝΗ ΕΛΕΝΗ ΕΥΑΓΓΕΛΙΑ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΤΣΑΧΕΙΡΙΔΗΣ ΗΛΙΑΣ του Μιχαήλ,Ο.Κ.Δ.Ε.,ΝΤΙΝΟΠΟΥΛΟΥ ΣΤΑΜΑΤΙΑ του Παναγιώτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΕΡΔΕ ΕΛΕΝΗ του Παναγιώτη,ΜΠΟΥΓΙΟΥΚΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Συμεών,ΝΕΖΟΥ ΓΑΡΥΦΑΛΙΑ του Δημητρίου,ΤΟΥΜΠΑΝΟΣ ΠΕΤΡΟΣ του Θεοδώρου,Κίνημα 21,ΜΟΝΑΣΤΗΡΙΩΤΗΣ ΣΤΥΛΙΑΝΟΣ του Αλέξανδρου,ΧΡΥΣΟΣΤΑΛΗ ΚΑΛΛΙΟΠΗ του Κωνσταντίνου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΓΚΙΟΞΑΡΗ ΒΑΡΒΑΡΑ του Ελευθερίου,ΚΑΠΛΑΝΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΣΚΙΚΟΣ ΘΕΟΔΟΣΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αναστασίου,ΝΙΚΗ,ΖΑΧΟΣ ΙΩΑΝΝΗΣ του Βασιλείου,ΚΑΡΑΧΑΛΙΟΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΚΩΤΣΙΟΠΟΥΛΟΥ ΜΑΡΙΑ του Παύλου,κοινωνία αξιών,ΠΕΤΣΙΩΤΗ ΕΥΔΟΚΙΑ του Γεωργίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΓΚΑΝΑ ΠΑΝΑΓΙΩΤΑ του Ευστάθιου,Ο.Α.Κ.Κ.Ε.,ΒΑΣΙΛΕΙΑΔΗΣ ΠΕΤΡΟΣ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΣΑΛΑΠΑΤΑΣ ΛΕΩΝΙΔΑΣ του Ανδρέα,Ελλήνων Συνέλευσις,ΓΙΑΝΝΑΚΑΚΗΣ ΕΥΑΓΓΕΛΟΣ του Μιχαήλ,ΔΑΓΡΕΣ ΕΥΑΓΓΕΛΟΣ του Χρήστου,ΚΑΚΟΥ ΑΝΝΑ του Γεράσιμου,ΚΑΡΑΜΑΝΟΥ ΑΙΚΑΤΕΡΙΝΗ του Αναστάσιου,ΤΖΑΝΟΣ ΑΛΚΙΒΙΑΔΗΣ του Βασιλείου,Ένωση Κεντρώων,ΚΑΡΑΚΩΣΤΗΣ ΜΕΡΚΟΥΡΙΟΣ του Στέργιου,ΚΟΥΡΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,ΣΤΑΘΗ ΓΡΗΓΟΡΙΑ του Χαράλαμπου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΒΕΡΓΑΔΟΥ ΔΗΜΗΤΡΑ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΙΩΑΝΝΟΥ ΕΥΣΤΑΘΙΟΣ του Ιωάννη,ΚΑΛΟΓΕΡΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Παύλου,ΣΠΑΡΟΥ ΓΑΡΥΦΑΛΛΙΑ του Νικολάου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΚΟΡΔΑΛΗ ΜΑΡΙΑ του Κυριάκου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΣΤΑΪΚΟΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΟΥΦΑΚΟΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,ΕΑΝ...,ΤΣΕΝΤΟΥΡΟΥ ΑΙΜΙΛΙΑ του Αθανασίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΛΙΑΚΗ ΜΑΡΙΑ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Περικλή
44 - Αργολίδος,23 E.T. Δήμου Άργους - Μυκηνών,549,364,10,0,10,354,162,32,9,7,48,52,63,16,3,31,6,2,53,2,1,27,6,12,14,3,0,1,1,3,9,4,0,1,0,3,7,0,5,1,1,0,2,0,1,1,0,0,1,0,0,1,0,2,1,0,3,0,1,1,21,9,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,2,0,0,10,4
44 - Αργολίδος,24 E.T. Δήμου Άργους - Μυκηνών,546,346,3,2,5,341,148,47,15,2,46,37,52,17,4,23,3,1,54,0,1,14,14,25,12,3,1,3,0,2,22,8,1,1,0,9,10,0,4,0,4,2,2,0,0,0,0,0,2,0,0,0,2,1,0,0,4,0,1,1,10,4,4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,0,6,0,0,1,2,0,0,0,4,4,3,2,0,0,5,2
44 - Αργολίδος,25 E.T. Δήμου Άργους - Μυκηνών,552,358,18,3,21,337,151,45,10,5,38,46,64,8,10,32,6,1,46,2,0,9,7,23,10,0,3,0,1,1,18,2,1,1,0,12,9,1,4,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,14,7,4,3,0,0,1,1,0,0,3,1,1,0,0,0,0,0,2,0,1,0,2,2,3,0,2,1,0,0,1,0,3,2,0,0,1,0,5,3
44 - Αργολίδος,26 E.T. Δήμου Άργους - Μυκηνών,548,360,5,6,11,349,151,34,15,2,41,45,78,27,4,30,1,4,39,2,0,14,7,11,13,3,5,0,0,1,19,0,3,1,0,13,13,1,9,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,1,0,14,7,3,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,1,1,0,0,3,1,0,1,0,0,3,3,0,0,1,0,0,0,8,3
44 - Αργολίδος,27 E.T. Δήμου Άργους - Μυκηνών,561,344,11,2,13,331,156,30,7,3,60,40,59,16,6,21,4,1,49,2,0,17,11,14,10,2,3,3,1,0,7,2,0,1,0,3,13,1,7,1,2,0,1,1,0,0,0,0,6,1,0,0,3,4,0,2,2,0,0,0,9,3,5,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,1,0,3,2,0,0,1,0,1,1,4,4
44 - Αργολίδος,28 E.T. Δήμου Άργους - Μυκηνών,552,325,5,5,10,315,129,26,14,7,49,30,70,17,8,30,4,3,44,2,1,13,4,19,12,0,6,3,0,0,10,2,1,1,0,4,7,2,1,2,1,0,2,1,2,2,0,0,2,0,0,0,1,1,0,1,4,0,1,1,14,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,1,4,4,1,1,0,0,8,7
44 - Αργολίδος,29 E.T. Δήμου Άργους - Μυκηνών,522,315,6,2,8,307,127,24,5,6,40,47,32,6,6,15,2,2,57,1,0,28,4,19,19,5,3,7,0,0,18,4,4,2,0,6,7,1,4,0,0,0,3,2,0,0,1,1,0,0,0,0,0,3,0,3,6,0,4,0,20,8,9,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,4,1,1,0,0,0,1,0,2,1,1,1,0,0,3,1
44 - Αργολίδος,30 E.T. Δήμου Άργους - Μυκηνών,534,342,7,3,10,332,166,36,13,13,38,56,58,18,7,21,2,0,43,1,0,14,9,16,9,3,1,1,1,2,6,0,1,0,0,4,11,2,4,1,2,0,1,1,1,1,0,0,0,0,0,0,0,2,0,1,0,0,0,0,11,1,5,4,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,5,2,2,0,1,0,3,1,1,1,1,0,0,0,9,6
44 - Αργολίδος,31 E.T. Δήμου Άργους - Μυκηνών,530,349,10,2,12,337,133,26,10,10,34,43,48,14,5,12,4,3,61,1,0,27,11,18,19,2,10,4,0,1,27,7,3,3,0,6,15,1,4,3,2,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,1,1,0,0,11,1,6,3,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,1,1,1,0,0,0,0,0,9,3
44 - Αργολίδος,32 E.T. Δήμου Άργους - Μυκηνών,547,333,3,1,4,329,148,45,8,8,30,49,55,20,10,13,3,2,46,2,0,19,8,17,10,1,2,3,0,1,16,4,4,0,0,5,11,3,3,0,3,1,3,1,2,1,0,0,1,0,1,0,0,3,1,2,6,2,3,0,13,3,3,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,1,3,1,0,0,0,0,1,1,0,0,2,2,4,4
44 - Αργολίδος,33 E.T. Δήμου Άργους - Μυκηνών,544,338,5,2,7,331,126,26,9,6,36,36,67,16,13,22,4,4,54,2,2,21,10,17,14,8,1,2,0,0,8,4,1,0,0,2,11,0,6,4,1,0,1,0,1,0,0,0,4,0,0,0,1,4,1,2,2,0,1,0,19,7,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,14,8
44 - Αργολίδος,34 E.T. Δήμου Άργους - Μυκηνών,547,341,10,3,13,328,152,33,9,4,54,45,62,19,11,15,9,0,46,2,0,19,15,9,10,1,6,2,0,1,9,2,0,2,0,4,10,1,3,1,3,1,1,0,1,0,0,0,2,0,0,0,1,0,0,0,2,0,0,1,17,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,0,1,1,3,3,0,0,0,0,1,1,8,5
44 - Αργολίδος,35 E.T. Δήμου Άργους - Μυκηνών,535,344,8,3,11,333,137,46,13,8,33,29,63,23,12,16,2,1,49,0,0,0,0,0,17,3,3,3,1,1,19,1,1,0,0,11,8,2,4,0,1,0,1,1,0,0,0,0,3,0,0,0,3,6,3,3,0,0,0,0,13,3,9,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,9,5
44 - Αργολίδος,36 E.T. Δήμου Άργους - Μυκηνών,531,305,7,1,8,297,116,37,5,4,33,30,51,10,7,16,9,1,50,1,0,14,12,19,11,3,3,1,1,0,12,3,2,0,0,4,11,0,6,0,1,1,2,1,0,0,0,0,2,0,1,0,1,3,2,0,1,0,1,0,16,4,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,1,1,3,2,3,2,2,2,2,2,7,4
44 - Αργολίδος,37 E.T. Δήμου Άργους - Μυκηνών,548,325,5,0,5,320,139,36,14,7,33,29,43,14,7,15,1,0,50,2,1,21,8,16,14,2,6,1,0,2,17,5,0,2,0,10,10,3,7,0,0,0,2,0,0,0,2,0,2,0,0,0,2,4,0,4,4,0,1,1,15,5,8,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,2,0,1,0,0,0,0,0,1,1,3,2,2,1,7,3
44 - Αργολίδος,38 E.T. Δήμου Άργους - Μυκηνών,532,335,7,2,9,326,149,40,13,8,45,37,42,8,9,12,1,1,51,0,1,17,9,19,20,6,2,2,1,3,16,1,4,1,1,6,8,1,1,1,2,0,2,1,0,0,0,0,1,0,0,0,1,2,1,1,6,2,2,1,12,5,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,2,1,0,0,0,0,0,4,1,1,1,0,0,5,2
44 - Αργολίδος,39 E.T. Δήμου Άργους - Μυκηνών,548,352,11,2,13,339,136,30,13,5,52,29,53,12,6,23,4,3,47,0,0,25,5,12,20,3,7,3,0,1,15,1,4,1,1,6,17,1,8,0,4,0,2,2,0,0,0,0,5,2,0,0,1,5,1,3,4,1,1,0,11,4,3,3,0,0,1,0,0,0,0,0,3,0,0,0,0,0,4,1,1,0,0,0,3,2,0,1,1,0,2,0,2,2,1,1,1,0,6,3
44 - Αργολίδος,40 E.T. Δήμου Άργους - Μυκηνών,535,344,8,3,11,333,131,37,11,2,36,34,56,18,11,21,0,1,56,1,1,28,4,19,14,1,3,1,1,1,18,4,7,1,0,4,9,0,5,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,23,7,9,5,0,0,2,1,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,2,2,3,2,1,0,1,0,9,6
44 - Αργολίδος,41 E.T. Δήμου Άργους - Μυκηνών,549,323,11,0,11,312,113,26,17,5,32,28,68,23,17,12,2,1,45,0,0,18,7,16,9,1,3,1,1,1,17,4,3,1,0,6,8,0,4,0,2,0,2,1,0,0,0,0,7,1,0,1,1,2,1,0,1,0,0,0,8,3,2,1,3,1,2,1,0,0,1,1,2,0,1,1,0,0,2,0,0,1,0,0,3,2,1,0,0,0,3,3,1,1,1,1,7,2,7,3
44 - Αργολίδος,42 E.T. Δήμου Άργους - Μυκηνών,544,345,3,1,4,341,135,39,9,5,40,31,71,11,9,31,3,3,42,2,0,16,11,9,14,4,2,2,2,0,24,6,1,1,0,9,16,2,5,4,2,2,4,3,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,16,5,9,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,3,0,2,0,0,0,2,0,2,0,1,0,0,0,1,1,2,2,0,0,5,3
44 - Αργολίδος,43 E.T. Δήμου Άργους - Μυκηνών,561,323,7,2,9,314,135,34,15,6,36,32,56,14,7,18,3,2,45,1,1,14,8,19,17,5,3,4,0,0,9,5,1,1,0,1,14,2,4,0,4,0,1,1,0,0,0,0,3,2,1,0,0,3,1,1,2,0,1,0,8,1,6,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,2,0,1,0,0,0,0,0,0,0,1,0,3,0,0,0,1,1,10,5
44 - Αργολίδος,44 E.T. Δήμου Άργους - Μυκηνών,561,327,1,2,3,324,152,46,15,3,44,34,51,10,13,18,2,1,47,1,1,26,4,12,15,1,5,3,1,2,11,2,5,1,0,2,14,2,4,2,1,1,2,1,1,0,1,0,1,0,0,0,0,2,2,0,0,0,0,0,13,4,6,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,4,2,1,0,0,0,0,0,0,0,5,4
44 - Αργολίδος,45 E.T. Δήμου Άργους - Μυκηνών,366,244,3,0,3,241,129,44,17,8,30,24,36,10,5,9,3,0,37,1,0,10,21,5,4,1,2,0,0,0,7,0,1,1,0,5,7,1,2,0,3,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,2,0,1,0,4,0,2,2,0,0,2,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,2,2
44 - Αργολίδος,46 E.T. Δήμου Άργους - Μυκηνών,367,260,2,0,2,258,93,32,9,6,28,11,54,20,11,13,2,2,63,0,0,21,31,8,16,2,3,3,3,0,5,2,0,0,0,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,8,1,5,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,0,0,1,0,1,1,0,0,1,1,5,5
44 - Αργολίδος,47 E.T. Δήμου Άργους - Μυκηνών,345,193,4,1,5,188,93,39,9,0,6,34,42,13,9,17,1,0,24,0,0,11,5,5,6,1,3,1,0,0,6,5,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
44 - Αργολίδος,48 E.T. Δήμου Άργους - Μυκηνών,311,167,4,2,6,161,75,23,5,3,9,30,24,2,7,11,1,0,31,0,0,16,2,12,5,1,1,1,1,0,3,2,0,0,0,1,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,2,1
44 - Αργολίδος,49 E.T. Δήμου Άργους - Μυκηνών,406,299,3,4,7,292,153,44,64,4,17,19,38,14,0,12,5,1,51,2,0,31,7,10,11,1,4,0,3,1,12,5,1,0,0,4,10,0,2,1,1,1,1,1,1,0,0,0,1,0,0,0,0,2,1,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,2,1,0,0,5,2
44 - Αργολίδος,50 E.T. Δήμου Άργους - Μυκηνών,413,297,4,2,6,291,147,33,31,8,24,35,39,3,8,9,2,4,37,0,0,16,5,14,14,3,3,7,0,0,22,7,2,0,1,2,6,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,9,2,6,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,2,2,0,0,2,0,0,0,0,0,7,1
44 - Αργολίδος,51 E.T. Δήμου Άργους - Μυκηνών,400,287,2,0,2,285,133,57,22,3,24,21,42,11,5,17,1,1,48,3,0,23,3,17,19,1,2,9,0,3,11,5,1,0,0,2,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,5,0,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,0,5,4,1,0,2,2,3,0,2,2
44 - Αργολίδος,52 E.T. Δήμου Άργους - Μυκηνών,327,221,4,2,6,215,94,32,4,9,14,26,29,7,1,17,0,0,36,1,1,10,9,14,12,1,3,0,3,1,8,2,2,1,0,3,4,1,1,0,0,0,3,1,0,0,0,0,4,0,0,0,3,1,1,0,1,1,0,0,11,1,8,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0,1,1,2,1,1,1,0,0,2,2
44 - Αργολίδος,53 E.T. Δήμου Άργους - Μυκηνών,316,237,8,0,8,229,100,24,5,4,26,37,43,9,8,17,1,2,26,0,0,14,6,6,6,1,1,1,0,0,10,0,0,1,0,5,7,0,2,3,1,0,1,1,1,0,0,0,1,0,0,1,0,4,0,3,0,0,0,0,12,4,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,3,1,2,0,2,1,3,1,0,0,0,0,3,3,3,3
44 - Αργολίδος,54 E.T. Δήμου Άργους - Μυκηνών,301,223,0,2,2,221,69,12,4,4,30,15,50,14,5,22,1,2,49,1,0,23,6,15,24,4,4,3,5,0,9,3,0,0,0,3,4,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,6,0,4,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,4
44 - Αργολίδος,55 E.T. Δήμου Άργους - Μυκηνών,440,280,12,2,14,266,120,32,14,16,30,19,39,13,3,18,1,1,51,0,0,20,22,4,7,4,0,0,0,0,14,1,0,1,0,8,2,0,1,0,0,0,4,1,1,1,0,0,1,0,0,0,0,2,0,0,1,0,0,0,11,5,3,2,0,0,0,0,0,0,0,0,6,3,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,3
44 - Αργολίδος,56 E.T. Δήμου Άργους - Μυκηνών,423,256,4,0,4,252,99,27,5,5,41,12,39,7,2,16,2,6,37,1,0,22,4,9,18,6,1,7,2,1,15,4,0,0,0,9,13,1,7,1,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,2,0,1,0,11,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,0,0,0,0,0,3,3,0,0,9,9
44 - Αργολίδος,57 E.T. Δήμου Άργους - Μυκηνών,523,177,6,2,8,169,96,33,1,6,14,32,27,8,7,2,0,2,15,1,0,2,0,9,9,0,0,0,0,0,5,2,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,2,0,2,0,0,5,1,1,1,0,0,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44 - Αργολίδος,58 E.T. Δήμου Άργους - Μυκηνών,520,162,2,1,3,159,69,29,1,1,6,30,32,10,4,9,1,0,38,2,0,3,1,26,7,3,0,1,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,2,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,1
44 - Αργολίδος,59 E.T. Δήμου Άργους - Μυκηνών,47,23,1,0,1,22,17,8,0,0,8,1,2,0,0,2,0,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44 - Αργολίδος,60 E.T. Δήμου Άργους - Μυκηνών,427,277,7,0,7,270,157,55,7,8,47,39,24,7,1,10,3,0,40,0,1,19,4,15,3,0,0,0,1,1,8,3,1,1,1,2,7,0,3,2,1,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,2,0,1,0,17,4,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,2,0,0,1,1,1,1
44 - Αργολίδος,61 E.T. Δήμου Άργους - Μυκηνών,494,330,2,3,5,325,146,46,8,7,24,46,40,16,4,18,1,1,60,1,0,23,2,31,7,2,1,2,0,0,12,8,0,0,1,0,6,0,3,1,1,0,1,1,0,0,0,0,3,0,0,3,0,1,0,1,2,0,1,0,17,4,7,2,0,0,0,0,0,0,1,1,4,0,4,0,0,0,3,0,0,1,0,0,5,1,3,0,2,0,4,2,5,4,2,0,0,0,4,1
44 - Αργολίδος,62 E.T. Δήμου Άργους - Μυκηνών,479,348,1,1,2,346,174,55,24,5,32,44,50,13,8,16,0,4,65,1,0,18,5,35,11,4,2,0,0,0,7,6,0,0,0,1,8,1,3,0,3,0,2,2,1,0,0,0,1,0,0,1,0,2,1,0,1,1,0,0,1,0,1,0,3,1,0,0,0,0,0,0,3,0,1,0,0,2,3,0,0,0,0,0,4,0,1,0,1,1,1,1,2,2,3,3,0,0,3,2
44 - Αργολίδος,63 E.T. Δήμου Άργους - Μυκηνών,473,331,3,3,6,325,157,55,7,9,20,47,41,11,5,11,3,6,49,2,0,18,6,23,16,3,2,1,0,3,13,8,0,0,0,5,8,1,4,1,1,0,1,1,0,0,0,0,8,0,0,7,0,3,2,1,2,1,0,0,11,5,5,1,1,1,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,2,1,2,1,3,1
