ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΝΤΩΝΙΟΥ ΜΑΡΙΑ του Βασιλείου,ΚΑΝΔΥΛΗ-ΜΥΚΩΝΙΑΤΗ ΑΓΝΗ του Ανδρέα,ΤΖΗΚΑΛΑΓΙΑΣ ΖΗΣΗΣ του Γεωργίου,ΣΥΡΙΖΑ,ΓΙΑΓΚΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΣΙΣΙΟΥ ΙΩΑΝΝΗΣ του Δημητρίου,ΤΕΛΙΓΙΟΡΙΔΟΥ ΟΛΥΜΠΙΑ του Ιωάννη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΒΑΡΣΑΜΗΣ ΚΟΣΜΑΣ του Μιχαήλ,ΝΤΙΝΑΣ ΑΝΑΣΤΑΣΙΟΣ του Ευάγγελου,ΤΣΑΛΟΥΚΙΔΟΥ ΑΘΗΝΑ του Αχιλλέα,Κ.Κ.Ε.,ΓΡΑΜΜΕΝΟΥ ΓΙΑΝΝΟΥΛΑ (ΑΝΝΕΤΑ) του Γεωργίου,ΣΑΛΒΑΡΙΝΑ ΑΝΤΩΝΙΑ (ΤΟΝΙΑ) του Δημητρίου,ΤΙΓΚΑΣ ΓΕΩΡΓΙΟΣ του Αλέξανδρου,Ελληνική Λύση - Κ. Βελόπουλος,ΠΑΥΛΟΥ ΧΡΗΣΤΟΣ του Παύλου,ΣΑΛΤΖΙΔΟΥ ΜΑΡΙΑ του Ελλάδιου,ΣΙΔΗΡΟΠΟΥΛΟΣ ΑΝΕΣΤΗΣ του Ιωάννη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΚΑΡΟΥΛΗ ΦΙΛΙΑ του Δημητρίου,ΛΙΟΥΖΑΣ ΣΤΕΦΑΝΟΣ του Γεωργίου,ΜΟΣΧΟΣ ΧΡΙΣΤΟΣ του Δημητρίου,Κ.Κ.Ε. (μ-λ),ΜΙΧΑΗΛ ΧΡΗΣΤΟΣ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΓΚΟΣΔΑ ΑΓΝΗ του Μιχαήλ,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΑΝΟΥΣΑΡΙΔΗΣ ΕΜΜΑΝΟΥΗΛ του Λαζάρου,Κίνημα 21,ΚΑΖΑΝΑ ΑΓΓΕΛΙΚΗ του Ιωάννη,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΓΟΥΔΗΣ ΝΑΟΥΜ του Βασιλείου,ΝΙΚΗ,ΖΗΣΗΣ ΣΤΕΛΙΟΣ του Βασιλείου,ΚΟΥΣΟΥΝΗΣ ΓΕΡΑΣΙΜΟΣ του Αλεξίου,ΣΑΡΗΓΙΑΝΝΙΔΟΥ ΣΟΦΙΑ του Κυριάκου,κοινωνία αξιών,ΚΥΡΙΑΚΟΣ ΕΥΑΓΓΕΛΟΣ του Χρήστου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΤΣΙΧΛΗΣ ΑΝΤΩΝΙΟΣ του Ευάγγελου,Μ-Λ Κ.Κ.Ε.,ΚΑΡΕΛΑ ΓΕΩΡΓΙΑ του Νικολάου,Ελλήνων Συνέλευσις,ΚΑΤΣΙΜΑΝΤΟΥ ΕΛΕΝΗ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,ΣΤΟΥΜΠΟΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,Ένωση Κεντρώων,ΜΑΝΟΥ ΕΜΜΑΝΟΥΗΛ του Δημητρίου,ΜΑΡΑΤΣΟΥ ΜΑΡΙΑ του Δημητρίου,ΠΡΟΚΟΠΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΑΠΟΣΤΟΛΟΥ ΜΑΡΙΑ του Ευριπίδη,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΠΑΠΑΣΤΕΡΓΙΟΥ ΑΛΚΙΒΙΑΔΗΣ του Γεωργίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΖΑΦΕΙΡΙΑΔΟΥ ΜΑΡΙΑ του Ηλία,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΤΟΥΛΙΑΣ ΗΛΙΑΣ του Θωμά,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΑΣΛΑΝΙΔΗΣ ΙΠΠΟΚΡΑΤΗΣ του Αναστασίου,ΕΑΝ...,ΣΟΥΝΤΑΣ ΜΑΡΙΟΣ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΟΥΣΤΑΜΠΑΣΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Μιλτιάδη
16 - Καστοριάς,57 E.T. Δήμου Καστοριάς,220,139,3,1,4,135,63,26,22,9,24,1,2,21,15,10,0,3,10,7,0,1,4,0,2,1,10,0,1,8,0,0,0,0,1,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,2,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0
16 - Καστοριάς,58 E.T. Δήμου Καστοριάς,161,68,2,0,2,66,32,18,7,4,16,0,4,11,7,1,2,1,2,1,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,2
16 - Καστοριάς,59 E.T. Δήμου Καστοριάς,186,30,1,0,1,29,10,6,2,2,10,1,0,9,4,1,2,1,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 - Καστοριάς,60 E.T. Δήμου Καστοριάς,237,94,1,0,1,93,40,26,5,6,20,0,0,18,12,9,0,2,1,1,0,0,6,3,1,0,7,0,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
16 - Καστοριάς,61 E.T. Δήμου Καστοριάς,442,233,3,0,3,230,101,49,14,24,43,1,3,39,38,15,2,9,1,0,0,0,6,3,0,1,12,0,5,5,2,0,0,0,1,0,1,1,1,0,5,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,3,1,7,6,5,5
16 - Καστοριάς,62 E.T. Δήμου Καστοριάς,424,219,4,1,5,214,115,65,13,33,27,4,0,19,22,11,0,2,8,3,1,1,19,9,2,0,6,1,0,4,0,0,0,0,0,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,5,4,5,2
16 - Καστοριάς,63 E.T. Δήμου Καστοριάς,505,307,5,2,7,300,140,61,35,34,66,4,9,51,26,8,7,7,9,4,0,0,10,3,2,1,13,2,2,7,0,0,0,0,1,0,5,3,3,1,7,0,1,4,1,0,0,0,0,0,1,0,1,0,4,0,0,2,1,1,4,2,1,0,3,3,2,2,1,1,2,2
16 - Καστοριάς,64 E.T. Δήμου Καστοριάς,512,290,7,3,10,280,142,63,25,44,54,6,5,37,22,16,1,2,6,3,0,2,8,3,1,0,12,1,5,5,0,0,0,0,5,2,2,2,4,3,12,1,4,6,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,2,2,1,1,3,0,0,0,0,0,4,2
16 - Καστοριάς,65 E.T. Δήμου Καστοριάς,512,286,5,2,7,279,118,55,26,28,75,3,9,56,8,4,0,2,10,1,3,2,11,5,1,1,5,1,1,2,0,0,0,0,3,1,0,0,5,3,12,5,2,3,0,0,0,0,0,0,2,0,1,1,2,0,0,1,2,1,4,4,1,0,7,3,4,3,2,0,8,4
16 - Καστοριάς,66 E.T. Δήμου Καστοριάς,509,267,4,1,5,262,127,57,21,31,50,4,2,42,11,4,2,4,17,2,3,7,14,6,1,1,5,1,1,2,0,0,0,0,1,1,2,1,5,3,13,5,1,3,0,0,0,0,0,0,1,0,0,1,4,0,0,3,0,0,0,0,1,1,3,2,1,1,0,0,7,4
16 - Καστοριάς,67 E.T. Δήμου Καστοριάς,515,331,9,1,10,321,133,55,19,45,76,3,5,63,34,17,2,10,12,5,4,1,20,9,2,2,7,1,4,2,1,0,0,0,0,0,6,2,2,1,9,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,4,3,2,0,0,0,11,3
16 - Καστοριάς,68 E.T. Δήμου Καστοριάς,498,291,4,1,5,286,134,55,26,44,56,3,4,46,14,7,2,1,11,2,1,3,18,7,2,4,14,2,0,10,0,0,0,0,0,0,0,0,3,2,11,2,4,5,0,0,0,0,1,1,1,0,1,0,2,0,0,1,1,1,9,6,0,0,1,1,1,1,2,1,7,4
16 - Καστοριάς,69 E.T. Δήμου Καστοριάς,520,277,5,1,6,271,149,58,41,38,52,4,6,36,19,12,2,3,6,0,2,2,8,3,2,1,4,0,2,1,0,0,1,1,0,0,2,2,5,4,6,2,3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3,2,2,1,2,2,10,5
16 - Καστοριάς,70 E.T. Δήμου Καστοριάς,502,265,6,3,9,256,114,42,23,34,64,6,10,46,23,17,0,2,10,3,2,2,7,2,0,2,7,1,3,1,0,0,0,0,0,0,0,0,3,2,7,1,4,0,1,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,7,4,1,0,1,1,2,1,3,2,3,3
16 - Καστοριάς,71 E.T. Δήμου Καστοριάς,529,318,5,9,14,304,148,72,34,31,56,2,10,41,19,13,2,3,9,2,2,2,11,5,2,1,12,0,3,7,0,0,0,0,0,0,0,0,13,7,16,7,3,3,0,0,0,0,1,1,2,0,1,1,2,1,0,0,1,1,0,0,0,0,3,3,1,0,0,0,10,5
