ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΟΝΤΟΓΕΩΡΓΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΟΙΚΟΝΟΜΟΥ ΘΩΜΑΪΣ (ΤΖΙΝΑ) του Γεωργίου,ΠΑΠΑΪΩΑΝΝΟΥ ΜΑΡΙΑ (ΜΑΙΡΗ) του Χαράλαμπου,ΣΥΡΙΖΑ,ΒΕΝΤΟΥΡΗ ΜΑΡΙΑ του Νικολάου,ΛΑΘΥΡΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΜΠΕΡΜΠΕΡΗΣ ΜΩΫΣΗΣ του Γεωργίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΕΩΡΓΑΛΗ ΑΝΑΣΤΑΣΙΑ του Ευαγγέλου,ΜΑΡΟΥΛΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΧΑΡΑΛΑΜΠΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,Κ.Κ.Ε.,ΔΕΣΚΟΥΡΑΚΗ ΧΑΡΑ του Κωνσταντίνου,ΠΑΖΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Πέτρου,ΠΑΠΠΑΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΓΚΑΡΑΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΚΑΤΣΟΜΗΤΡΟΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΜΠΟΥΛΕΚΟΥ ΕΛΕΝΗ του Κωνσταντίνου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΛΥΚΟΚΑΠΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΤΡΑΓΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ του Νικολάου,ΦΡΑΓΚΟΥ ΑΓΓΕΛΙΚΗ του Γεωργίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΤΣΟΜΛΕΚΤΣΟΓΛΟΥ ΝΙΚΟΛΑΟΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΖΗΣΗΣ ΒΑΣΙΛΕΙΟΣ του Χρήστου,Ο.Κ.Δ.Ε.,ΤΣΟΥΚΑΛΑΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΠΑΡΜΠΑΡΟΥΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου,Κίνημα 21,ΚΩΣΤΗ ΕΥΡΙΔΙΚΗ του Δημητρίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΡΑΪΚΟΣ ΕΥΑΓΓΕΛΟΣ του Νικήτα,ΝΙΚΗ,ΜΑΝΤΖΟΥΡΗ ΜΑΡΙΑ του Ιωάννη,ΠΑΠΑΘΑΝΑΣΗ ΑΝΔΡΟΝΙΚΗ του Αποστόλου,ΣΥΡΙΓΟΣ ΑΝΤΩΝΙΟΣ του Εμμανουήλ,κοινωνία αξιών,ΓΕΡΟΝΤΟΓΙΑΝΝΗ ΜΥΡΤΩ του Ανδρέα,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΧΑΣΑΚΤΣΗΣ ΕΜΜΑΝΟΥΗΛ του Νικολάου,Μ-Λ Κ.Κ.Ε.,ΑΡΒΑΝΙΤΗ ΕΛΕΝΗ του Ευάγγελου,Ελλήνων Συνέλευσις,ΨΥΧΟΓΥΙΟΣ ΣΩΤΗΡΙΟΣ του Λεωνίδα,Ένωση Κεντρώων,ΑΝΑΣΤΑΣΙΟΥ ΣΤΑΥΡΟΥΛΑ του Δημητρίου,ΠΑΝΑΓΙΩΤΟΥ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΠΑΠΑΘΕΟΥ ΘΕΟΔΟΣΙΟΣ του Νικολάου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΟΥΡΚΟΥΛΗΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΧΑΡΤΑΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Ευσταθίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΛΑΝΤΙΔΗΣ ΠΕΤΡΟΣ του Σωκράτη,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΝΤΑΒΙΑ ΣΤΥΛΙΑΝΗ του Δημητρίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΝΤΑΛΙΑΝΗΣ ΚΛΗΜΗΣ του Στεφάνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΑΜΒΑΚΑΣ ΠΕΤΡΟΣ του Νικολάου
34 - Ευρυτανίας,105 E.T. Δήμου Καρπενησίου,281,73,1,0,1,72,36,16,18,0,15,6,2,2,8,2,1,2,1,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,2
34 - Ευρυτανίας,106 E.T. Δήμου Καρπενησίου,291,69,1,0,1,68,37,26,8,0,15,8,0,7,6,1,2,0,0,0,0,0,6,2,1,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
34 - Ευρυτανίας,107 E.T. Δήμου Καρπενησίου,64,23,0,1,1,22,15,7,7,1,5,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
34 - Ευρυτανίας,108 E.T. Δήμου Καρπενησίου,264,101,4,0,4,97,49,20,22,1,12,3,4,3,10,3,2,2,6,5,1,0,3,0,1,0,1,0,0,0,2,2,0,0,0,0,1,1,0,0,2,2,4,1,3,0,1,1,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,3,2
34 - Ευρυτανίας,109 E.T. Δήμου Καρπενησίου,89,19,0,0,0,19,9,3,6,0,4,3,1,0,1,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,110 E.T. Δήμου Καρπενησίου,69,12,0,0,0,12,8,5,2,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,111 E.T. Δήμου Καρπενησίου,85,33,0,0,0,33,14,6,5,2,6,5,1,0,3,0,1,0,5,1,4,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,112 E.T. Δήμου Καρπενησίου,602,266,8,0,8,258,99,32,65,1,57,21,4,24,36,9,7,8,37,0,0,36,6,2,3,0,3,0,0,1,3,3,0,0,0,0,0,0,6,6,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,2,2,0,0,4,4
34 - Ευρυτανίας,113 E.T. Δήμου Καρπενησίου,308,100,1,0,1,99,49,15,29,2,15,4,3,3,10,4,4,0,7,1,1,5,4,2,1,0,0,0,0,0,5,0,0,0,0,0,1,1,1,0,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0
34 - Ευρυτανίας,114 E.T. Δήμου Καρπενησίου,191,66,3,0,3,63,22,10,10,0,12,3,3,4,5,0,3,1,10,6,0,4,6,0,5,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,0
34 - Ευρυτανίας,115 E.T. Δήμου Καρπενησίου,107,62,3,0,3,59,31,13,16,2,18,6,7,5,5,2,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
34 - Ευρυτανίας,116 E.T. Δήμου Καρπενησίου,190,78,2,0,2,76,46,30,10,1,14,3,0,10,4,1,3,0,5,0,1,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,Ετερ. Ευρυτανίας (από Εφετείο Θεσσαλονίκης),75,55,0,2,2,53,26,10,9,7,8,4,1,1,5,4,1,0,7,2,0,1,2,2,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34 - Ευρυτανίας,Ετερ. Ευρυτανίας (από 1ο Ε.Τ. Νομ. Αιτωλοακαρνανίας),65,40,0,0,0,40,25,6,18,0,7,1,1,4,2,1,1,0,1,0,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
34 - Ευρυτανίας,Ετερ. Ευρυτανίας (από Εφετείο Λαμίας),213,122,2,0,2,120,65,17,46,1,17,4,10,1,16,1,3,6,3,0,0,2,8,3,3,1,3,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
34 - Ευρυτανίας,Ετερ. Ευρυτανίας (από 48ο Ε.Τ. Νομ. Αττικης-Αθηνών),441,317,2,0,2,315,162,58,80,16,63,20,19,15,43,14,11,7,16,4,1,4,5,0,1,0,9,4,0,3,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,3,1,3,3,0,0,0,0,4,0
34 - Ευρυτανίας,Ετερ. Ευρυτανίας (από 49ο Ε.Τ. Νομ. Αττικης-Αθηνών),425,307,3,1,4,303,132,39,65,14,77,19,21,16,43,14,9,11,15,5,3,1,5,2,1,0,8,1,0,2,1,0,0,0,0,0,0,0,1,1,1,1,8,2,2,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,3,2,1,0,0,0,0,0,4,2
34 - Ευρυτανίας,Ετερ. Ευρυτανίας (από 50ο Ε.Τ. Νομ. Αττικης-Αθηνών),433,325,4,0,4,321,159,64,74,11,69,21,14,19,35,14,6,0,20,4,5,7,9,3,1,2,6,1,0,3,0,0,0,0,0,0,0,0,2,0,1,1,9,4,3,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,3,2,1,1,0,0,1,1,4,4
34 - Ευρυτανίας,Ετερ. Ευρυτανίας (από 51ο Ε.Τ. Νομ. Αττικης-Αθηνών),434,319,4,2,6,313,157,68,71,6,70,19,21,12,31,10,7,7,20,7,6,1,8,1,3,3,5,1,0,3,0,0,0,0,1,1,2,2,0,0,0,0,11,6,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,6,6
34 - Ευρυτανίας,Ετερ. Ευρυτανίας (από Εφετείο Πειραιώς),62,44,0,0,0,44,22,5,14,0,11,2,0,4,2,2,0,0,1,0,0,1,5,2,1,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Σύνολο,,31314,13963,267,62,329,13634,6159,2339,3239,320,3111,733,741,1148,1533,363,402,403,747,173,270,105,397,111,61,72,244,64,7,73,150,89,25,14,2,1,54,28,54,34,162,126,437,172,160,33,16,7,4,3,13,5,15,12,62,7,37,1,23,10,88,51,47,32,23,13,56,43,212,124
