ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΛΑΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΒΛΑΧΟΥ ΑΛΕΞΑΝΔΡΑ του Λεωνίδα,ΔΑΛΙΑΝΗ ΦΩΤΕΙΝΗ του Κωνσταντίνου,ΜΠΕΝΤΕΒΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Κυριάκου,ΣΠΥΡΟΠΟΥΛΟΣ ΑΠΟΣΤΟΛΟΣ του Ροβέρτου,ΣΥΡΙΖΑ,ΓΙΑΝΝΟΥΛΗ ΑΝΤΩΝΙΑ του Κωνσταντίνου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΔΙΟΝΥΣΙΟΣ του Γεωργίου,ΠΑΠΑΗΛΙΟΥ ΓΕΩΡΓΙΟΣ του Ηλία,ΣΤΑΪΚΟΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΦΙΛΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ του Γεωργίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΙΑΝΝΑΚΟΥΡΑΣ ΕΥΑΓΓΕΛΟΣ (ΒΑΓΓΕΛΗΣ) του Θεοχάρη,ΓΙΑΝΝΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Σπυρίδωνα,ΚΩΝΣΤΑΝΤΙΝΟΠΟΥΛΟΣ ΟΔΥΣΣΕΑΣ του Κωνσταντίνου,ΛΙΛΗ ΑΙΜΙΛΙΑ του Παναγιώτη,ΣΑΡΑΝΤΟΠΟΥΛΟΥ ΑΔΑΜΑΝΤΙΑ (ΔΙΑΜΑΝΤΩ) του Αριστείδη,Κ.Κ.Ε.,ΑΣΗΜΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΚΑΡΑΘΑΝΑΣΗ ΔΑΝΑΗ του Παρασκευά,ΚΑΤΣΙΡΟΥΜΠΑΣ ΓΕΩΡΓΙΟΣ του Ευθυμίου,ΠΑΝΟΥΣΗ ΠΑΝΑΓΙΩΤΑ του Βασιλείου,ΡΟΥΣΑΛΗΣ ΙΩΑΝΝΗΣ του Παναγιώτη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΒΑΝΙΤΙΔΟΥ ΕΙΡΗΝΗ του Μιλτιάδη,ΝΙΚΟΛΑΟΥ ΑΝΤΩΝΙΟΣ του Αναστασίου,ΣΑΡΑΝΤΙΔΗΣ ΕΥΑΓΓΕΛΟΣ του Πέτρου,ΣΩΤΗΡΙΟΥ ΔΗΜΗΤΡΑ του Χρήστου,ΧΑΣΑΠΗΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΛΕΞΑΝΔΡΗΣ ΣΑΡΑΝΤΟΣ του Νικολάου,ΓΚΑΡΤΖΟΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΚΟΠΕΪΤΖ ΓΟΥΕΝΤΙ του Τζορτζ Χένρι,ΠΑΠΑΔΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Βασιλείου,ΧΟΥΝΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Βασιλείου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΔΗΜΟΠΟΥΛΟΥ ΝΑΤΑΛΙΑ του Βασιλείου,ΛΟΥΦΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΚΑΤΡΑΛΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΚΑΡΔΑΣΗΣ ΣΩΤΗΡΙΟΣ του Σπυρίδωνος,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΙΩΑΝΝΙΔΟΥ ΑΛΕΞΑΝΔΡΑ του Αναστασίου,ΚΑΣΣΕΛΟΥΡΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΠΑΠΑΓΕΩΡΓΙΟΥ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,Κίνημα 21,ΓΙΑΝΝΟΥΛΗΣ ΣΩΤΗΡΙΟΣ του Κωνσταντίνου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΒΡΑΝΤΙΝΗ ΛΑΣΚΑΡΙΝΑ του Βασιλείου,ΓΑΡΤΑΓΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Κωνσταντίνου,ΣΤΑΘΗΣ ΔΙΟΝΥΣΙΟΣ του Γρηγορίου,ΝΙΚΗ,ΔΙΑΜΑΝΤΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Ευαγγέλου,ΜΑΝΤΖΙΩΡΗ ΧΑΙΔΩ του Γεωργίου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,κοινωνία αξιών,ΚΑΛΟΓΕΡΟΠΟΥΛΟΥ ΛΑΜΠΡΙΝΗ του Χρήστου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΠΑΠΑΣΩΤΗΡΙΟΥ ΣΤΥΛΙΑΝΗ του Αλεξίου,Ο.Α.Κ.Κ.Ε.,ΓΚΟΡΟΓΙΑΣ ΤΑΞΙΑΡΧΗΣ του Παναγιώτη,Μ-Λ Κ.Κ.Ε.,ΑΔΡΙΑΝΟΣ ΙΑΣΩΝ-ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΓΙΑΝΝΑΚΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Μιχαήλ,ΘΕΟΔΟΣΙΟΥ ΑΘΑΝΑΣΙΟΣ του Σωτηρίου,ΚΑΡΑΜΠΗ ΙΩΑΝΝΑ του Δημητρίου,ΤΑΜΠΑΚΗ ΜΑΡΙΝΑ του Δημητρίου,Ένωση Κεντρώων,ΓΙΑΝΝΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Αναστασίου,ΣΑΚΑΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλέξανδρου,ΣΩΤΗΡΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Αγγελή,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΑΝΤΩΝΙΟΥ ΔΗΜΗΤΡΙΟΣ του Γεώργιου,ΖΑΦΕΙΡΟΠΟΥΛΟΣ ΜΠΑΜΠΗΣ του Παναγώτη,ΧΑΤΖΟΥΔΗ ΕΛΕΝΗ του Αθανάσιου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΝΤΩΝΙΟΥ ΜΑΡΙΑ του Νικολάου,ΔΡΑΚΟΣ ΔΗΜΗΤΡΙΟΣ του Κανέλλου,ΠΑΝΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΓΚΑΒΕΤΑΣ ΣΤΑΜΑΤΙΟΣ του Παντελή,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΓΡΗΓΟΡΙΟΥ ΠΟΛΥΞΕΝΗ του Δημητρίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΟΥΒΕΛΑΣ ΔΗΜΗΤΡΙΟΣ του Αλεξίου,ΣΠΥΡΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ του Γεωργίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΒΑΣΙΛΕΙΟΥ ΑΘΑΝΑΣΙΟΣ του Αναστασίου,ΔΗΜΗΤΡΙΟΥ ΑΛΕΞΑΝΔΡΑ του Παναγιώτη,Οικολόγοι Πράσινοι,ΔΡΟΥΖΙΑΣ ΘΕΟΔΩΡΟΣ του Νικολάου,ΚΑΡΒΕΛΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΣΑΡΑΝΤΗ ΕΛΕΝΗ του Κωνσταντίνου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΡΑΔΗΜΑΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Βασιλείου
45 - Αρκαδίας,316 E.T. Δήμου Τρίπολης,546,383,3,4,7,376,152,87,0,2,36,11,92,20,1,26,22,1,49,19,4,24,0,0,16,0,5,0,7,0,3,1,0,0,0,0,12,0,3,2,3,0,3,1,2,1,1,0,0,3,1,0,2,3,3,6,0,1,0,13,6,6,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,1,1,0,5,1,0,3,0,0,1,0,4,0,3,0,0,0,3,0,0,2,0,0,4,1
45 - Αρκαδίας,317 E.T. Δήμου Τρίπολης,544,381,3,5,8,373,139,73,1,2,45,4,93,27,4,25,25,6,51,22,2,23,1,2,19,2,4,1,8,1,9,1,2,0,1,2,17,9,1,1,2,1,7,3,3,1,1,0,0,1,0,0,0,2,0,3,1,2,0,14,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2,1,1,0,0,0,1,1,2,2,0,0,0,0,1,1,0,0,0,0,7,3
45 - Αρκαδίας,318 E.T. Δήμου Τρίπολης,551,360,5,6,11,349,128,65,4,4,26,18,89,14,2,27,26,5,62,15,1,33,1,3,18,8,1,1,0,1,17,4,4,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,4,1,0,0,0,3,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0,0,1,0,0,12,9
45 - Αρκαδίας,319 E.T. Δήμου Τρίπολης,557,383,13,5,18,365,143,77,3,2,35,13,73,15,1,15,20,3,62,23,2,32,1,2,25,1,8,2,5,0,12,4,4,0,2,1,12,2,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,11,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,3,1,1,0,1,0,1,0,1,0,0,2,0,1,1,0,0,1,4,3,8,7
45 - Αρκαδίας,320 E.T. Δήμου Τρίπολης,604,454,11,1,12,442,173,87,4,1,41,17,93,21,3,27,14,7,56,24,0,29,1,2,26,9,1,2,5,1,13,5,1,0,0,0,11,4,1,0,0,1,3,0,0,0,0,0,0,5,2,0,1,5,3,3,0,1,1,20,4,10,3,0,0,3,1,0,0,1,0,2,1,0,0,0,0,3,0,0,0,3,0,3,0,3,3,0,0,0,0,1,0,4,4,0,2,0,0,3,1,1,1,0,0,9,4
45 - Αρκαδίας,321 E.T. Δήμου Τρίπολης,561,380,11,8,19,361,118,59,0,2,33,11,88,21,2,31,11,2,66,20,0,33,0,4,19,2,2,2,8,0,15,2,2,1,1,3,13,2,2,1,1,1,3,0,3,0,0,0,0,2,1,0,0,1,1,3,0,0,0,10,1,6,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,0,1,1,0,0,2,1,0,0,0,0,1,1,0,0,0,0,9,3
45 - Αρκαδίας,322 E.T. Δήμου Τρίπολης,550,375,9,2,11,364,158,80,1,4,48,13,68,13,3,21,18,0,59,16,1,32,0,7,24,4,3,1,8,3,15,3,5,1,0,4,7,4,0,0,1,2,1,1,0,0,0,0,0,1,0,0,0,3,3,4,2,0,0,8,1,6,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,1,0,0,9,4
45 - Αρκαδίας,323 E.T. Δήμου Τρίπολης,552,384,8,2,10,374,115,58,3,2,33,9,92,18,4,29,15,7,64,34,2,18,1,3,30,5,3,1,11,1,12,3,1,0,2,1,7,1,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,19,4,12,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,2,1,1,1,0,0,0,0,0,0,3,0,0,2,1,1,19,11
45 - Αρκαδίας,324 E.T. Δήμου Τρίπολης,516,363,3,1,4,359,128,67,3,1,38,10,79,22,1,20,24,1,63,15,1,38,1,5,22,7,0,0,6,2,14,1,1,1,3,3,13,0,0,1,2,3,1,1,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,9,3,3,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,1,3,2,5,3,1,1,0,2,0,0,4,0,1,2,0,0,8,6
45 - Αρκαδίας,325 E.T. Δήμου Τρίπολης,544,390,7,2,9,381,154,85,3,3,48,5,81,20,7,23,17,4,63,28,0,26,5,1,20,11,1,2,0,0,5,1,0,0,2,0,9,0,1,0,2,0,2,2,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,17,2,11,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,3,1,2,0,2,2,0,0,0,0,1,0,0,0,0,0,13,7
45 - Αρκαδίας,326 E.T. Δήμου Τρίπολης,558,387,5,1,6,381,126,59,2,3,38,16,95,27,1,22,32,3,52,16,0,31,0,2,32,6,1,1,9,2,18,4,1,2,0,3,10,1,1,0,0,0,3,1,2,0,0,0,0,2,1,0,0,4,3,5,0,1,2,9,4,4,0,1,1,0,0,0,0,0,0,5,2,1,0,2,0,1,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,2,2,11,6
45 - Αρκαδίας,327 E.T. Δήμου Τρίπολης,546,396,6,0,6,390,167,93,3,2,39,17,94,29,0,29,21,1,60,14,3,40,0,2,12,5,1,1,2,0,6,1,2,0,0,2,9,4,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,6,2,1,0,0,0,18,3,10,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,2,0,0,1,1,0,5,2
45 - Αρκαδίας,328 E.T. Δήμου Τρίπολης,553,377,20,1,21,356,130,69,1,2,44,8,88,11,1,31,29,6,63,23,1,35,0,2,13,2,1,1,4,0,10,1,0,1,0,1,4,2,0,1,0,1,1,1,0,1,0,0,0,4,1,2,0,1,1,2,1,1,0,16,2,13,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,3,0,2,0,2,1,0,0,0,0,1,0,2,1,1,1,0,0,2,0,0,1,1,1,7,6
45 - Αρκαδίας,329 E.T. Δήμου Τρίπολης,553,390,10,4,14,376,146,90,0,4,34,9,70,23,3,18,15,3,67,21,0,35,0,5,10,0,1,0,4,0,15,4,1,1,0,3,8,0,1,0,3,1,1,1,0,1,0,0,0,2,1,0,0,1,1,6,2,1,1,17,4,10,0,0,0,0,0,0,0,0,0,5,1,0,0,2,1,2,2,0,0,3,0,3,0,2,0,0,2,0,0,3,2,1,1,0,0,0,0,2,0,0,0,1,1,13,9
45 - Αρκαδίας,330 E.T. Δήμου Τρίπολης,532,363,9,5,14,349,107,53,3,1,29,11,85,22,1,24,17,4,60,25,0,32,0,1,15,1,1,1,4,2,12,2,3,1,1,1,14,0,3,0,1,2,3,1,2,2,2,0,0,7,4,0,2,0,0,6,4,0,1,13,0,10,1,2,2,2,2,0,0,0,0,3,2,0,0,0,1,0,0,0,0,4,1,1,0,4,2,1,0,1,0,0,0,0,0,0,1,1,0,3,0,2,1,0,0,5,5
45 - Αρκαδίας,331 E.T. Δήμου Τρίπολης,520,371,4,1,5,366,156,77,1,2,45,16,66,17,1,14,22,1,63,23,0,36,1,1,18,5,2,0,4,1,17,4,3,0,0,5,9,1,0,3,1,1,1,1,0,0,0,0,0,2,2,0,0,0,0,4,2,0,0,10,4,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,0,0,2,2,2,7,5
45 - Αρκαδίας,332 E.T. Δήμου Τρίπολης,433,160,5,1,6,154,72,47,3,0,13,6,36,6,2,10,7,4,24,2,1,15,0,1,4,0,0,0,4,0,6,0,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,4,2
45 - Αρκαδίας,333 E.T. Δήμου Τρίπολης,518,321,12,3,15,306,123,58,1,3,30,14,59,12,1,7,24,1,35,13,1,18,0,0,9,4,0,0,0,0,15,5,4,1,1,1,7,0,2,2,0,0,4,1,3,0,0,0,0,3,1,0,2,1,0,5,2,0,1,15,2,5,2,0,0,4,4,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,3,1,5,4,0,3,0,1,4,1,0,0,0,0,2,0
45 - Αρκαδίας,334 E.T. Δήμου Τρίπολης,634,230,7,0,7,223,110,65,1,2,23,9,38,12,0,10,10,4,19,7,1,8,0,2,8,3,1,1,1,0,6,0,2,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,7,1,1,4,1,0,0,0,0,0,3,0,0,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,17,11
45 - Αρκαδίας,335 E.T. Δήμου Τρίπολης,291,150,6,2,8,142,40,27,1,1,5,4,31,0,0,1,30,0,43,20,1,15,0,3,5,1,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,4,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
45 - Αρκαδίας,336 E.T. Δήμου Τρίπολης,583,274,1,1,2,272,114,59,1,0,40,5,53,10,3,15,7,1,41,15,4,18,0,3,18,0,1,3,6,1,6,2,1,0,2,0,13,5,2,1,1,1,2,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,1,1,0,1,0,0,0,0,0,0,4,3
45 - Αρκαδίας,337 E.T. Δήμου Τρίπολης,488,220,3,0,3,217,47,26,2,1,11,3,61,14,0,23,11,5,56,32,0,19,0,0,7,1,0,0,3,0,11,2,3,0,0,2,15,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,2,1,1,0,1,1,0,0,0,0,0,5,4,2,1
45 - Αρκαδίας,338 E.T. Δήμου Τρίπολης,272,127,1,0,1,126,56,35,0,2,11,6,13,6,1,3,2,0,23,8,0,12,0,1,12,0,0,0,6,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2,1
45 - Αρκαδίας,339 E.T. Δήμου Τρίπολης,347,149,2,1,3,146,63,39,1,0,19,1,24,6,0,4,12,0,24,6,1,15,0,1,11,0,2,0,4,1,4,1,2,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,3,3,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,2,1
45 - Αρκαδίας,340 E.T. Δήμου Τρίπολης,524,278,5,0,5,273,97,47,0,0,36,11,49,14,2,13,17,0,70,33,0,28,0,2,7,1,0,0,0,0,22,2,5,0,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,3,2,0,0,2,4,0,2,0,0,0,3,3,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,7,5
45 - Αρκαδίας,341 E.T. Δήμου Τρίπολης,267,149,5,2,7,142,51,32,2,0,12,1,38,5,0,11,12,2,27,9,1,16,0,0,8,1,0,1,2,1,4,1,1,0,0,0,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,2,0
45 - Αρκαδίας,342 E.T. Δήμου Τρίπολης,161,68,1,0,1,67,32,17,0,1,12,1,17,6,0,7,2,0,6,3,0,3,0,0,4,1,1,0,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
45 - Αρκαδίας,343 E.T. Δήμου Τρίπολης,332,131,4,1,5,126,69,47,0,1,14,4,21,4,2,6,5,1,7,7,0,0,0,0,3,0,1,1,0,0,9,5,4,0,0,0,2,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4
45 - Αρκαδίας,344 E.T. Δήμου Τρίπολης,244,102,2,0,2,100,40,28,1,1,6,3,20,5,0,6,5,0,22,12,1,6,0,2,1,0,0,1,0,0,1,0,0,0,1,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,1
45 - Αρκαδίας,345 E.T. Δήμου Τρίπολης,343,107,1,0,1,106,32,19,0,1,10,1,28,13,0,12,2,0,17,5,2,7,0,2,4,1,0,0,3,0,6,1,0,0,1,2,1,0,0,0,0,0,2,2,0,0,0,0,0,2,0,0,0,2,1,3,2,0,1,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,1,0,0,1,0
45 - Αρκαδίας,346 E.T. Δήμου Τρίπολης,530,207,4,1,5,202,83,49,1,1,25,6,31,13,0,8,8,0,39,13,4,14,1,3,6,2,0,0,3,0,12,5,0,1,0,3,2,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,1,1,1,1,0,0,0,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,6,5
45 - Αρκαδίας,347 E.T. Δήμου Τρίπολης,329,134,1,1,2,132,51,27,1,0,5,11,20,6,1,2,4,1,45,31,0,13,0,0,1,0,0,0,0,0,6,0,2,0,1,1,2,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0
45 - Αρκαδίας,Ετερ. Αρκαδίας (από Εφετείο Θεσσαλονίκης),65,48,0,0,0,48,20,11,0,0,1,1,12,3,0,5,1,2,8,2,0,5,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
45 - Αρκαδίας,Ετερ. Αρκαδίας (από Εφετείο Πάτρας),45,24,0,0,0,24,7,6,0,1,0,0,8,1,0,5,1,0,5,2,0,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
45 - Αρκαδίας,Ετερ. Αρκαδίας (από 17ο Ε.Τ. Νομ. Αττικης-Αθηνών),498,355,2,0,2,353,202,134,6,5,20,20,49,8,0,16,7,4,37,9,1,20,2,1,16,2,2,1,3,0,5,1,2,1,0,0,7,0,0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,0,0,7,4,0,1,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,4,0,1,0,1,1,0,0,4,4,0,0,0,0,0,0,0,0,1,0,8,4
45 - Αρκαδίας,Ετερ. Αρκαδίας (από 18ο Ε.Τ. Νομ. Αττικης-Αθηνών),499,343,4,0,4,339,151,80,8,12,8,23,60,11,1,16,13,15,46,13,4,21,2,1,38,3,4,8,5,3,7,2,1,1,0,2,8,0,3,2,0,0,1,0,0,0,0,0,0,3,1,0,0,1,0,1,0,0,1,11,2,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
45 - Αρκαδίας,Ετερ. Αρκαδίας (από 19ο Ε.Τ. Νομ. Αττικης-Αθηνών),497,319,1,2,3,316,122,83,2,11,7,11,83,9,3,35,14,5,37,6,5,20,0,2,22,1,6,1,5,1,10,3,3,1,1,0,7,0,1,1,3,0,0,0,0,1,1,0,0,2,0,0,0,3,1,0,0,0,0,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,0,1,2,5,2,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9
