ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΛΑΧΟΓΙΑΝΝΗΣ ΗΛΙΑΣ του Γεωργίου,ΛΙΟΥΤΑΣ ΑΘΑΝΑΣΙΟΣ του Αχιλλέα,ΞΑΝΘΗ ΧΑΡΙΚΛΕΙΑ του Ματθαίου,ΠΑΠΑΚΩΣΤΑ-ΠΑΛΙΟΥΡΑ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Δημητρίου,ΣΚΡΕΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΧΑΤΖΗΓΑΚΗΣ ΜΙΧΑΗΛ (ΜΙΚΕΛΗΣ) του Σωτηρίου,ΣΥΡΙΖΑ,ΔΡΙΤΣΕΛΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΚΟΝΤΟΤΟΛΗ ΜΑΡΙΝΑ του Γεωργίου,ΣΙΜΟΡΕΛΗΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΤΣΙΚΡΙΚΑΣ ΕΛΕΥΘΕΡΙΟΣ του Βασιλείου,ΧΑΪΔΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΧΑΡΤΟΠΟΥΛΟΥ ΠΕΡΙΣΤΕΡΑ (ΠΕΡΥ) του Μενελάου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΖΟΛΩΤΑ ΣΤΥΛΙΑΝΗ (ΛΙΑΝΑ) του Γεωργίου,ΗΛΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Προκοπίου,ΚΑΡΡΑ - ΖΟΥΖΟΥΛΑ ΙΩΑΝΝΑ του Βάιου,ΚΩΣΤΟΥΛΗΣ ΧΡΗΣΤΟΣ του Ζήση,ΜΠΛΕΤΣΑΣ ΣΩΤΗΡΙΟΣ του Σεραφείμ,ΟΙΚΟΝΟΜΟΥ ΓΕΩΡΓΙΟΣ του Χρήστου,Κ.Κ.Ε.,ΚΑΪΚΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΚΑΝΤΑΡΤΖΗΣ ΑΧΙΛΛΕΑΣ του Κλεομένη,ΚΑΠΕΤΗ ΓΕΩΡΓΙΑ του Παντελή,ΛΙΑΤΙΦΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΝΤΟΥΡΛΙΟΣ ΛΑΜΠΡΟΣ του Νικολάου,ΣΤΑΜΟΥ ΕΥΘΥΜΙΑ του Ελευθερίου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΓΥΡΟΠΟΥΛΟΥ ΧΑΡΑΛΑΜΠΙΑ του Κωνσταντίνου,ΚΑΛΑΜΠΟΥΚΑΣ ΝΙΚΟΛΑΟΣ του Ματθαίου,ΚΑΤΣΙΛΟΓΙΑΝΝΗ ΕΛΕΝΗ του Αθανασίου,ΜΠΑΚΑΛΗΣ ΑΝΤΩΝΙΟΣ του Ελευθερίου,ΠΑΠΟΥΛΙΔΗΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,ΤΣΙΟΥΜΑΣ ΛΕΩΝΙΔΑΣ του Γεωργίου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΚΟΤΑΣ ΕΥΘΥΜΙΟΣ του Ιωάννη,ΚΟΚΟΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΑΝΙΚΑΣ ΔΗΜΗΤΡΙΟΣ του Βάιου,ΜΑΡΑΓΚΟΥ ΙΟΒΗ του Γεωργίου,ΜΠΕΓΛΕΡΙΔΟΥ ΕΛΕΝΗ του Αλέξανδρου,ΠΑΠΑΘΑΝΑΣΙΟΥ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΓΙΑΝΝΕΤΟΒΑ ΛΕΝΚΑ του Αιμήλ,ΝΙΖΑΜΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΣΑΜΟΥΤΗΣ ΘΩΜΑΣ του Δημητρίου,Κ.Κ.Ε. (μ-λ),ΓΚΟΥΝΤΟΥΡΑ ΕΥΑΓΓΕΛΗ του Ιωάννη,ΖΟΛΩΤΑ ΕΥΑΓΓΕΛΗ (ΕΛΙΖΑ) του Γεωργίου,ΜΠΑΛΑΦΑΣ ΓΡΗΓΟΡΙΟΣ του Νικολάου,ΣΑΠΟΥΝΑ ΕΥΑΓΓΕΛΙΑ του Ιωάννη,ΤΟΥΦΕΞΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΑΝΔΡΙΩΤΗΣ ΧΡΗΣΤΟΣ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΤΑΡΑΣ ΛΑΜΠΡΟΣ του Χρήστου,ΜΗΤΡΟΠΑΝΟΥ ΜΥΡΣΙΝΗ του Δημητρίου,ΠΡΕΚΑΤΕΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΤΑΧΟΥ ΕΥΑΓΓΕΛΙΑ (ΕΥΗ) του Δημητρίου,Κίνημα 21,ΜΠΙΤΟΣ ΗΛΙΑΣ του Γεωργίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΡΙΝΗΣ ΑΝΤΩΝΙΟΣ του Ελευθερίου,ΠΡΙΝΙΩΤΑΚΗ ΑΙΜΙΛΙΑ του Ιωάννη,ΣΕΠΥΡΓΙΩΤΗ ΑΓΓΕΛΙΚΗ του Ευσταθίου,ΤΣΙΑΣΙΩΤΗΣ ΒΑΣΙΛΕΙΟΣ του Ηλία,ΝΙΚΗ,ΑΥΤΖΟΓΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Ιωάννη,ΓΕΩΡΓΑΔΑΚΗ ΙΦΙΓΕΝΕΙΑ του Γεωργίου,ΚΑΛΑΜΠΑΚΑΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΠΑΛΛΑΣ ΦΩΤΙΟΣ του Γεωργίου,κοινωνία αξιών,ΤΥΜΠΑΣ ΓΡΗΓΟΡΙΟΣ του Ηλία,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΑΖΑΣ ΧΡΗΣΤΟΣ του Γεωργίου,Ο.Α.Κ.Κ.Ε.,ΒΑΣΚΟΣ ΣΩΤΗΡΙΟΣ του Αθανασίου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΟΥ ΑΝΝΑ του Πολυχρόνη,Ελλήνων Συνέλευσις,ΒΑΣΙΛΕΙΟΥ ΣΤΕΦΑΝΟΣ του Βασίλειου,ΛΙΑΠΗ ΕΙΡΗΝΗ ΚΩΝΣΤΑΝΤΙΝΑ του Δημητρίου,Ένωση Κεντρώων,ΓΟΥΡΓΙΩΤΗ ΣΤΑΜΑΤΙΑ του Κωνσταντίνου,ΜΗΤΡΟΠΟΥΛΟΥ ΑΓΑΘΗ του Διονύσιου,ΣΚΛΗΒΑΓΚΟΣ ΣΤΑΥΡΟΣ του Βασιλείου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΛΟΓΗΡΟΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΓΚΟΛΙΑ ΓΙΑΝΝΟΥΛΑ του Φωτίου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΜΠΑΛΑΝΗΣ ΑΓΓΕΛΟΣ του Γρηγορίου,Κ.Ο.Τ.Ε.Σ.,ΜΠΑΤΑΛΑΣ ΠΑΥΛΟΣ του Στεφάνου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΠΑΠΠΑΣ ΙΩΑΝΝΗΣ του Θεοδώρου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΑΝΤΑΡΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΓΕΡΟΚΩΣΤΑ ΠΑΡΑΣΚΕΥΗ του Σωτηρίου,ΔΕΛΙΤΖΙΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΛΑΛΑ ΒΑΓΓΙΕΛ του Παντελή,ΜΠΟΖΟΒΙΤΗ ΙΩΑΝΝΑ του Κωνσταντίνου,ΜΠΟΥΛΟΓΕΩΡΓΟΣ ΑΘΑΝΑΣΙΟΣ του Αριστείδη,Οικολόγοι Πράσινοι,ΤΖΑΝΑ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΕΑΝ...,ΚΟΤΟΠΟΥΛΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΝΕΛΑΣ ΠΑΝΑΓΙΩΤΗΣ του Βασιλείου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΖΩΓΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου
24 - Τρικάλων,231 E.T. Δήμου Τρικκαίων,554,384,9,2,11,373,162,37,56,3,41,75,41,66,26,29,21,7,17,2,44,0,17,7,3,5,19,30,15,12,1,3,8,9,8,5,1,0,3,1,2,13,0,1,2,3,2,4,1,0,1,1,1,0,0,0,0,0,0,0,4,0,3,0,2,1,1,2,1,0,0,0,13,0,1,10,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,1,0,3,2,0,0,2,0,0,1,2,0,0,2,2,0,0,1,1,11,11
24 - Τρικάλων,232 E.T. Δήμου Τρικκαίων,552,387,7,1,8,379,153,35,44,8,43,72,27,84,26,37,32,9,15,3,48,3,16,6,8,2,28,26,12,11,5,2,8,3,10,3,2,0,5,0,5,9,0,1,3,2,1,7,0,0,0,0,2,0,0,0,0,2,0,0,2,0,1,0,1,0,0,1,1,0,0,0,25,4,2,18,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,1,2,2,1,1,2,1,0,2,0,0,0,0,0,1,0,1,1,6,4
24 - Τρικάλων,233 E.T. Δήμου Τρικκαίων,540,371,9,2,11,360,133,20,32,8,40,59,27,88,38,26,25,19,11,6,42,9,13,8,3,2,22,26,9,16,1,1,3,5,7,3,1,1,0,0,1,11,2,0,2,4,4,4,3,0,2,1,2,2,0,0,1,0,1,0,4,1,0,2,2,2,2,4,0,0,1,2,10,2,1,7,3,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,3,2,1,1,1,1,2,1,1,1,0,0,0,0,0,5,3,2,1,0,0,11,6
24 - Τρικάλων,234 E.T. Δήμου Τρικκαίων,540,335,8,3,11,324,144,27,33,6,50,82,32,80,20,34,27,11,20,2,34,2,14,5,5,2,16,21,13,6,1,3,2,6,6,2,1,2,5,0,0,7,0,1,0,3,3,2,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,2,2,0,0,0,0,0,12,2,4,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,1,1,0,0,2,0,2,0,0,2,0,3,2,1,0,1,1,3,2
24 - Τρικάλων,235 E.T. Δήμου Τρικκαίων,554,375,11,2,13,362,150,30,42,14,39,76,16,74,19,27,19,15,24,3,44,4,17,7,5,4,30,28,13,11,5,5,1,1,8,3,2,2,1,0,3,13,1,5,1,1,3,2,2,0,1,0,1,0,0,0,1,0,0,0,2,0,1,1,0,2,2,3,2,0,0,1,8,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,3,2,2,0,4,1,1,2,0,0,0,3,1,0,0,4,4,7,5
24 - Τρικάλων,236 E.T. Δήμου Τρικκαίων,473,291,5,2,7,284,146,18,38,15,22,92,79,53,21,12,13,5,15,2,37,5,5,6,2,11,18,16,6,3,0,0,0,14,6,3,3,1,2,0,0,1,0,0,1,1,0,0,1,0,1,1,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,3,0,0,1,0,3,0,0,3,1,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,2,2,4,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3
24 - Τρικάλων,237 E.T. Δήμου Τρικκαίων,463,270,2,0,2,268,131,15,48,16,32,70,33,58,24,10,13,16,16,2,16,0,5,3,1,3,7,33,3,15,1,1,1,28,8,2,2,2,1,0,2,4,1,0,1,0,2,1,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,2,1
24 - Τρικάλων,238 E.T. Δήμου Τρικκαίων,470,241,7,0,7,234,107,7,43,4,31,37,42,48,13,11,15,6,6,4,18,1,6,6,1,1,11,34,6,16,0,1,0,30,8,6,5,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,1,9,1,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
24 - Τρικάλων,239 E.T. Δήμου Τρικκαίων,442,255,6,2,8,247,105,12,43,4,27,48,41,50,18,15,10,12,14,1,27,1,7,4,1,1,20,30,9,11,2,2,2,22,7,2,1,2,2,1,2,1,0,0,0,0,0,1,2,1,2,1,0,0,0,0,0,0,0,0,4,0,2,4,0,1,1,0,0,0,0,0,5,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,1,0,0,4,2,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,4,3
24 - Τρικάλων,240 E.T. Δήμου Τρικκαίων,508,227,6,3,9,218,98,4,35,6,35,28,49,65,18,27,13,2,12,2,22,0,2,9,2,1,8,7,3,0,1,0,1,4,5,1,2,1,2,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,2,2,0,1,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3
24 - Τρικάλων,241 E.T. Δήμου Τρικκαίων,465,302,1,3,4,298,141,15,48,3,54,50,31,45,22,14,8,13,10,1,33,2,14,10,4,2,13,42,8,13,1,13,1,23,15,1,2,5,1,1,9,2,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,1,2,0,0,0,0,8,0,1,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
24 - Τρικάλων,242 E.T. Δήμου Τρικκαίων,590,339,5,1,6,333,139,40,30,7,46,80,15,62,27,17,17,15,13,0,32,7,5,6,5,4,17,37,2,8,2,0,15,19,15,7,3,2,2,1,4,7,1,3,1,2,1,2,3,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,1,3,0,1,1,0,0,0,8,1,1,6,3,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,2,0,1,1,1,1,1,1,1,0,1,0,0,0,0,2,1,1,0,6,5,5,3
24 - Τρικάλων,243 E.T. Δήμου Τρικκαίων,467,321,10,0,10,311,113,30,22,2,35,72,21,62,13,17,15,12,19,4,56,5,20,11,10,5,31,25,9,8,0,1,4,3,11,3,2,2,2,0,2,7,0,1,0,0,2,1,2,0,0,1,1,1,0,0,0,1,0,0,2,0,0,1,0,1,1,1,0,0,0,0,13,2,3,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,4,2,2,1,0,0,3,0,3,0,0,1,1,1,0,0,0,0,0,4,1
24 - Τρικάλων,244 E.T. Δήμου Τρικκαίων,360,273,2,1,3,270,115,20,30,3,49,68,22,72,13,27,23,12,24,5,28,2,10,5,6,0,12,8,1,3,2,0,2,0,7,3,2,0,3,1,2,10,0,1,1,0,2,2,2,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,16,2,4,12,9,0,0,0,0,1,1,0,0,0,0,0,2,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,1,1,2,1
24 - Τρικάλων,245 E.T. Δήμου Τρικκαίων,553,370,11,1,12,358,155,36,51,11,34,71,39,84,19,29,20,16,29,5,24,0,9,5,3,3,15,32,8,8,5,1,8,4,7,3,2,0,1,1,0,6,1,3,0,0,1,4,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,4,2,1,0,1,24,3,3,18,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,5,1,0,4,0,0,0,2,1,0,0,2,1,3,2
24 - Τρικάλων,246 E.T. Δήμου Τρικκαίων,551,382,7,2,9,373,125,20,36,7,37,61,25,91,30,29,24,14,23,4,41,4,12,5,5,2,24,40,16,19,4,1,10,12,13,2,0,4,1,2,0,7,1,2,0,1,2,1,1,0,1,1,0,0,0,0,0,0,0,0,5,0,3,1,3,1,1,2,0,0,0,0,22,5,4,19,7,0,0,0,0,0,0,1,0,0,0,0,3,2,2,0,0,0,3,2,1,0,1,1,3,1,1,1,0,0,0,0,0,4,1,1,1,2,0,5,2
24 - Τρικάλων,247 E.T. Δήμου Τρικκαίων,550,388,7,0,7,381,175,22,43,5,51,89,50,75,23,29,21,9,21,3,25,3,4,3,5,2,16,37,10,16,1,2,14,4,6,3,1,0,3,0,2,12,1,1,0,3,6,3,2,0,1,1,1,0,0,1,1,0,0,0,2,0,1,1,1,0,0,3,0,1,1,0,20,3,1,15,12,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,2,2,2,2,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,4,3,7,4
24 - Τρικάλων,248 E.T. Δήμου Τρικκαίων,535,363,4,1,5,358,139,26,49,9,27,71,26,97,23,32,23,23,36,3,37,2,17,6,4,2,17,26,11,16,2,0,7,5,4,2,1,0,0,1,1,13,4,1,1,2,3,2,1,0,1,1,0,0,0,0,0,0,0,0,5,2,2,2,1,0,0,2,1,2,0,1,16,2,1,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,0,4,0,1,3,0,0,1,2,1,0,0,3,3,4,2
24 - Τρικάλων,249 E.T. Δήμου Τρικκαίων,549,372,6,1,7,365,128,24,40,4,37,62,24,70,14,23,20,7,19,6,61,7,26,16,4,4,30,39,16,11,5,1,13,7,11,5,1,2,3,1,2,10,1,0,3,4,2,2,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,1,0,2,2,2,0,0,0,0,17,3,4,12,8,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,2,1,0,0,4,4,1,0,0,1,0,0,0,3,2,1,0,0,0,8,5
24 - Τρικάλων,250 E.T. Δήμου Τρικκαίων,539,372,1,2,3,369,139,17,46,9,35,84,26,73,14,36,18,13,23,5,40,5,12,6,2,4,25,42,12,23,2,4,17,4,2,0,0,0,0,0,0,14,0,4,3,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,10,4,2,1,8,13,2,2,10,7,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,0,0,2,1,1,1,2,0,5,5,6,4,0,2,1,0,1,4,3,2,0,4,4,5,3
24 - Τρικάλων,251 E.T. Δήμου Τρικκαίων,545,366,5,2,7,359,151,23,49,4,45,80,35,88,18,40,27,9,29,4,37,9,18,5,1,3,19,36,13,15,2,1,15,5,5,2,0,3,0,0,1,8,1,2,0,2,2,1,0,0,0,0,2,1,0,0,1,0,0,0,4,0,2,1,3,1,0,4,1,1,1,2,11,1,1,10,7,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,1,0,0,1,1,1,0,0,1,0,0,0,2,1,1,1,1,1,2,1
24 - Τρικάλων,252 E.T. Δήμου Τρικκαίων,555,391,12,4,16,375,164,36,49,11,39,71,37,70,12,23,16,11,19,3,42,5,8,9,3,5,28,33,11,17,2,2,7,6,5,2,1,0,1,0,0,4,1,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,6,1,2,1,2,19,1,2,15,6,0,0,0,0,0,0,2,1,1,1,1,2,0,0,0,1,0,1,0,2,0,1,1,0,0,2,1,0,1,0,0,0,2,1,1,1,0,0,12,8
24 - Τρικάλων,253 E.T. Δήμου Τρικκαίων,547,369,1,2,3,366,125,28,31,4,38,60,38,82,29,22,26,8,22,8,47,6,16,4,4,9,27,22,7,13,4,0,4,4,9,3,3,2,1,1,3,13,1,0,1,2,4,4,1,0,1,0,2,2,0,2,0,0,0,0,1,0,1,0,1,2,1,4,1,2,1,2,33,1,2,29,25,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,1,0,1,1,3,1,0,0,1,0,0,2,2,1,1,3,2,9,5
24 - Τρικάλων,254 E.T. Δήμου Τρικκαίων,539,375,2,3,5,370,138,29,28,9,36,78,31,75,17,26,20,19,16,8,48,4,15,5,6,4,23,53,18,15,7,6,20,11,9,4,1,1,0,0,1,11,3,4,1,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,2,1,0,0,0,12,2,1,9,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,1,1,2,0,2,1,0,0,0,0,0,2,1,1,0,2,2,4,2
24 - Τρικάλων,255 E.T. Δήμου Τρικκαίων,543,386,16,4,20,366,130,23,30,4,22,70,49,93,21,31,21,12,38,7,53,6,19,6,2,6,27,25,10,13,2,0,11,4,4,1,0,1,1,0,1,11,0,2,0,3,4,6,2,0,2,1,3,0,0,1,2,1,0,0,2,0,1,1,2,1,0,3,0,3,1,1,20,2,3,16,10,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,0,0,3,2,1,0,1,0,1,0,3,1,0,0,0,0,1,0,0,0,0,2,2,5,4
24 - Τρικάλων,256 E.T. Δήμου Τρικκαίων,546,354,11,1,12,342,129,23,36,9,34,68,27,75,17,23,28,10,25,5,37,0,6,4,9,0,25,27,8,10,4,1,6,0,8,2,1,0,0,1,1,7,0,1,2,0,0,3,2,1,1,1,1,0,0,0,0,0,0,0,6,3,1,4,0,2,1,2,0,1,0,0,24,3,3,19,14,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,4,4,0,0,3,0,2,1,1,0,0,0,0,2,2,0,0,0,0,6,3
24 - Τρικάλων,257 E.T. Δήμου Τρικκαίων,538,349,3,2,5,344,142,27,45,5,31,85,30,91,15,36,20,22,33,9,26,2,11,6,4,1,11,23,12,10,2,1,6,5,9,4,1,3,2,0,1,7,1,2,1,3,1,0,5,2,4,1,1,1,1,0,0,0,0,0,4,0,2,1,3,1,1,6,2,1,1,2,6,1,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,5,1,0,0,0,2,2,3,1,1,0,0,3,1,2,1,1,1,2,1,6,4
24 - Τρικάλων,258 E.T. Δήμου Τρικκαίων,549,384,2,1,3,381,154,33,34,7,43,83,39,77,20,30,19,16,18,5,57,11,23,8,6,3,25,33,12,15,4,1,10,7,7,3,1,3,2,1,1,10,0,1,3,3,4,3,0,0,0,0,2,0,0,0,1,1,0,0,7,0,4,0,5,0,0,1,1,0,0,0,18,2,2,14,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,10,8
24 - Τρικάλων,259 E.T. Δήμου Τρικκαίων,543,387,8,2,10,377,145,28,49,5,46,48,36,88,19,30,21,10,30,7,31,1,10,4,1,5,19,39,16,20,6,1,15,1,9,5,1,1,0,0,1,12,1,2,5,2,4,5,1,0,0,1,0,0,0,0,0,0,0,0,4,0,1,1,1,1,1,5,0,0,1,3,13,1,1,11,8,0,0,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,6,3,3,3,1,0,3,3,2,0,2,2,0,0,0,2,1,0,0,2,2,6,5
24 - Τρικάλων,260 E.T. Δήμου Τρικκαίων,540,362,4,4,8,354,140,22,46,6,24,76,37,90,21,33,23,14,32,8,33,4,10,6,4,1,19,22,10,13,2,1,7,1,11,4,2,2,3,0,5,6,1,1,2,0,1,0,0,0,0,0,5,2,0,0,4,1,0,0,5,1,0,1,3,0,0,5,1,4,0,1,10,2,1,6,7,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,4,11,8
24 - Τρικάλων,261 E.T. Δήμου Τρικκαίων,448,316,7,0,7,309,101,28,26,3,35,44,13,79,30,28,23,11,26,5,44,2,19,9,2,1,26,34,9,14,3,6,14,10,9,3,2,0,2,0,4,8,1,0,5,2,1,3,5,0,4,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,15,1,1,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,1,2,2
24 - Τρικάλων,262 E.T. Δήμου Τρικκαίων,455,292,7,0,7,285,118,25,23,7,45,54,22,47,18,8,13,13,20,3,39,1,9,1,3,1,27,21,5,13,4,0,6,5,12,9,1,2,4,0,1,5,0,0,3,1,2,2,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,1,1,0,12,1,1,11,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,0,0,0,2,2,9,0,0,8,1,0,0,3,2,1,1,0,0,4,4
24 - Τρικάλων,263 E.T. Δήμου Τρικκαίων,293,219,4,1,5,214,101,16,30,10,42,48,13,37,11,16,9,5,8,3,35,4,5,2,1,2,26,14,1,3,0,1,3,7,6,2,0,1,1,1,4,3,1,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,3,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,2,2,2,2,0,1,0,0,0,0,0,0,0,1,1,3,2
24 - Τρικάλων,264 E.T. Δήμου Τρικκαίων,545,396,8,2,10,386,172,42,70,2,55,98,31,86,13,21,27,17,32,1,48,7,15,9,2,4,33,27,10,9,5,4,10,6,11,1,0,0,1,0,10,7,1,2,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,3,1,0,1,3,3,2,3,3,2,0,0,15,3,1,12,8,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,2,1,1,0,1,0,0,0,0,0,0,1,1,3,3
