ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΒΡΟΥΤΣΗΣ ΙΩΑΝΝΗΣ (ΓΙΑΝΝΗΣ) του Βασιλείου,ΚΑΦΟΥΡΟΣ ΜΑΡΚΟΣ του Εμμανουήλ,ΜΟΝΟΓΥΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Μιχαήλ,ΠΡΙΝΙΑ ΔΕΣΠΟΙΝΑ του Ιωάννη,ΦΟΡΤΩΜΑΣ ΦΙΛΙΠΠΟΣ του Αριστοτέλη,ΧΑΛΚΙΑ ΑΝΘΗ του Γεωργίου,ΣΥΡΙΖΑ,ΒΛΑΣΤΑΡΗ ΕΙΡΗΝΗ του Κωνσταντίνου,ΓΛΕΖΟΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΚΑΡΑΜΟΛΕΓΚΟΥ ΘΑΛΛΕΛΑΙΑ (ΙΑΚΩΒΙΝΑ - ΘΑΛΕΙΑ) του Ηλία,ΜΑΡΑΓΚΟΣ ΓΕΩΡΓΙΟΣ του Ισιδώρου,ΣΥΡΜΑΛΕΝΙΟΣ ΝΙΚΟΛΑΟΣ του Ευάγγελου,ΧΑΝΙΩΤΗ ΜΑΡΙΑ του Κωνσταντίνου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΥ (ΑΝΤΩΝΑΚΗ) ΜΑΡΓΑΡΙΤΑ του Κωνσταντίνου,ΒΛΑΣΕΡΟΣ ΙΩΑΝΝΗΣ του Νικολάου,ΜΑΚΡΥΩΝΙΤΗΣ ΓΕΩΡΓΙΟΣ (ΤΖΩΡΤΖΗΣ) του Νικολάου,ΠΟΛΑΤΣΙΔΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΠΟΛΙΤΗ ΟΛΓΑ του Νικολάου,ΠΟΛΥΧΡΟΝΑΚΟΣ ΙΩΑΝΝΗΣ του Αλεξίου (Σέργης),Κ.Κ.Ε.,ΒΛΑΧΟΣ ΑΝΔΡΕΑΣ του Χρήστου,ΓΚΙΚΑΣ ΑΝΑΣΤΑΣΙΟΣ του Ιωάννη,ΚΑΪΛΗΣ ΝΙΚΟΛΑΟΣ του Αποστόλου,ΚΟΡΡΕΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΠΡΩΤΟΠΑΠΑ ΦΡΑΤΖΕΣΚΑ του Ιακώβου,ΡΕΜΟΥΝΔΟΥ ΑΙΚΑΤΕΡΙΝΗ του Χαράλαμπου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΑΜΠΑΤΖΗΣ ΝΙΚΟΛΑΟΣ του Γρηγορίου,ΒΡΑΧΑΜΗ ΕΙΡΗΝΗ του Ελευθερίου,ΜΠΟΥΛΜΕΤΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΣΑΚΕΛΛΑΡΙΟΣ ΝΙΚΟΛΑΟΣ του Φλώρου,ΧΑΡΑΛΑΜΠΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Θεοδώρου,ΧΑΣΤΑΤΖΕΡΗ ΣΟΥΛΙΩΤΗ ΒΑΣΙΛΙΚΗ του Σωκράτη,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΛΕΖΟΥ ΑΙΚΑΤΕΡΙΝΗ του Δημητρίου,ΕΛΕΝΗ ΜΑΡΙΑ του Αναστασίου,ΖΟΥΛΙΑΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΝΕΡΟΥΤΣΟΣ ΙΣΙΔΩΡΟΣ του Ιωάννη,ΠΑΠΙΟΠΟΥΛΟΥ ΑΝΝΑ του Παναγιώτη,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΤΣΙΝΤΖΑΣ ΑΘΑΝΑΣΙΟΣ του Ανδρέα,Κ.Κ.Ε. (μ-λ),ΜΑΚΟΣ ΗΛΙΑΣ του Αλεξάνδρου,Ο.Κ.Δ.Ε.,ΣΕΜΙΖΙΔΟΥ ΜΑΡΙΑ του Ιωάννη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΑΣΙΛΑ ΑΓΓΕΛΙΚΗ του Δημητρίου,ΒΟΥΤΣΙΝΟΣ ΑΝΤΩΝΙΟΣ του Νικολάου,ΔΗΜΗΤΡΕΛΟΣ ΛΟΥΚΑΣ του Δημητρίου,ΚΑΜΠΡΗΣ ΧΡΗΣΤΟΣ του Παναγιώτη,ΠΛΑΚΙΩΤΗ ΧΡΥΣΟΥΛΑ του Μιχαήλ,Κίνημα 21,ΑΡΑΓΙΑΝΝΗΣ ΕΥΑΓΓΕΛΟΣ του Πέτρου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΔΑΜΙΔΗΣ ΦΙΛΙΠΠΟΣ του Παναγιώτη,ΔΗΜΗΤΡΙΟΥ ΠΕΤΡΟΣ του Ευαγγέλου,ΜΑΝΟΥ ΑΛΕΞΑΝΔΡΑ του Ορφέως Γεωργίου,ΜΟΣΧΟΒΗ ΑΝΝΑ του Βασιλείου,ΝΙΚΗ,ΑΥΛΙΤΗ ΘΕΟΔΩΡΑ του Μάρκου,ΓΕΩΡΓΑΚΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Παναγιώτη,ΣΑΝΗ ΙΩΑΝΝΑ του Νικολάου,ΣΥΡΙΑΝΟΥ ΜΑΡΙΑ της Νικολάου,ΧΑΤΖΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννου,κοινωνία αξιών,ΧΑΛΑΡΗΣ ΦΙΛΙΠΠΟΣ του Γεωργίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΞΑΓΟΡΑΡΗ ΦΩΤΕΙΝΗ του Δημήτρίου,ΟΡΦΑΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Χρήστου,Ο.Α.Κ.Κ.Ε.,ΔΙΠΛΑΡΑΚΗ ΑΝΝΑ του Κωνσταντίνου,Μ-Λ Κ.Κ.Ε.,ΤΣΩΝΗ ΙΩΑΝΝΑ του Μιχαήλ,Ελλήνων Συνέλευσις,ΒΑΒΛΙΑΚΗ ΣΤΑΥΡΟΥΛΑ του Δημητρίου,ΚΟΥΝΑΔΗΣ ΙΩΑΝΝΗΣ του Ματθαίου,Ένωση Κεντρώων,ΑΑΡΩΝ ΣΤΥΛΙΑΝΟΣ του Δημητρίου,ΔΡΙΛΛΗ ΒΑΣΙΛΙΚΗ του Γεωργίου,ΜΑΝΔΗΛΑΡΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΜΥΡΣΙΑΔΗ ΚΑΛΛΙΟΠΗ - ΔΗΜΗΤΡΑ του Ιωάννη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΜΠΑΤΖΑΚΑ ΛΕΥΚΗ του Ιωάννη,ΠΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΑΛΕΞΑΝΔΡΑΚΗ ΔΙΑΜΑΝΤΩ του Αθανασίου,ΔΟΓΟΥ ΖΩΓΡΑΦΙΑ του Παντελή,ΛΑΜΠΡΙΔΗΣ ΓΡΗΓΟΡΙΟΣ του Εμμανουήλ,ΠΑΠΑΜΑΝΩΛΗ ΑΣΗΜΙΝΑ του Γεωργίου,ΣΙΔΕΡΗΣ ΙΩΑΝΝΗΣ του Παύλου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΠΑΔΟΠΟΥΛΟΥ ΒΑΡΒΑΡΑ του Βασιλείου,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΖΥΜΒΡΑΓΟΥΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΚΑΒΑΓΙΟΥ ΣΤΥΛΙΑΝΗ του Ιωάννη,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΑΛΜΠΕΡΤΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΒΙΡΒΙΛΗ ΣΤΑΥΡΟΥΛΑ του Σταύρου,ΚΑΜΝΙΤΣΗ ΝΙΟΒΗ του Χρήστου,ΜΑΛΑΚΑΤΕΣ ΕΥΑΓΓΕΛΟΣ του Ιακώβου,ΤΣΟΥΚΑΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,Οικολόγοι Πράσινοι,ΔΕΛΛΑΤΟΛΑΣ ΜΑΤΘΑΙΟΣ του Ιωάννη,ΚΑΛΛΙΒΡΟΥΣΗΣ ΦΡΑΝΤΖΕΣΚΟΣ του Στεργίου,ΣΟΦΟΥ ΕΙΡΗΝΗ του Παναγιώτη,ΕΑΝ...,ΑΓΑΣ ΣΤΑΜΑΤΙΟΣ του Νικολάου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΖΑΒΑΛΗΣ ΑΓΓΕΛΟΣ του Αντωνίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΑΜΠΑΝΟΣ ΔΗΜΗΤΡΙΟΣ του Εμμανουήλ,ΠΑΠΑΔΟΠΟΥΛΟΥ ΦΩΤΕΙΝΗ του Διογένη
51 - Κυκλάδων,286 E.T. Δήμου Τήνου,478,329,7,5,12,317,141,60,1,27,5,106,13,79,14,12,18,31,40,9,35,4,3,4,23,5,9,13,0,0,0,1,11,3,8,3,4,1,0,4,0,5,4,2,0,2,0,2,2,0,0,0,0,4,2,0,1,1,2,1,1,1,0,0,1,1,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,2,2,2,0,0,0,0,0,11,9,0,4,1,1,0,0,7,3,4
51 - Κυκλάδων,287 E.T. Δήμου Τήνου,218,147,0,2,2,145,46,18,1,15,2,30,5,44,9,9,5,19,10,15,20,4,0,4,9,5,4,3,0,0,0,0,1,0,3,2,1,0,3,0,0,5,2,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,1,0,12,11,0,1,0,0,0,0,1,0,0
51 - Κυκλάδων,Ετερ. Κυκλάδων (από Εφετείο Θεσσαλονίκης),75,54,0,1,1,53,18,8,1,7,0,10,0,14,1,3,1,4,3,4,6,1,4,1,0,2,3,4,0,1,2,1,1,1,1,1,0,0,1,0,0,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2
51 - Κυκλάδων,Ετερ. Κυκλάδων (από 105ο Ε.Τ. Νομ. Αττικης-Αθηνών),478,328,1,1,2,326,169,88,11,65,9,53,19,58,6,10,6,1,3,1,23,6,10,6,1,3,1,32,1,3,1,10,12,11,4,1,2,0,0,1,2,6,3,2,0,0,1,1,1,0,0,0,0,2,2,1,1,0,0,2,0,1,0,1,1,0,6,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,2,0,0,1,2,1,0,0,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,5
51 - Κυκλάδων,Ετερ. Κυκλάδων (από 106ο Ε.Τ. Νομ. Αττικης-Αθηνών),479,320,3,0,3,317,155,90,16,55,5,46,11,66,8,19,9,9,24,8,31,6,15,4,4,5,6,23,2,3,2,7,6,6,11,6,2,1,3,0,2,6,3,1,2,0,1,2,0,0,0,0,0,2,0,1,0,0,0,1,0,3,0,1,1,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,1,0,0,0,2,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,4
51 - Κυκλάδων,Ετερ. Κυκλάδων (από 107ο Ε.Τ. Νομ. Αττικης-Αθηνών),484,338,2,0,2,336,161,100,11,56,21,38,17,72,22,24,8,13,30,18,22,3,12,3,3,7,3,18,1,2,0,5,10,4,16,7,8,2,4,3,3,10,6,2,0,2,1,2,1,0,0,0,0,6,1,3,0,0,2,2,0,0,0,0,0,0,6,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,0,0,5,2,3,0,2,0,1,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,4
51 - Κυκλάδων,Ετερ. Κυκλάδων (από 108ο Ε.Τ. Νομ. Αττικης-Αθηνών),462,324,4,1,5,319,154,91,13,59,22,42,21,75,17,30,7,14,24,21,26,3,10,2,1,8,4,29,4,5,1,7,10,6,7,4,1,1,2,0,3,10,4,0,3,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1,0,4,2,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,2,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3
51 - Κυκλάδων,Ετερ. Κυκλάδων (από 109ο Ε.Τ. Νομ. Αττικης-Αθηνών),487,332,5,1,6,326,167,95,20,60,19,47,16,63,13,27,14,7,26,16,22,5,13,4,1,4,5,29,8,4,2,7,7,9,10,5,8,0,2,0,2,8,5,0,2,1,2,0,0,0,0,0,0,2,1,0,0,1,0,1,0,4,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,8
51 - Κυκλάδων,Ετερ. Κυκλάδων (από 16ο Ε.Τ. Νομ. Αττικης-Πειραιώς),363,252,2,0,2,250,117,74,13,46,11,36,10,53,11,16,10,14,24,13,12,0,4,1,0,3,0,24,7,9,4,3,4,3,11,3,6,2,1,1,1,5,2,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1,4,1,1,2,1,9,4,1,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,6
Σύνολο,,128071,76008,1660,542,2202,73806,35093,17898,5735,13494,1984,9768,4203,11772,2058,2754,1957,3029,3678,2913,8324,1533,3084,2040,813,1729,1887,4155,846,886,689,998,927,770,2684,999,830,324,430,326,452,2126,914,393,536,241,393,965,740,93,52,13,6,341,140,73,29,45,98,401,259,483,171,146,113,96,1652,369,289,241,910,222,76,40,61,34,24,22,10,52,22,117,71,64,318,87,88,87,77,234,140,126,674,158,260,79,114,156,70,30,382,259,254,159,204,65,60,36,39,17,734,380,123,249,239,166,146,87,2121,1125,1261
