ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΑΤΣΙΟΣ ΙΩΑΝΝΗΣ του Νικολάου,ΚΟΓΙΟΥ ΛΑΜΠΡΙΝΗ του Δημητρίου,ΣΤΑΥΡΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΡΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΠΓΙΑΛΑΣ ΧΡΗΣΤΟΣ του Αθανασίου,ΤΖΟΥΒΑΡΑ ΦΩΤΕΙΝΗ του Δημητρίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΚΑΛΟΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΣΤΟΥΠΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΤΣΙΑΝΑ ΑΙΚΑΤΕΡΙΝΗ του Αργυρίου,Κ.Κ.Ε.,ΓΑΛΑΝΗΣ ΔΗΜΗΤΡΙΟΣ του Ευθυμίου,ΚΛΕΙΣΙΑΡΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΚΟΛΙΤΣΑ ΤΣΑΚΜΑΚΑ ΕΛΕΥΘΕΡΙΑ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΒΔΕΛΑΣ ΑΠΟΣΤΟΛΟΣ του Κωνσταντίνου,ΑΘΑΝΑΣΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,ΑΞΙΩΤΗ ΕΛΙΣΣΑΒΕΤ του Αχιλλέως,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΒΕΛΛΑ ΣΤΥΛΙΑΝΗ του Θεοδώρου,ΑΧΤΑΡΙΔΗΣ ΘΩΜΑΣ του Γεωργίου,ΚΩΣΤΟΥΛΑΣ ΣΤΕΡΓΙΟΣ του Δημητρίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΟΝΤΑΡΓΥΡΗ ΑΡΓΥΡΩ του Αποστόλου,Κ.Κ.Ε. (μ-λ),ΠΑΠΑΔΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Χαραλάμπους,Ο.Κ.Δ.Ε.,ΚΑΛΑΜΠΑΚΑΣ ΑΡΓΥΡΙΟΣ του Πέτρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΑΣΙΛΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Δημητρίου,Κίνημα 21,ΕΥΘΥΜΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Χαραλάμπου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΑΡΑΜΗΤΡΟΣ ΑΧΙΛΛΕΥΣ του Νικολάου,ΝΙΚΗ,ΝΙΚΟΛΑΟΥ ΓΕΩΡΓΙΟΣ του Αθανασίου,κοινωνία αξιών,ΚΑΡΕΤΣΟΣ ΕΥΘΥΜΙΟΣ (ΜΑΚΗΣ) του Στέργιου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΜΠΟΥΝΤΟΥΡΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΠΑΠΑΠΟΣΤΟΛΟΥ ΙΑΣΩΝ του Δημητρίου,Ελλήνων Συνέλευσις,ΚΡΑΓΙΑΣ ΧΡΗΣΤΟΣ του Γεωργίου,Ένωση Κεντρώων,ΒΛΑΧΟΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΑΡΑΠΑΝΑΓΙΩΤΟΥ ΑΝΑΣΤΑΣΙΑ του Χρήστου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΝΙΑΝΙΟΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΛΑΧΑΝΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Μιχαήλ,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΠΑΠΑΓΕΡΟΥΔΗΣ ΑΓΓΕΛΟΣ του Νικολάου,Οικολόγοι Πράσινοι,ΣΟΥΚΟΥ ΚΑΛΛΙΟΠΗ του Σωκράτη,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΠΑΓΕΡΙΔΟΥ ΜΑΡΙΑ ΗΣΑΙΑ του Αθανασίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΟΥΛΗ ΑΓΓΕΛΙΚΗ του Αναστασίου
17 - Γρεβενών,17 E.T. Δήμου Γρεβενών,167,100,1,1,2,98,62,17,1,37,7,5,1,0,14,0,14,0,0,0,0,0,3,1,0,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
17 - Γρεβενών,18 E.T. Δήμου Γρεβενών,282,114,1,2,3,111,57,27,0,28,18,6,5,6,15,0,11,0,4,0,2,2,2,0,2,0,1,0,1,0,1,1,0,0,0,0,0,0,6,6,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0
17 - Γρεβενών,19 E.T. Δήμου Γρεβενών,210,71,1,1,2,69,25,19,1,4,25,11,0,14,12,0,9,0,5,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17 - Γρεβενών,20 E.T. Δήμου Γρεβενών,440,215,1,1,2,213,93,24,16,47,43,28,3,12,43,4,8,30,6,0,0,2,9,3,0,0,2,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,5,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0,3,1
17 - Γρεβενών,21 E.T. Δήμου Γρεβενών,396,220,1,1,2,218,95,26,1,65,54,22,13,7,30,1,15,6,13,1,2,7,7,1,2,4,5,2,0,0,1,1,0,0,0,0,0,0,0,0,1,0,8,6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
17 - Γρεβενών,22 E.T. Δήμου Γρεβενών,166,80,0,0,0,80,43,7,7,25,14,6,1,5,10,0,9,0,4,0,0,0,5,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17 - Γρεβενών,23 E.T. Δήμου Γρεβενών,295,168,1,1,2,166,69,30,10,26,32,6,9,12,27,4,18,2,14,0,7,4,4,1,0,2,4,2,2,0,2,1,0,0,0,0,0,0,0,0,1,1,7,4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3,1,0,0,1,0,0,0,0,0
17 - Γρεβενών,24 E.T. Δήμου Γρεβενών,159,95,1,1,2,93,38,7,7,20,17,7,5,1,24,7,10,2,1,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
17 - Γρεβενών,25 E.T. Δήμου Γρεβενών,131,92,0,0,0,92,64,18,14,31,3,1,1,0,18,2,14,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0
17 - Γρεβενών,26 E.T. Δήμου Γρεβενών,452,234,3,1,4,230,77,32,4,36,54,15,10,25,40,7,24,5,29,0,5,19,6,3,0,0,1,1,0,0,1,1,0,0,0,0,1,1,3,2,0,0,7,4,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,8,3
17 - Γρεβενών,27 E.T. Δήμου Γρεβενών,141,51,0,0,0,51,23,15,1,4,9,1,1,7,10,1,5,2,2,0,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
17 - Γρεβενών,28 E.T. Δήμου Γρεβενών,171,97,0,0,0,97,43,20,4,16,19,3,10,6,18,1,15,2,10,0,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,1
17 - Γρεβενών,29 E.T. Δήμου Γρεβενών,575,290,12,0,12,278,137,68,4,60,50,6,12,23,37,1,31,2,13,2,1,2,8,4,0,2,2,0,1,1,3,2,0,0,0,0,2,2,3,2,3,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,3,3,0,0,5,3
17 - Γρεβενών,30 E.T. Δήμου Γρεβενών,127,76,3,0,3,73,45,28,2,13,4,0,0,4,1,0,1,0,2,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,6,0,0,0,0,0,0,0,0,0,0
17 - Γρεβενών,31 E.T. Δήμου Γρεβενών,245,118,4,1,5,113,50,20,2,26,19,1,3,14,23,0,17,4,3,0,1,2,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,2,0,2,1,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,3,2
