ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΑΤΣΙΟΣ ΙΩΑΝΝΗΣ του Νικολάου,ΚΟΓΙΟΥ ΛΑΜΠΡΙΝΗ του Δημητρίου,ΣΤΑΥΡΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΡΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΠΓΙΑΛΑΣ ΧΡΗΣΤΟΣ του Αθανασίου,ΤΖΟΥΒΑΡΑ ΦΩΤΕΙΝΗ του Δημητρίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΚΑΛΟΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΣΤΟΥΠΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΤΣΙΑΝΑ ΑΙΚΑΤΕΡΙΝΗ του Αργυρίου,Κ.Κ.Ε.,ΓΑΛΑΝΗΣ ΔΗΜΗΤΡΙΟΣ του Ευθυμίου,ΚΛΕΙΣΙΑΡΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΚΟΛΙΤΣΑ ΤΣΑΚΜΑΚΑ ΕΛΕΥΘΕΡΙΑ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΒΔΕΛΑΣ ΑΠΟΣΤΟΛΟΣ του Κωνσταντίνου,ΑΘΑΝΑΣΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,ΑΞΙΩΤΗ ΕΛΙΣΣΑΒΕΤ του Αχιλλέως,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΑΒΕΛΛΑ ΣΤΥΛΙΑΝΗ του Θεοδώρου,ΑΧΤΑΡΙΔΗΣ ΘΩΜΑΣ του Γεωργίου,ΚΩΣΤΟΥΛΑΣ ΣΤΕΡΓΙΟΣ του Δημητρίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΚΟΝΤΑΡΓΥΡΗ ΑΡΓΥΡΩ του Αποστόλου,Κ.Κ.Ε. (μ-λ),ΠΑΠΑΔΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Χαραλάμπους,Ο.Κ.Δ.Ε.,ΚΑΛΑΜΠΑΚΑΣ ΑΡΓΥΡΙΟΣ του Πέτρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΑΣΙΛΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Δημητρίου,Κίνημα 21,ΕΥΘΥΜΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Χαραλάμπου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΑΡΑΜΗΤΡΟΣ ΑΧΙΛΛΕΥΣ του Νικολάου,ΝΙΚΗ,ΝΙΚΟΛΑΟΥ ΓΕΩΡΓΙΟΣ του Αθανασίου,κοινωνία αξιών,ΚΑΡΕΤΣΟΣ ΕΥΘΥΜΙΟΣ (ΜΑΚΗΣ) του Στέργιου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΜΠΟΥΝΤΟΥΡΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΠΑΠΑΠΟΣΤΟΛΟΥ ΙΑΣΩΝ του Δημητρίου,Ελλήνων Συνέλευσις,ΚΡΑΓΙΑΣ ΧΡΗΣΤΟΣ του Γεωργίου,Ένωση Κεντρώων,ΒΛΑΧΟΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΑΡΑΠΑΝΑΓΙΩΤΟΥ ΑΝΑΣΤΑΣΙΑ του Χρήστου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΝΙΑΝΙΟΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΛΑΧΑΝΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Μιχαήλ,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΠΑΠΑΓΕΡΟΥΔΗΣ ΑΓΓΕΛΟΣ του Νικολάου,Οικολόγοι Πράσινοι,ΣΟΥΚΟΥ ΚΑΛΛΙΟΠΗ του Σωκράτη,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΚΑΠΑΓΕΡΙΔΟΥ ΜΑΡΙΑ ΗΣΑΙΑ του Αθανασίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΟΥΛΗ ΑΓΓΕΛΙΚΗ του Αναστασίου
17 - Γρεβενών,32 E.T. Δήμου Γρεβενών,52,29,0,0,0,29,13,9,0,4,4,0,1,3,5,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17 - Γρεβενών,33 E.T. Δήμου Γρεβενών,558,371,6,1,7,364,160,80,18,54,99,40,15,39,30,0,27,0,19,7,7,5,11,2,2,1,3,1,0,0,2,2,0,0,0,0,7,4,5,1,1,0,13,11,1,1,2,1,1,1,0,0,1,0,0,0,2,1,0,0,0,0,1,0,3,3,0,0,3,1
17 - Γρεβενών,34 E.T. Δήμου Γρεβενών,552,355,2,5,7,348,178,85,9,77,48,15,10,18,52,1,42,3,16,1,2,10,6,5,1,0,4,0,0,0,1,1,0,0,0,0,0,0,1,0,7,5,12,7,0,0,1,0,0,0,3,3,1,0,0,0,4,4,1,0,3,2,1,1,2,0,1,1,6,3
17 - Γρεβενών,35 E.T. Δήμου Γρεβενών,537,352,9,1,10,342,150,74,15,48,69,27,11,25,46,1,37,1,13,1,2,9,14,4,1,2,11,2,2,2,2,2,0,0,0,0,1,1,4,3,4,3,12,7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,2,0,3,0,2,1,6,2
17 - Γρεβενών,36 E.T. Δήμου Γρεβενών,539,354,5,1,6,348,155,72,14,68,76,26,10,34,56,3,44,3,16,0,2,10,10,5,1,2,4,0,1,0,6,6,0,0,0,0,0,0,0,0,2,2,10,8,0,0,0,0,0,0,0,0,2,1,2,2,0,0,1,1,1,1,0,0,2,0,0,0,5,3
17 - Γρεβενών,37 E.T. Δήμου Γρεβενών,556,359,2,1,3,356,158,64,8,82,79,24,13,33,40,1,31,3,24,0,8,12,2,1,0,0,6,5,0,0,5,4,0,0,0,0,3,2,3,0,10,8,10,7,0,0,4,3,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,6,4
17 - Γρεβενών,38 E.T. Δήμου Γρεβενών,555,370,4,1,5,365,175,75,14,77,71,29,14,25,45,2,35,1,16,1,4,10,12,9,0,0,6,2,1,0,3,2,0,0,1,1,1,0,2,0,5,2,11,6,0,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,1,1,1,1,1,0,0,0,10,9
17 - Γρεβενών,39 E.T. Δήμου Γρεβενών,552,369,2,3,5,364,159,68,8,74,82,25,20,27,26,0,23,1,28,1,9,16,12,9,0,0,7,2,1,1,6,5,0,0,0,0,1,0,5,0,6,3,11,7,1,0,0,0,0,0,1,1,2,2,0,0,4,2,0,0,1,1,0,0,4,1,1,1,7,4
17 - Γρεβενών,40 E.T. Δήμου Γρεβενών,545,346,5,1,6,340,165,79,20,52,66,19,11,32,38,0,26,2,28,1,14,9,7,5,0,1,7,2,0,0,1,0,1,0,0,0,1,0,4,1,2,1,6,5,0,0,0,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,8,4
17 - Γρεβενών,41 E.T. Δήμου Γρεβενών,553,352,11,5,16,336,138,72,13,44,77,37,3,33,37,5,27,3,16,0,7,5,14,7,1,3,10,4,0,1,2,2,1,1,0,0,2,1,3,2,2,1,16,7,0,0,1,1,1,0,0,0,1,1,0,0,1,1,0,0,8,4,0,0,1,1,0,0,5,1
17 - Γρεβενών,42 E.T. Δήμου Γρεβενών,552,381,7,3,10,371,144,56,12,70,106,34,16,43,49,2,42,0,23,0,3,15,6,3,1,1,5,2,0,2,2,1,0,0,0,0,2,2,0,0,0,0,7,2,0,0,2,2,0,0,1,1,1,0,1,1,1,0,0,0,2,2,1,0,5,3,0,0,13,8
17 - Γρεβενών,43 E.T. Δήμου Γρεβενών,547,329,3,1,4,325,150,77,18,51,63,14,10,38,37,3,32,1,20,3,1,10,12,7,1,0,5,4,0,0,4,4,1,1,0,0,3,3,2,2,4,3,12,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,7,0
17 - Γρεβενών,44 E.T. Δήμου Γρεβενών,546,355,7,0,7,348,168,75,13,73,64,31,10,17,40,0,33,1,18,3,1,7,9,0,4,0,7,3,0,1,4,4,1,0,1,0,2,2,5,2,4,3,12,9,0,0,1,1,0,0,0,0,3,2,0,0,3,1,1,0,1,1,0,0,0,0,0,0,4,2
17 - Γρεβενών,45 E.T. Δήμου Γρεβενών,549,350,1,0,1,349,140,60,12,64,104,39,15,50,28,1,21,3,26,0,8,13,8,3,1,1,6,3,0,1,0,0,0,0,0,0,0,0,3,3,3,2,15,13,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,1,2,0,1,0,9,6
17 - Γρεβενών,46 E.T. Δήμου Γρεβενών,547,332,2,0,2,330,164,74,12,72,80,33,7,31,28,4,22,2,13,3,3,5,3,1,1,1,5,2,1,1,3,2,0,0,0,0,1,1,6,2,5,5,7,6,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,3,1,8,2
17 - Γρεβενών,47 E.T. Δήμου Γρεβενών,116,77,2,0,2,75,23,16,0,7,23,9,5,9,11,0,10,0,1,0,0,1,6,3,1,1,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
17 - Γρεβενών,48 E.T. Δήμου Γρεβενών,207,139,2,3,5,134,76,37,10,25,23,5,2,13,15,1,14,0,2,0,0,2,1,0,0,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,3,1
17 - Γρεβενών,49 E.T. Δήμου Γρεβενών,362,168,6,0,6,162,74,15,1,58,54,26,18,8,21,0,16,1,4,0,4,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
17 - Γρεβενών,50 E.T. Δήμου Γρεβενών,77,32,2,0,2,30,19,8,4,7,2,0,0,1,1,0,1,0,5,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17 - Γρεβενών,51 E.T. Δήμου Γρεβενών,158,100,4,1,5,95,27,11,1,13,24,11,8,3,18,1,15,1,18,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0
17 - Γρεβενών,52 E.T. Δήμου Γρεβενών,67,38,0,0,0,38,22,7,8,5,10,3,1,6,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17 - Γρεβενών,53 E.T. Δήμου Γρεβενών,398,234,0,3,3,231,87,48,9,24,35,12,11,12,34,2,26,0,27,2,13,9,12,3,2,1,3,2,1,0,5,3,0,0,0,0,1,0,0,0,4,2,10,4,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,1,3,3,0,0,0,0,2,1,4,3
17 - Γρεβενών,54 E.T. Δήμου Γρεβενών,435,210,4,1,5,205,118,63,8,45,21,6,7,8,26,2,18,3,16,1,7,7,6,1,3,2,0,0,0,0,1,1,0,0,0,0,2,2,0,0,3,1,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,4,4,1,0,2,0
17 - Γρεβενών,55 E.T. Δήμου Γρεβενών,531,245,1,0,1,244,129,55,7,62,39,14,15,10,24,1,21,1,13,0,10,3,8,4,1,1,1,0,0,0,2,2,1,0,0,0,0,0,1,0,1,0,7,4,0,0,2,2,0,0,1,0,0,0,0,0,3,1,0,0,2,1,0,0,0,0,1,1,9,5
17 - Γρεβενών,56 E.T. Δήμου Γρεβενών,427,261,3,0,3,258,131,46,18,65,38,6,7,24,32,2,21,1,17,0,3,12,13,8,0,1,3,1,0,1,3,2,0,0,0,0,1,1,3,3,2,1,8,7,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1
17 - Γρεβενών,57 E.T. Δήμου Γρεβενών,441,247,3,0,3,244,106,42,7,53,51,14,9,21,29,2,23,3,11,0,6,3,25,4,2,7,8,2,2,0,1,1,0,0,0,0,2,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,5,4
17 - Γρεβενών,58 E.T. Δήμου Γρεβενών,270,157,1,1,2,155,62,40,5,13,29,11,8,8,30,0,21,2,15,1,1,10,4,2,0,1,1,0,0,1,0,0,0,0,0,0,4,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,1,1
17 - Γρεβενών,59 E.T. Δήμου Γρεβενών,123,73,1,1,2,71,21,11,0,10,24,12,3,7,13,0,12,0,4,0,2,2,3,0,1,1,2,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
17 - Γρεβενών,60 E.T. Δήμου Γρεβενών,287,120,1,0,1,119,44,18,5,20,37,6,6,24,13,2,8,0,14,1,1,6,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,1
17 - Γρεβενών,61 E.T. Δήμου Γρεβενών,417,193,3,2,5,188,60,30,1,29,47,23,5,13,32,1,29,1,17,3,4,9,7,4,0,1,2,1,0,0,1,0,0,0,1,0,5,5,0,0,2,1,5,2,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,2,0,0,0,0,0,0,2,2,3,2
17 - Γρεβενών,62 E.T. Δήμου Γρεβενών,396,194,1,1,2,192,77,35,7,33,42,25,4,8,18,1,15,1,23,0,5,16,3,1,0,1,2,0,0,1,2,2,1,1,0,0,1,1,0,0,1,0,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,9,8,6,5
17 - Γρεβενών,63 E.T. Δήμου Γρεβενών,156,86,3,1,4,82,35,13,3,19,33,14,8,9,4,0,4,0,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1
17 - Γρεβενών,64 E.T. Δήμου Γρεβενών,487,208,2,2,4,204,62,26,3,29,58,13,12,25,30,4,19,4,22,1,4,15,2,0,0,0,2,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,3,1,6,3,1,1,0,0,1,1,1,1,8,4
17 - Γρεβενών,65 E.T. Δήμου Γρεβενών,151,82,4,0,4,78,43,22,2,18,10,6,1,2,12,0,11,0,0,0,0,0,6,2,2,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17 - Γρεβενών,66 E.T. Δήμου Γρεβενών,430,236,4,1,5,231,152,68,17,61,21,7,6,4,23,0,20,0,7,0,0,2,4,2,0,0,5,2,0,0,3,3,0,0,0,0,0,0,0,0,2,1,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4
17 - Γρεβενών,67 E.T. Δήμου Γρεβενών,398,204,3,1,4,200,87,40,4,42,41,16,0,23,20,1,14,1,26,0,8,17,5,1,0,2,2,1,1,0,2,2,1,0,0,0,0,0,1,1,1,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0
17 - Γρεβενών,68 E.T. Δήμου Γρεβενών,405,240,9,1,10,230,104,29,8,63,52,31,6,13,51,3,33,7,5,0,0,2,5,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,0,0,1,1,0,0,3,1,1,1,0,0
17 - Γρεβενών,69 E.T. Δήμου Γρεβενών,107,67,1,0,1,66,40,18,1,21,12,7,0,4,2,0,2,0,1,0,0,1,2,0,0,1,2,0,0,2,0,0,1,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0
17 - Γρεβενών,70 E.T. Δήμου Γρεβενών,244,115,2,1,3,112,53,5,3,43,36,6,10,15,9,0,8,0,7,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
17 - Γρεβενών,71 E.T. Δήμου Γρεβενών,363,194,0,2,2,192,80,32,9,38,39,10,14,12,34,4,23,2,9,3,2,3,4,0,1,1,4,3,0,1,2,2,0,0,0,0,1,1,1,1,1,1,2,2,0,0,2,1,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0,0,1,1,1,0,6,3
17 - Γρεβενών,72 E.T. Δήμου Γρεβενών,360,187,0,0,0,187,81,43,5,28,36,20,1,6,23,0,18,2,16,5,2,5,6,2,2,1,1,0,0,0,2,2,1,1,0,0,0,0,5,2,3,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,1,1,0,1,0
17 - Γρεβενών,73 E.T. Δήμου Γρεβενών,185,81,0,0,0,81,47,34,5,6,15,5,6,4,9,0,8,0,2,1,0,1,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17 - Γρεβενών,74 E.T. Δήμου Γρεβενών,376,179,1,0,1,178,79,29,13,37,26,10,4,9,13,4,7,2,31,1,7,16,10,2,3,3,0,0,0,0,4,4,0,0,0,0,1,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,8,6
17 - Γρεβενών,75 E.T. Δήμου Γρεβενών,353,171,2,0,2,169,70,32,11,26,14,5,1,7,17,3,8,4,31,6,5,14,8,2,1,2,4,2,1,0,2,2,2,1,0,0,1,1,1,1,2,1,6,5,0,0,0,0,0,0,0,0,0,0,2,1,4,1,0,0,0,0,0,0,2,1,0,0,3,1
17 - Γρεβενών,76 E.T. Δήμου Γρεβενών,202,94,1,1,2,92,46,15,14,9,7,2,2,2,21,3,9,3,5,0,2,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0,0,0,1,1
17 - Γρεβενών,77 E.T. Δήμου Γρεβενών,284,127,1,0,1,126,61,32,4,25,21,5,3,10,9,1,4,4,12,1,4,4,6,3,1,0,4,2,1,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7,4
17 - Γρεβενών,78 E.T. Δήμου Γρεβενών,307,174,5,0,5,169,118,44,8,61,24,11,3,8,7,0,7,0,6,0,2,2,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,2
17 - Γρεβενών,79 E.T. Δήμου Γρεβενών,240,123,0,2,2,121,47,18,8,20,23,8,5,6,20,2,13,3,3,1,0,2,4,1,0,0,3,1,0,0,0,0,0,0,0,0,4,1,1,1,1,0,7,4,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,2,0,0,0,0,0
17 - Γρεβενών,80 E.T. Δήμου Γρεβενών,434,279,3,1,4,275,135,68,15,44,53,19,11,17,29,2,19,3,29,4,13,9,6,3,0,2,7,2,0,0,1,1,0,0,0,0,0,0,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,8,5
17 - Γρεβενών,81 E.T. Δήμου Γρεβενών,179,86,2,1,3,83,23,9,0,13,29,11,5,10,4,0,3,1,20,1,2,6,3,2,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0
17 - Γρεβενών,82 E.T. Δήμου Γρεβενών,112,51,2,0,2,49,22,3,8,11,7,0,2,5,9,0,9,0,3,0,1,1,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17 - Γρεβενών,83 E.T. Δήμου Γρεβενών,331,139,2,0,2,137,43,19,6,16,39,4,5,27,12,1,8,0,18,3,4,3,7,2,2,0,2,1,0,0,4,3,3,0,0,0,0,0,0,0,3,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
17 - Γρεβενών,84 E.T. Δήμου Γρεβενών,323,106,3,3,6,100,17,8,1,6,30,4,6,16,10,3,7,0,28,5,10,5,2,1,0,0,4,2,0,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
17 - Γρεβενών,85 E.T. Δήμου Γρεβενών,207,155,5,0,5,150,79,29,10,39,9,3,1,4,36,2,31,1,14,2,4,3,3,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1
17 - Γρεβενών,86 E.T. Δήμου Γρεβενών,263,130,0,0,0,130,58,33,2,21,36,13,2,18,18,0,14,2,3,1,1,1,3,1,1,1,4,2,0,0,1,1,0,0,0,0,0,0,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
17 - Γρεβενών,87 E.T. Δήμου Γρεβενών,393,217,1,1,2,215,85,52,9,18,49,7,7,29,26,2,20,1,23,1,6,8,7,4,1,0,5,1,1,0,1,1,1,0,1,0,1,1,1,1,3,1,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
17 - Γρεβενών,88 E.T. Δήμου Γρεβενών,152,106,2,1,3,103,43,24,5,13,32,7,8,13,14,0,13,1,1,0,0,0,2,0,0,2,4,3,0,0,1,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
17 - Γρεβενών,89 E.T. Δήμου Γρεβενών,258,142,2,0,2,140,79,30,18,25,39,4,3,31,9,0,5,0,4,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
17 - Γρεβενών,90 E.T. Δήμου Γρεβενών,103,44,0,0,0,44,25,11,0,14,4,1,0,3,8,0,7,0,3,0,1,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17 - Γρεβενών,91 E.T. Δήμου Γρεβενών,228,117,0,1,1,116,44,27,4,12,36,16,8,6,7,0,5,1,20,4,4,10,0,0,0,0,3,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
17 - Γρεβενών,92 E.T. Δήμου Γρεβενών,231,100,3,2,5,95,49,28,8,13,15,4,4,6,22,0,21,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
17 - Γρεβενών,93 E.T. Δήμου Γρεβενών,472,280,2,0,2,278,104,59,3,35,83,8,33,33,25,3,15,1,10,3,1,2,10,1,0,1,3,1,0,0,4,2,0,0,0,0,9,7,0,0,7,4,7,6,1,0,3,1,0,0,0,0,0,0,0,0,4,1,0,0,1,1,1,1,1,0,0,0,5,2
17 - Γρεβενών,94 E.T. Δήμου Γρεβενών,241,100,1,0,1,99,26,11,0,13,30,6,6,14,16,0,15,0,10,2,3,4,3,1,2,0,4,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,3,2
17 - Γρεβενών,95 E.T. Δήμου Γρεβενών,137,68,1,0,1,67,24,8,3,13,17,8,4,4,4,0,4,0,12,3,2,4,0,0,0,0,2,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,3,0,0,1,1,0,0,0,0,0,0,0,0
17 - Γρεβενών,96 E.T. Δήμου Γρεβενών,340,157,1,0,1,156,99,80,3,15,22,11,4,6,14,1,9,3,8,2,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,3,2
17 - Γρεβενών,97 E.T. Δήμου Γρεβενών,487,239,1,1,2,237,143,91,19,30,26,3,6,17,17,2,12,3,7,2,0,3,1,0,1,0,25,23,1,0,0,0,0,0,0,0,0,0,1,1,2,1,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
