ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΡΑΜΠΑΤΖΗ ΣΤΕΡΓΙΑΝΗ (ΣΤΕΛΛΑ) του Ιωάννη,ΒΕΣΥΡΟΠΟΥΛΟΣ ΑΠΟΣΤΟΛΟΣ του Φωτίου,ΓΟΥΛΤΙΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΜΠΑΡΤΖΩΚΑΣ ΑΝΑΣΤΑΣΙΟΣ του Στέργιου,ΤΟΥΠΕΚΤΣΗ ΜΑΓΔΑΛΗΝΗ (ΛΙΝΑ) του Παναγιώτη,ΤΣΑΒΔΑΡΙΔΗΣ ΛΑΖΑΡΟΣ του Γεωργίου,ΣΥΡΙΖΑ,ΓΙΩΤΑΚΗ ΦΑΝΗ του Πελοπίδα,ΚΑΡΑΣΑΡΛΙΔΟΥ ΕΥΦΡΟΣΥΝΗ (ΦΡΟΣΩ) του Γεωργίου,ΜΑΡΚΟΥΛΗΣ ΑΝΤΩΝΙΟΣ του Παντελή,ΣΑΡΑΝΤΗ ΒΑΡΒΑΡΑ του Αντωνίου,ΤΟΛΚΑΣ ΑΓΓΕΛΟΣ του Χαράλαμπου,ΤΣΑΠΑΡΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Ανδρέα,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΠΟΣΤΟΛΟΥ ΟΛΥΜΠΙΑ του Κωνσταντίνου,ΓΚΙΟΝΟΓΛΟΥ ΧΑΡΑΛΑΜΠΟΣ του Ηρακλή,ΔΕΛΛΑΣ ΑΘΑΝΑΣΙΟΣ (ΣΑΚΗΣ) του Ηλία,ΠΑΣΧΟΥ ΣΟΦΙΑ-ΘΕΟΔΩΡΑ του Αναστασίου,ΣΙΔΗΡΟΠΟΥΛΟΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΤΣΙΑΜΗΤΡΟΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,Κ.Κ.Ε.,ΖΩΓΡΑΦΟΥ ΟΛΓΑ του Αθανασίου,ΚΟΥΤΣΟΥΠΙΑΣ ΠΑΝΑΓΙΩΤΗΣ του Ταξιάρχη,ΜΑΝΤΣΙΟΣ ΝΙΚΟΛΑΟΣ του Γρηγορίου,ΤΑΜΠΑΚΗ ΙΩΑΝΝΑ του Ελευθερίου,ΤΣΑΝΑΞΙΔΗΣ ΙΩΑΝΝΗΣ του Αναστασίου,ΤΣΙΟΥΛΑΚΟΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΛΟΚΥΡΗΣ ΘΩΜΑΣ του Στέφανου,ΚΑΡΑΓΙΑΝΝΗ ΑΝΤΩΝΙΑ του Περικλή,ΚΟΤΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Στυλιανού,ΜΟΥΡΑΤΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Αναστασίου,ΜΠΑΝΤΩΛΑΣ ΑΠΟΣΤΟΛΟΣ - ΑΝΤΩΝΙΟΣ του Κωνσταντίνου,ΤΡΕΜΠΕΛΗ ΔΗΜΗΤΡΑ του Κωνσταντίνου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΔΟΞΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,ΚΑΡΑΝΙΚΟΛΑ ΣΤΕΛΛΑ του Ιωάννη,ΜΠΕΝΑΝΤΙΚΟΒΑ ΛΟΥΤΣΙΕ (ΛΟΥΚΙΑ) του Μίλαν,ΟΡΦΑΝΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Ελευθερίου,ΟΡΦΑΝΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλέξανδρου,ΣΑΡΗΓΙΑΝΝΙΔΗΣ ΣΑΒΒΑΣ του Δημητρίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΖΙΑΚΑΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΜΩΡΑΪΤΟΠΟΥΛΟΥ ΜΑΡΙΑ του Γεωργίου,Ο.Κ.Δ.Ε.,ΜΠΑΛΤΖΩΗ ΦΩΤΕΙΝΗ του Λάμπρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΗΛΩΡΙΔΗΣ ΙΩΑΝΝΗΣ του Βασιλείου,ΜΑΤΙΚΑΣ ΛΑΜΠΡΟΣ του Κυρίτση,ΜΑΥΡΟΠΟΥΛΟΥ ΜΑΡΙΝΑ του Ιωάννη,ΣΤΑΜΑΤΙΟΥ ΜΑΡΙΑ  του Ιωάννη,Κίνημα 21,ΘΩΜΑΣ ΑΡΓΥΡΙΟΣ του Κωνσταντίνου,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΚΟΝΤΟΓΙΑΝΝΙΔΗΣ ΠΑΥΛΟΣ του Χρήστου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΜΕΡΜΗΓΚΑΣ ΓΕΩΡΓΙΟΣ ΑΝΔΡΟΜΑΧΟΣ του Δημητρίου,ΡΗΓΑΝΕΖΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΤΑΤΑΡΙΔΟΥ ΕΥΓΕΝΙΑ του Ιωάννη,ΤΖΙΜΙΤΣΗ ΑΝΝΑ του Χριστοδούλου,ΝΙΚΗ,ΑΘΑΝΑΣΙΑΔΟΥ ΕΛΕΝΗ του Θεοδώρου,ΔΗΝΩΡΗΣ ΘΩΜΑΣ του Χρήστου,ΜΑΡΟΥΦΙΔΟΥ ΜΑΡΙΑ του Νικολάου,ΜΗΤΤΑΣ ΕΥΣΤΡΑΤΙΟΣ του Δημητρίου,ΠΕΤΙΚΟΠΟΥΛΟΥ ΑΘΗΝΑ του Γεωργίου,ΧΡΥΣΟΜΑΛΛΟΣ ΘΩΜΑΣ του Αντωνίου,κοινωνία αξιών,ΒΥΤΙΝΙΩΤΗΣ ΕΥΣΤΑΘΙΟΣ (ΣΤΑΘΗΣ) του Κωνσταντίνου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΔΗΜΗΤΡΙΑΔΗΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΙΩΑΝΝΙΔΗΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΜΑΔΕΝΛΗ ΠΑΡΘΕΝΑ του Αλέξανδρου,Ο.Α.Κ.Κ.Ε.,ΣΕΓΚΟΥ ΒΑΡΒΑΡΑ του Ματθαίου,Μ-Λ Κ.Κ.Ε.,ΧΑΤΖΗΘΕΟΔΩΡΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Μιχαήλ,Ελλήνων Συνέλευσις,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΤΣΑΠΑΡΙΔΟΥ ΧΡΙΣΤΙΝΑ του Γεωργίου,Ένωση Κεντρώων,ΑΚΕΨΩΜΑΪΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Εμμανουήλ,ΓΑΛΛΟΥ ΙΩΑΝΝΑ του Αδάμ,ΜΠΑΛΤΖΗΣ ΧΡΗΣΤΟΣ του Στέφανου,ΤΣΟΥΜΑ ΣΩΤΗΡΙΑ του Βασιλείου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΕΥΑΓΓΕΛΟΥ ΜΑΡΙΑ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΜΠΙΡΟΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΜΗΤΤΑ ΟΛΥΜΠΙΑ του Ηλία,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΕΛΕΥΘΕΡΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΠΕΤΡΟΥ ΓΕΩΡΓΙΑ του Θωμά,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΜΠΟΥΓΑΤΣΑΣ ΧΑΡΑΛΑΜΠΟΣ του Γεωργίου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΝΙΚΟΛΑΪΔΗΣ ΠΡΟΔΡΟΜΟΣ του Γρηγορίου,Οικολόγοι Πράσινοι,ΣΩΤΗΡΙΑΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Πολυχρόνη,ΕΑΝ...,ΣΑΚΛΑΣ ΞΕΝΟΚΡΑΤΗΣ του Γεωργίου,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΑΝΘΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σπυρίδων,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΑΔΟΛΑΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου,ΣΚΟΥΛΑΡΙΩΤΗ ΕΛΕΝΗ του Παναγιώτη
12 - Ημαθίας,163 E.T. Δήμου Βέροιας,525,327,7,2,9,318,139,10,73,8,49,13,56,45,5,7,19,7,12,11,47,12,9,6,5,11,24,14,5,1,2,6,7,0,28,6,10,13,5,3,7,4,1,1,1,2,0,2,2,2,0,0,0,0,0,0,0,0,0,2,2,2,2,4,0,0,2,3,14,6,3,4,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,1,0,0,0,1,0,0,0,2,1,10,3,6
12 - Ημαθίας,164 E.T. Δήμου Βέροιας,517,324,18,2,20,304,110,7,67,5,44,9,38,53,2,13,21,10,8,18,31,9,4,6,4,8,18,22,4,3,0,11,5,2,34,7,5,13,8,1,7,7,0,1,0,0,1,0,0,0,2,1,0,0,2,0,0,1,1,3,3,4,2,0,0,0,0,0,8,3,1,1,1,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,0,2,2,0,2,1,1,1,5,1,3,1,2,0,6,2,2
12 - Ημαθίας,165 E.T. Δήμου Βέροιας,525,319,9,3,12,307,107,7,51,9,50,12,49,61,5,13,22,7,11,19,38,8,2,9,4,9,27,27,6,1,1,13,10,4,17,7,5,9,3,2,2,8,2,4,1,3,1,2,1,1,0,0,0,0,0,0,0,0,0,4,3,4,4,1,0,0,0,0,16,8,6,2,3,1,6,0,0,3,0,2,2,0,0,1,1,0,0,0,2,1,0,1,0,1,0,3,2,0,0,5,4,4,1,0,0,0,3,2,0,0,0,0,4,3,2
12 - Ημαθίας,166 E.T. Δήμου Βέροιας,533,309,11,3,14,295,97,3,54,2,50,9,32,58,6,13,17,8,16,11,28,4,3,7,6,4,15,17,2,1,2,7,5,2,24,6,7,12,1,1,9,12,3,1,1,4,4,3,1,1,0,0,0,0,3,1,0,2,2,2,2,2,2,0,0,0,0,0,20,6,0,3,8,4,3,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,2,2,0,0,0,0,0,2,1,0,0,3,2,2,1,2,1,15,4,10
12 - Ημαθίας,167 E.T. Δήμου Βέροιας,533,300,8,3,11,289,110,8,65,2,41,18,49,50,8,15,11,14,8,17,39,6,3,5,3,6,27,17,3,2,0,8,9,2,24,6,7,10,6,1,6,5,1,2,1,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,1,2,16,8,3,4,4,3,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,3,0,0,5,4,5,0,0,0,0,2,1,0,0,0,0,7,3,5
12 - Ημαθίας,168 E.T. Δήμου Βέροιας,521,314,8,0,8,306,116,15,68,5,43,15,38,51,7,8,18,13,5,21,41,6,5,4,3,7,23,22,7,5,1,11,10,2,17,6,3,3,1,2,5,7,2,3,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,6,4,3,3,4,2,0,2,1,8,3,3,3,1,1,1,0,0,3,0,2,2,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,2,2,2,1,1,0,0,0,0,3,3,1,1,1,1,14,9,11
12 - Ημαθίας,169 E.T. Δήμου Βέροιας,538,317,10,4,14,303,102,1,62,8,38,6,35,54,9,16,19,15,2,13,43,8,3,8,7,6,26,24,8,4,0,16,9,0,25,6,4,14,5,0,2,7,1,3,0,3,1,2,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,6,3,1,0,0,15,3,1,3,2,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,4,3,1,1,2,2,2,2,0,0,11,3,7
12 - Ημαθίας,170 E.T. Δήμου Βέροιας,538,306,6,1,7,299,117,5,61,9,73,16,50,52,10,12,17,14,12,14,23,6,5,6,5,7,9,25,5,3,2,9,8,1,26,8,8,9,7,1,4,6,3,2,0,3,1,1,3,2,0,0,0,0,4,2,1,1,2,3,2,5,5,1,1,1,0,0,9,4,1,3,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,1,3,1,1,1,1,1,4,1,0,0,12,9,11
12 - Ημαθίας,171 E.T. Δήμου Βέροιας,534,308,1,10,11,297,110,9,64,3,38,11,50,54,4,12,24,19,9,16,33,9,3,3,1,10,18,15,3,2,1,8,9,0,24,12,6,11,4,0,1,11,4,3,0,0,3,2,1,0,1,0,0,0,1,0,1,1,0,4,2,0,0,1,1,1,0,0,16,7,3,2,2,3,1,2,2,3,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,3,3,3,1,1,1,1,0,0,1,0,9,5,6
12 - Ημαθίας,172 E.T. Δήμου Βέροιας,531,311,12,0,12,299,109,7,52,7,32,13,46,74,6,9,22,17,23,13,25,2,1,6,1,6,11,19,7,3,4,9,7,2,20,6,3,10,2,1,3,3,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,4,2,6,2,0,1,2,13,3,3,6,6,2,5,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,3,2,1,0,0,1,1,3,1,0,0,3,1,9,2,3
12 - Ημαθίας,173 E.T. Δήμου Βέροιας,545,337,6,0,6,331,128,6,81,3,45,18,50,57,12,11,20,14,13,15,36,7,0,11,7,8,18,23,3,3,1,12,8,1,22,7,3,7,1,2,3,8,0,4,1,0,0,3,0,0,0,0,0,0,2,1,0,1,0,3,2,3,2,4,0,0,4,0,8,3,2,2,1,4,1,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,1,0,9,7,1,0,2,1,0,3,1,0,0,4,2,1,0,1,0,12,3,5
12 - Ημαθίας,174 E.T. Δήμου Βέροιας,547,346,11,1,12,334,112,4,57,5,49,15,48,73,7,17,24,34,11,15,35,4,4,7,2,7,15,24,2,2,4,11,8,1,17,8,3,7,1,2,3,4,0,0,1,2,1,0,4,3,1,1,1,1,4,1,0,1,2,3,2,3,1,2,0,1,2,0,16,6,6,3,3,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,2,0,0,5,4,0,0,4,4,3,2,2,0,0,3,1,1,1,1,0,16,10,11
12 - Ημαθίας,175 E.T. Δήμου Βέροιας,514,282,8,2,10,272,97,6,54,11,37,7,37,59,8,11,23,13,16,13,28,2,6,3,3,4,14,11,5,1,1,5,2,0,21,9,2,7,3,1,5,9,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,2,0,0,1,18,6,4,1,6,6,4,1,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,2,1,1,0,0,0,1,0,2,2,1,0,9,2,7
12 - Ημαθίας,176 E.T. Δήμου Βέροιας,165,87,0,0,0,87,28,3,11,4,11,0,18,20,0,1,6,3,15,1,10,1,0,2,3,2,4,6,0,1,0,2,2,0,12,2,2,10,3,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,2,2
12 - Ημαθίας,177 E.T. Δήμου Βέροιας,168,125,1,1,2,123,49,4,18,12,25,1,18,22,2,6,8,9,7,2,4,1,0,0,0,0,3,1,0,0,0,0,0,0,20,0,0,13,1,0,10,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,12,5,6,3,1,0,3,0,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,1,1,0,0,0,0,0,0,0,1,0,2,2,0,0,1,1,0
12 - Ημαθίας,178 E.T. Δήμου Βέροιας,464,292,17,1,18,274,96,5,56,2,41,9,43,41,9,9,22,5,6,11,35,8,6,12,5,13,12,9,3,2,0,2,2,1,36,13,19,8,6,4,8,4,1,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,1,6,6,1,1,2,0,0,1,0,10,7,1,2,2,3,0,0,0,0,0,0,0,0,0,0,0,10,10,0,3,0,2,1,2,1,1,3,1,1,1,1,1,1,0,0,4,3,3,2,1,1,0,0,5,2,3
12 - Ημαθίας,179 E.T. Δήμου Βέροιας,476,319,11,1,12,307,109,4,71,8,37,4,52,56,3,16,23,19,12,20,48,8,16,20,6,7,14,12,7,3,0,3,1,1,25,15,6,9,0,3,7,3,2,2,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,5,4,5,1,0,2,1,5,3,1,2,2,0,1,0,0,1,1,1,0,0,0,1,1,7,7,1,2,1,0,1,0,0,0,9,4,0,0,0,0,0,5,2,0,0,0,0,1,1,1,0,9,7,8
12 - Ημαθίας,180 E.T. Δήμου Βέροιας,192,133,1,0,1,132,50,1,14,0,19,3,32,12,2,3,3,1,4,5,11,4,1,3,0,2,5,0,0,0,0,0,0,0,23,10,3,4,3,3,7,3,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,10,5,0,0,1,1,3,0,0,1,1,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,9,1,1
12 - Ημαθίας,181 E.T. Δήμου Βέροιας,579,422,14,1,15,407,203,8,81,13,104,16,110,46,6,6,30,9,2,12,28,5,1,11,3,5,14,18,0,1,0,3,10,3,59,16,8,23,1,1,18,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,1,0,0,1,1,25,13,6,4,5,10,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,3,2,0,0,9,1,6
12 - Ημαθίας,182 E.T. Δήμου Βέροιας,422,289,2,2,4,285,80,5,58,2,23,13,38,91,14,11,54,24,14,30,29,3,5,1,4,15,21,32,11,9,0,8,11,2,15,5,1,6,8,0,1,7,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,2,1,1,1,0,0,3,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,11,8,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,5,2,4
12 - Ημαθίας,183 E.T. Δήμου Βέροιας,109,62,1,0,1,61,15,0,10,1,5,1,7,14,5,5,4,8,2,2,6,4,0,0,0,0,6,11,5,1,1,9,4,0,6,0,2,2,1,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3
12 - Ημαθίας,184 E.T. Δήμου Βέροιας,222,141,4,0,4,137,51,7,20,2,14,5,31,23,4,5,4,3,4,8,22,4,5,1,2,8,14,13,4,2,3,4,6,1,6,0,0,4,3,1,0,5,0,4,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,2,1,0,1,1,4,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1
12 - Ημαθίας,185 E.T. Δήμου Βέροιας,153,112,1,2,3,109,42,3,30,5,7,1,21,7,1,1,2,1,3,1,19,6,5,3,1,2,14,13,0,1,0,3,5,0,6,3,1,3,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,9,3,0,4,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,3
12 - Ημαθίας,186 E.T. Δήμου Βέροιας,429,294,3,1,4,290,123,5,80,4,50,9,59,60,5,13,19,7,14,30,34,6,3,4,6,4,15,13,5,2,0,8,6,1,16,7,7,6,1,3,5,4,0,2,3,1,0,0,0,0,0,0,0,0,2,0,1,2,1,5,4,1,1,4,0,1,0,0,9,3,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,4,2,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,10,6,6
12 - Ημαθίας,187 E.T. Δήμου Βέροιας,416,290,1,1,2,288,137,13,89,7,59,7,45,54,7,10,21,10,18,23,24,5,0,3,7,2,18,12,3,1,2,7,3,0,21,5,5,10,4,4,2,4,0,2,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,1,0,1,7,1,3,3,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,2,3,1,0,0,4,2,0,0,1,0,1,3,1,1,1,0,0,0,0,1,0,8,5,3
12 - Ημαθίας,188 E.T. Δήμου Βέροιας,424,267,5,0,5,262,140,7,102,6,54,9,53,45,10,5,10,16,13,14,28,9,2,3,3,0,20,5,1,0,0,3,1,0,12,5,2,3,1,1,3,7,2,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,2,1,3,1,4,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,4,3,1,0,0,0,5,1,2
12 - Ημαθίας,189 E.T. Δήμου Βέροιας,414,278,5,0,5,273,121,9,69,6,55,11,45,54,12,13,18,14,10,16,26,9,0,4,2,6,19,19,6,8,1,10,4,1,13,2,4,7,0,0,1,5,0,3,0,2,0,1,1,1,1,0,0,0,2,0,1,0,1,1,0,2,1,1,0,0,0,0,8,5,3,1,2,1,4,0,0,2,0,1,1,0,0,1,1,0,0,0,2,1,1,0,0,1,1,2,1,1,0,1,1,1,1,0,0,0,2,1,1,1,0,0,5,3,0
12 - Ημαθίας,190 E.T. Δήμου Βέροιας,418,281,0,1,1,280,117,7,62,8,51,8,44,42,2,8,16,5,11,21,74,6,4,9,6,9,65,7,0,0,2,5,2,0,6,4,1,2,2,0,0,5,3,2,0,1,1,1,1,0,0,0,1,0,1,1,0,0,0,2,0,2,2,3,1,0,0,0,8,1,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,0,0,2,1,2,0,0,0,0,1,0,0,0,0,0,4,2,3
12 - Ημαθίας,191 E.T. Δήμου Βέροιας,355,254,7,3,10,244,99,3,59,14,30,15,54,20,0,2,9,4,6,3,29,3,3,2,10,3,21,24,5,4,1,12,8,4,18,4,1,13,2,1,3,5,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,6,2,4,2,3,0,0,0,0,19,7,1,2,0,3,4,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,1,1,0,0,5,1,2
12 - Ημαθίας,192 E.T. Δήμου Βέροιας,360,250,3,1,4,246,137,4,84,7,48,8,77,31,3,5,9,12,4,9,28,5,3,5,3,4,20,12,3,1,1,6,7,0,17,3,2,12,2,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,1,7,4,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1,1,2,2,0,0,1,1,0,0,0,0,2,0,1
12 - Ημαθίας,193 E.T. Δήμου Βέροιας,453,309,4,3,7,302,106,6,53,10,26,8,58,72,3,18,42,11,11,12,29,9,3,3,4,9,13,25,6,3,0,18,12,3,22,6,6,8,3,1,7,10,1,7,1,4,2,0,0,0,0,0,0,0,1,0,0,1,1,2,2,1,1,1,0,0,1,0,12,5,2,2,0,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,2,0,0,2,2,0,1,0,1,0,2,0,1,1,1,1,9,6,7
12 - Ημαθίας,194 E.T. Δήμου Βέροιας,439,303,7,1,8,295,127,5,83,6,35,12,66,50,1,7,30,8,4,12,26,8,8,4,2,7,9,25,7,3,2,6,8,2,22,9,6,7,3,2,2,6,2,5,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,5,3,3,1,1,0,0,15,2,2,4,1,7,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,2,1,3,3,2
12 - Ημαθίας,195 E.T. Δήμου Βέροιας,484,307,8,2,10,297,111,17,60,2,30,14,51,59,9,9,19,15,22,10,41,13,2,8,11,17,9,6,5,2,1,1,0,0,34,8,5,15,2,1,4,2,1,0,0,0,0,1,2,2,0,0,0,0,1,0,0,1,0,1,0,4,1,4,2,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,2,5,3,0,0,1,0,0,3,2,1,1,1,1,5,5,2,0,7,3,5
12 - Ημαθίας,196 E.T. Δήμου Βέροιας,488,302,9,1,10,292,131,22,57,8,36,13,66,54,9,8,9,14,27,5,37,6,6,8,9,11,13,8,3,3,0,3,2,2,29,9,4,4,4,0,7,4,1,1,1,2,0,1,2,2,0,0,1,0,2,0,0,0,1,2,0,1,1,3,1,1,1,1,7,4,0,2,2,2,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,3,2,1,1,0,0,1,1,0,0,0,0,0,2,1,0,0,0,0,1,0,1
12 - Ημαθίας,197 E.T. Δήμου Βέροιας,433,317,5,3,8,309,109,5,81,6,18,5,60,72,1,14,25,26,35,10,47,12,12,10,2,26,9,11,0,2,1,4,2,1,24,5,1,6,3,3,13,5,0,0,0,2,1,2,2,1,0,0,0,0,0,0,0,0,0,2,2,1,1,2,1,0,1,0,14,8,2,2,6,4,4,1,1,4,1,3,3,0,0,0,0,0,0,0,2,1,1,0,2,1,0,1,1,0,0,0,0,0,0,0,2,2,2,1,2,2,0,0,5,4,4
