ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΚΑΝΕΛΛΟΣ ΣΤΥΛΙΑΝΟΣ του Ευαγγέλου,ΚΟΤΡΩΝΙΑΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΜΑΚΡΗ-ΘΕΟΔΩΡΟΥ ΕΛΕΝΗ του Ευαγγέλου,ΟΙΚΟΝΟΜΟΥ ΙΩΑΝΝΗΣ (ΓΙΑΝΝΗΣ) του Δημητρίου,ΣΙΜΟΥ-ΠΑΛΑΙΟΛΟΓΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Ηλία,ΣΤΑΪΚΟΥΡΑΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΣΥΡΙΖΑ,ΓΙΑΒΡΗ ΠΑΡΑΣΚΕΥΗ του Θεοφάνη,ΚΑΡΑΦΕΡΗ ΑΡΓΥΡΩ του Νικολάου,ΛΑΖΟΥ ΒΑΣΙΛΙΚΗ του Ανδρέα,ΛΟΥΚΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Χρήστου,ΠΑΠΟΥΤΣΑΣ ΝΙΚΟΛΑΟΣ του Ευάγγελου,ΣΑΡΑΚΙΩΤΗΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΑΝΤΕΡΡΙΩΤΗ ΚΩΝΣΤΑΝΤΙΑ του Παναγιώτη,ΒΕΝΤΟΥΡΗ - ΝΑΣΟΠΟΥΛΟΥ ΑΛΕΞΑΝΔΡΑ του Κωνσταντίνου -Βασιλείου,ΜΑΣΤΡΟΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ του Δημητρίου,ΜΠΕΤΣΙΟΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΠΑΠΑΓΟΡΑΣ ΑΝΤΩΝΙΟΣ του Αθανασίου,ΤΣΩΝΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,Κ.Κ.Ε.,ΚΟΥΤΣΟΥΜΠΑΣ ΔΗΜΗΤΡΙΟΣ του Αποστόλου,ΓΕΡΟΚΟΥΔΗ ΔΗΜΗΤΡΑ του Αθανασίου,ΜΠΑΣΔΕΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΜΠΑΦΟΥΤΣΟΥ ΑΝΤΡΙΑΝΑ του Γεωργίου,ΠΑΣΟΥΛΑΣ ΧΡΙΣΤΟΣ του Γεωργίου,ΠΟΛΙΤΗΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΝΤΖΟΛΟΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΒΟΥΡΛΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΔΗΜΗΤΡΑΝΤΖΟΥ ΒΑΣΙΛΙΚΗ του Κωνσταντίνου,ΛΑΪΛΑΚΙΔΟΥ ΕΛΠΙΣ του Λαζάρου,ΜΠΟΧΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θωμά,ΜΥΛΩΝΑΚΗΣ ΣΤΕΡΓΙΟΣ του Μιχαήλ,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΚΟΤΖΑΜΑΝΗΣ ΔΟΝΑΤΟΣ του Οδυσσέα,ΚΟΤΡΩΝΗΣ ΙΩΑΝΝΗΣ του Χρήστου,ΡΑΜΜΟΥ ΔΕΣΠΟΙΝΑ του Αθανασίου,ΤΣΑΚΑΛΟΥ ΑΡΓΥΡΟΥΛΑ (ΥΡΩ) του Ιωάννη,ΤΣΙΡΩΝΗΣ ΜΙΛΤΙΑΔΗΣ του Ιωάννη,ΦΥΣΟΛΟΗΣ ΑΝΑΣΤΑΣΙΟΣ-ΣΤΥΛΙΑΝΟΣ του Γεωργίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΛΑΟΥΤΑΡΗΣ ΝΙΚΟΛΑΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΒΕΡΟΥΣΗ ΣΟΦΙΑ του Γεωργίου,ΓΑΛΑΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΚΤΕΝΑ ΣΜΑΡΩ του Αθανασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΥΛΑΚΙΩΤΗΣ ΑΠΟΣΤΟΛΟΣ του Ιωάννη,ΔΑΡΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΖΟΥΜΠΟΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΜΕΛΕΤΗ ΧΡΥΣΑΝΘΗ του Αλεξάνδρου,ΜΕΛΛΙΟΣ ΙΩΑΝΝΗΣ του Φωτίου,ΤΖΙΟΥΒΑΡΑ ΟΛΥΜΠΙΑ ΠΑΡΑΣΚΕΥΗ του Κωνσταντίνου,Κίνημα 21,ΖΑΧΑΡΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΚΙΝΗΜΑ ΦΤΩΧΩΝ ΕΛΛΑΔΟΣ,ΤΣΙΤΟΥΡΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΚΩΝΣΤΑΝΤΙΝΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Βασιλείου,ΜΑΡΑΝΔΙΑΝΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΠΑΛΑΙΟΛΟΓΟΥ ΜΑΡΙΑ του Λάμπρου,ΣΙΟΥΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΝΙΚΗ,ΔΕΔΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευάγγελου,ΚΑΡΑΤΖΑ ΟΛΓΑ του Πέτρου,ΤΥΡΜΠΑ ΕΥΓΕΝΙΑ του Γεωργίου,ΦΑΚΟΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννου,κοινωνία αξιών,ΚΑΛΛΙΩΡΑΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΠΟΥΡΣΑΙΤΙΔΗΣ ΠΕΡΙΚΛΗΣ του Χαράλαμπου,ΣΙΨΗ ΕΥΣΤΑΘΙΑ του Δημητρίου,Ο.Α.Κ.Κ.Ε.,ΠΟΛΥΔΕΥΚΗΣ ΙΩΑΝΝΗΣ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΚΑΡΑΜΗΤΣΟΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΚΥΒΩΤΙΔΟΥ ΔΟΜΝΙΚΗ του Παναγιώτη,ΤΑΓΚΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Στεργίου,Ένωση Κεντρώων,ΚΑΡΑΒΕΛΟΥ ΑΡΓΥΡΟΥΛΑ του Ευθυμίου,ΣΑΒΒΙΔΗΣ - ΒΑΣΙΛΕΙΑΔΗΣ ΛΑΖΑΡΟΣ του Ευστάθιου,ΧΛΙΑΠΑ ΜΑΡΙΑ του Παναγιώτη,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΤΣΑΟΥΝΗΣ ΣΤΑΥΡΟΣ του Κωνσταντίνου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΚΑΡΑΣΑΝΤΕΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΟΥΣΤΑΚΑ ΑΙΚΑΤΕΡΙΝΗ του Βασιλείου,ΠΑΝΟΥ ΧΡΗΣΤΟΣ του Ευσταθίου,ΦΥΚΑ ΦΡΕΙΔΕΡΙΚΗ του Κωνσταντίνου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΝΑΓΙΩΤΑΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Σπυρίδωνος,ΕΛΕΥΘΕΡΟΙ ΞΑΝΑ,ΖΗΣΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΜΑΓΚΛΑΡΑ ΕΥΘΑΛΙΑ του Νικολάου,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΒΑΣΙΚΩΣΤΑΣ ΧΡΗΣΤΟΣ του Αθανασίου,Οικολόγοι Πράσινοι,ΑΔΑΜΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΚΑΡΑΠΑ ΑΝΝΑ του Κωνσταντίνου,ΣΚΑΜΑΓΚΟΣ ΘΕΟΔΩΡΟΣ του Μιχαήλ,ΕΑΝ...,ΛΕΜΟΝΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΕΝΟΤΗΤΑ - ΑΛΗΘΕΙΑ ΕΝ.Α,ΛΕΒΕΝΤΗ ΕΛΕΝΗ του Κωνσταντίνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΑΛΕΞΙΟΥ ΑΝΑΡΓΥΡΟΣ του Αλεξάνδρου,ΑΝΑΣΤΑΣΙΟΥ ΔΗΜΗΤΡΑ του Βασιλείου,ΘΕΟΦΑΝΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Κοσμά,ΛΙΘΑΔΙΩΤΟΥ ΑΙΚΑΤΕΡΙΝΗ του Ιωάννη,ΜΙΧΑΣ ΑΝΤΩΝΙΟΣ του Κωνσταντίνου,ΧΟΝΔΡΟΣ ΠΑΝΑΓΙΩΤΗΣ του Γεωργίου
33 - Φθιώτιδας,125 E.T. Δήμου Λαμιέων,548,400,13,2,15,385,166,14,45,18,80,4,101,87,4,10,16,20,14,52,46,3,7,6,16,4,24,12,0,1,5,1,1,3,15,3,5,6,1,0,5,6,2,1,2,2,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,3,2,1,1,0,13,3,8,7,4,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,3,2,3,1,1,0,0,0,0,1,0,3,3,1,1,6,3,3,1,0,0,0,0,10,1,5,3,2,1,0
33 - Φθιώτιδας,126 E.T. Δήμου Λαμιέων,532,363,5,3,8,355,136,9,43,14,64,4,78,76,9,6,21,14,14,41,34,3,10,0,14,5,20,23,0,5,7,2,2,0,18,8,7,1,2,1,2,15,3,2,1,2,6,3,0,0,0,0,0,0,0,2,0,0,0,1,0,1,3,2,2,1,3,2,2,1,0,13,5,6,4,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,8,4,4,0,1,0,0,3,3,4,3,0,0,6,1,2,1,0,0,0,0,7,2,2,1,2,1,2
33 - Φθιώτιδας,127 E.T. Δήμου Λαμιέων,536,368,3,1,4,364,147,9,28,23,76,2,88,94,8,11,21,16,18,59,35,3,8,7,10,3,22,26,0,3,6,3,0,3,13,6,4,6,2,0,5,16,3,0,2,3,5,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,4,1,2,2,6,3,3,1,0,5,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,2,1,1,0,2,2,0,0,3,0,2,0,1,0,1
33 - Φθιώτιδας,128 E.T. Δήμου Λαμιέων,549,358,14,4,18,340,128,12,43,14,56,1,73,88,7,4,27,26,19,56,47,8,13,12,17,6,17,27,0,3,7,4,0,4,12,3,4,3,3,2,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,2,1,1,0,0,0,0,1,1,3,3,4,1,2,1,0,10,0,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,8,1,2,3,3,1,0
33 - Φθιώτιδας,129 E.T. Δήμου Λαμιέων,526,361,3,2,5,356,162,8,38,12,91,2,97,76,3,6,12,16,23,41,34,5,4,3,13,6,21,23,0,8,7,3,1,0,12,5,6,0,1,1,1,4,0,0,0,0,2,3,5,5,0,0,0,0,0,2,0,0,0,0,0,0,3,3,4,4,3,1,1,1,0,13,3,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,2,1,1,1,1,1,0,0,0,0,0,0,6,0,3,1,0,0,0,0,3,0,0,0,0,0,0
33 - Φθιώτιδας,130 E.T. Δήμου Λαμιέων,538,362,7,4,11,351,159,13,45,20,82,3,87,64,5,9,24,5,14,39,21,7,5,1,5,0,13,21,0,3,4,1,0,2,17,9,2,2,3,0,2,12,8,2,1,4,2,1,6,2,1,0,0,0,0,4,0,1,1,0,1,0,0,0,5,4,6,0,1,0,0,8,4,4,3,1,1,1,1,1,0,1,1,1,1,1,0,1,3,1,0,1,1,1,3,0,0,1,0,1,1,1,1,0,0,0,0,2,0,1,0,1,0,4,2,6,2,1,0,1,0,0
33 - Φθιώτιδας,131 E.T. Δήμου Λαμιέων,546,377,7,2,9,368,162,11,37,14,76,1,112,68,4,7,14,24,10,50,34,3,5,4,12,3,13,27,0,6,10,2,2,2,17,10,4,3,0,2,3,8,3,0,0,0,0,1,3,2,0,0,0,1,0,4,0,0,2,0,0,2,1,0,3,2,1,0,0,1,1,16,8,8,6,6,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,5,1,0,3,2,1,1,2,2,4,3,0,0,3,2,2,0,0,0,0,0,5,1,1,0,0,0,0
33 - Φθιώτιδας,132 E.T. Δήμου Λαμιέων,538,377,5,0,5,372,179,23,37,16,102,3,89,72,3,4,20,15,12,47,34,2,7,5,12,5,20,19,0,2,8,3,0,2,15,7,4,6,3,0,1,6,1,0,0,1,2,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,3,3,3,2,1,2,0,16,7,5,6,3,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0,5,3,3,0,2,0,0,1,0,1,1,0,0,6,0,4,0,0,0,0,0,8,5,2,0,1,1,0
33 - Φθιώτιδας,133 E.T. Δήμου Λαμιέων,503,347,7,2,9,338,139,5,43,19,73,5,78,70,2,2,10,17,15,41,34,7,4,7,10,4,16,19,0,5,5,2,3,1,12,3,2,3,1,2,3,9,3,2,3,3,2,3,3,3,2,0,1,0,0,3,2,0,1,0,0,0,3,1,4,3,2,1,1,0,0,18,3,4,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,3,1,2,1,0,0,0,0,0,4,0,0,0,4,2,2,3,0,0,1,0,7,2,2,0,1,2,2
33 - Φθιώτιδας,134 E.T. Δήμου Λαμιέων,570,387,11,4,15,372,137,5,35,14,74,4,86,97,4,12,25,13,15,64,45,8,6,9,18,5,20,22,0,5,7,4,0,3,16,6,4,7,1,2,4,9,1,0,4,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,2,4,1,0,1,1,8,3,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,1,1,1,1,0,0,0,0,4,2,2,0,2,2,2,1,15,5,4,3,2,2,3
33 - Φθιώτιδας,135 E.T. Δήμου Λαμιέων,550,275,6,3,9,266,83,6,21,8,41,1,48,80,5,22,24,7,11,29,27,1,8,2,5,1,18,26,0,5,15,5,3,2,9,3,2,3,0,0,1,9,3,0,0,0,0,1,2,2,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,2,1,1,0,0,5,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,1,0,0,0,0,0,0,0,0,4,3,2,1,0,0,1,0,0,0,2,1,1,0,6,1,0,1,1,0,0
33 - Φθιώτιδας,136 E.T. Δήμου Λαμιέων,554,320,12,3,15,305,114,21,41,8,58,2,55,74,3,9,16,19,9,42,21,2,5,0,6,0,9,21,0,1,12,5,0,5,18,5,4,8,0,1,0,7,1,0,1,0,1,0,3,3,1,1,1,0,0,1,0,0,0,0,0,0,3,0,5,3,3,1,1,1,2,12,3,4,6,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,2,2,0,0,1,1,1,1,1,1,2,1,0,0,4,0,1,0,0,0,0,0,8,3,4,1,4,0,1
33 - Φθιώτιδας,137 E.T. Δήμου Λαμιέων,549,326,2,1,3,323,129,12,38,12,53,7,85,78,5,9,23,17,17,47,41,6,11,10,15,4,18,11,0,3,4,3,1,1,12,3,0,3,2,2,4,16,2,1,4,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,6,4,2,2,1,2,0,0,4,2,3,2,1,1,1,0,0,0,1,1,0,0,0,0,0,3,2,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,2,1,1,0,0,0,1,0,7,1,1,1,3,1,0
33 - Φθιώτιδας,138 E.T. Δήμου Λαμιέων,547,338,8,3,11,327,129,12,43,15,57,3,70,78,2,13,15,16,9,49,26,4,4,4,10,0,13,24,0,6,9,2,1,2,17,9,9,4,2,0,7,9,2,1,5,0,2,0,2,1,0,0,0,0,0,4,1,1,0,0,1,1,4,2,1,1,3,3,1,0,1,10,5,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,3,1,0,0,1,0,0,3,2,1,1,0,0,3,2,2,0,1,1,2,2,4,1,1,0,0,0,0
33 - Φθιώτιδας,139 E.T. Δήμου Λαμιέων,544,335,9,1,10,325,151,13,37,21,75,7,88,70,6,6,16,14,11,45,33,2,13,6,8,2,15,24,0,2,8,1,0,2,12,3,2,2,1,2,2,8,2,1,0,1,2,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,10,1,1,2,5,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,3,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,4,0,3,1,1,0,1
33 - Φθιώτιδας,140 E.T. Δήμου Λαμιέων,561,343,4,0,4,339,152,14,40,15,80,1,97,76,3,6,22,17,15,52,28,6,4,5,9,3,17,24,0,2,9,4,0,5,8,5,1,2,0,0,1,10,6,2,2,1,4,2,2,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,3,2,0,0,0,0,0,12,3,4,4,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,4,1,1,1,0,0,0,0,0,2,1,0,0,5,2,1,0,0,0,0,0,7,0,1,2,2,1,0
33 - Φθιώτιδας,141 E.T. Δήμου Λαμιέων,544,288,9,2,11,277,103,11,27,5,50,3,58,76,4,19,13,5,12,40,29,1,7,6,6,2,16,18,0,2,5,0,0,1,11,3,1,3,1,1,3,8,5,0,3,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,3,2,3,2,1,1,0,5,1,2,2,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,3,3,0,0,10,1,4,3,0,1,0
33 - Φθιώτιδας,142 E.T. Δήμου Λαμιέων,525,319,10,3,13,306,125,5,28,12,64,4,65,77,2,23,11,7,10,49,23,5,4,3,4,2,13,16,0,1,5,1,0,0,19,4,2,5,1,1,1,7,0,1,1,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,3,2,0,0,0,0,0,11,2,7,7,1,1,1,1,0,0,0,0,0,0,2,2,2,0,0,0,0,0,0,4,3,0,2,0,0,0,1,0,1,0,1,1,2,1,0,0,1,1,0,0,7,1,3,1,2,1,0
33 - Φθιώτιδας,143 E.T. Δήμου Λαμιέων,453,255,11,0,11,244,90,6,24,8,44,3,56,64,6,13,15,14,10,40,24,0,3,6,7,1,8,14,0,6,9,1,1,2,14,5,3,3,0,0,1,3,2,0,2,1,0,0,3,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,8,4,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,5,3,0,0,0,0,0,0,1,1,1,0,0,0,3,3,0,1,1,1,0,0,6,1,3,1,1,0,0
33 - Φθιώτιδας,144 E.T. Δήμου Λαμιέων,451,291,8,0,8,283,96,5,28,13,49,3,51,75,4,11,11,13,10,58,32,1,10,4,9,5,12,22,0,5,13,0,0,8,13,6,2,4,3,2,3,5,1,1,1,3,1,0,2,1,0,0,0,0,0,3,0,0,0,0,0,3,3,2,4,3,1,0,1,1,0,7,5,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,3,0,2,0,2,0,0,0,0,0,0,2,0,5,0,3,1,0,0,0,0,8,4,5,2,1,2,0
33 - Φθιώτιδας,145 E.T. Δήμου Λαμιέων,456,284,9,2,11,273,103,3,24,10,48,7,62,69,2,14,10,10,11,46,27,6,6,1,14,2,12,13,0,3,6,0,0,4,20,7,4,8,3,2,2,11,3,0,3,6,1,1,5,4,0,0,0,0,0,3,0,1,0,1,0,2,0,0,0,0,4,0,3,0,0,6,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,3,0,2,2,1,1,0,0,3,1,2,0,2,0,0
33 - Φθιώτιδας,146 E.T. Δήμου Λαμιέων,449,263,8,4,12,251,98,3,35,10,33,1,60,58,5,10,19,13,9,33,17,0,1,5,4,0,9,14,0,1,6,2,0,4,19,7,6,5,5,2,4,7,3,0,1,2,2,1,7,7,2,1,0,0,0,2,0,0,0,1,0,2,0,0,0,0,2,0,1,0,1,4,2,1,1,2,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,1,0,0,4,1,2,0,2,1,0,0,7,3,4,0,1,0,0
33 - Φθιώτιδας,147 E.T. Δήμου Λαμιέων,522,385,12,2,14,371,143,11,43,23,65,5,88,78,7,7,16,19,8,66,47,8,13,8,13,4,27,26,0,12,14,1,0,0,14,6,4,4,0,4,2,7,2,1,2,0,2,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,1,0,1,2,16,5,6,8,5,2,2,0,0,0,0,0,1,1,1,1,0,3,2,2,0,1,0,3,1,0,0,1,0,0,1,0,2,2,1,1,1,1,1,0,3,2,3,1,5,2,3,1,0,0,0
33 - Φθιώτιδας,148 E.T. Δήμου Λαμιέων,517,357,9,2,11,346,136,8,38,33,71,1,77,69,4,2,15,21,9,43,50,9,15,15,7,5,25,29,0,15,9,2,3,1,12,3,3,5,1,1,2,4,1,2,1,0,1,2,7,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,12,6,5,2,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,5,1,0,1,2,1,1,2,1,0,0,0,0,5,4,2,0,2,1,0,0,6,1,1,2,1,1,0
33 - Φθιώτιδας,149 E.T. Δήμου Λαμιέων,526,374,8,3,11,363,148,12,42,29,71,2,76,80,7,12,24,15,13,50,33,3,9,6,4,3,16,27,0,14,6,2,4,1,14,5,2,3,2,0,3,14,6,2,3,1,4,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,3,3,2,2,0,0,0,0,0,8,3,2,5,3,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,4,3,3,1,1,0,0,7,7,2,2,0,0,5,1,1,0,0,0,0,0,9,3,1,4,1,2,2
33 - Φθιώτιδας,150 E.T. Δήμου Λαμιέων,512,373,6,3,9,364,147,12,37,20,69,4,85,91,2,7,24,19,14,69,32,5,5,3,9,1,17,9,0,5,2,0,0,0,17,4,6,5,4,1,4,10,4,4,3,2,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,5,4,1,1,2,0,0,1,1,15,6,3,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,2,1,0,2,1,1,0,2,2,4,1,2,1,1,0,3,2,12,3,3,5,0,3,0
33 - Φθιώτιδας,151 E.T. Δήμου Λαμιέων,525,378,8,4,12,366,143,6,49,22,69,2,88,87,3,4,28,12,16,63,36,3,12,5,7,3,16,28,0,9,5,3,1,2,26,13,3,6,5,1,6,10,4,1,5,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,5,2,0,2,1,0,6,1,1,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,2,5,5,0,0,3,1,1,0,1,0,0,0,7,1,1,4,2,1,0
33 - Φθιώτιδας,152 E.T. Δήμου Λαμιέων,519,377,8,3,11,366,132,9,33,20,50,6,90,91,2,5,27,24,12,72,33,7,7,6,9,2,15,34,0,11,16,4,4,4,18,3,3,2,3,2,5,8,3,1,2,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,2,0,3,2,4,1,1,0,0,19,6,7,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,4,1,2,2,0,0,0,3,3,1,1,0,0,3,2,2,0,0,0,0,0,6,1,1,1,2,1,0
33 - Φθιώτιδας,153 E.T. Δήμου Λαμιέων,522,366,10,4,14,352,128,4,35,18,69,5,80,95,3,11,15,33,9,75,26,2,8,4,9,0,12,33,0,16,15,3,4,4,14,3,3,8,3,0,4,7,4,2,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,4,4,2,1,0,1,9,4,2,3,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,1,2,0,1,0,3,3,2,1,0,0,1,1,1,0,0,0,0,0,13,2,6,5,1,3,1
33 - Φθιώτιδας,154 E.T. Δήμου Λαμιέων,532,378,15,0,15,363,138,9,38,23,55,1,80,82,3,11,27,20,7,64,45,5,8,2,15,4,27,23,0,8,9,3,2,1,19,5,5,7,4,1,0,14,5,1,2,4,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,1,1,0,0,0,11,5,3,4,4,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,4,3,2,0,1,0,1,1,0,2,2,3,3,0,0,5,2,1,1,0,0,0,0,5,0,2,1,2,0,0
33 - Φθιώτιδας,155 E.T. Δήμου Λαμιέων,530,369,9,3,12,357,128,7,28,23,55,3,81,97,5,2,22,26,23,69,35,3,9,4,10,3,16,23,0,10,4,2,0,3,19,5,4,5,1,2,5,13,6,0,1,1,3,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,2,0,0,0,0,0,11,4,5,5,4,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,1,1,3,1,0,1,2,0,0,1,0,3,3,2,1,4,0,2,0,1,1,0,0,7,2,3,1,2,1,2
33 - Φθιώτιδας,156 E.T. Δήμου Λαμιέων,524,353,8,7,15,338,127,5,36,18,57,1,55,80,5,3,17,16,23,52,32,4,7,3,9,6,16,22,0,7,5,3,0,0,10,1,0,1,2,1,2,14,5,2,5,2,6,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,1,1,5,2,4,1,1,1,1,21,11,5,6,6,0,0,2,2,2,0,0,0,0,1,1,1,0,0,0,0,1,0,3,2,0,0,1,0,0,2,2,4,1,0,0,3,1,2,0,3,3,1,1,0,0,0,0,0,0,0
