ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΑΝΤΩΝΙΑΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΒΕΛΤΣΗ ΠΑΥΛΙΝΑ του Παύλου,ΗΛΙΑΔΟΥ-ΤΑΧΟΥ ΣΟΦΙΑ του Σταύρου,ΠΑΠΑΣΩΤΗΡΙΟΥ ΣΤΑΥΡΟΣ του Γεωργίου,ΣΥΡΙΖΑ,ΚΩΤΑΚΙΔΗΣ ΓΕΩΡΓΙΟΣ του Ευσταθίου,ΜΠΙΡΟΣ ΣΤΕΦΑΝΟΣ του Παντελή,ΠΕΡΚΑ ΘΕΟΠΙΣΤΗ (ΠΕΤΗ) του Χαράλαμπου,ΧΑΤΖΗΚΩΝΣΤΑΝΤΙΝΟΥ ΠΑΣΧΑΛΙΤΣΑ του Ευάγγελου,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΓΕΩΡΓΙΑΔΗΣ ΑΡΙΣΤΟΤΕΛΗΣ (ΤΕΛΗΣ) του Βασιλείου,ΚΑΡΑΔΑΚΟΥ ΟΛΓΑ του Αναστασίου,ΚΡΗΤΙΚΟΥ - ΦΡΑΝΤΖΗ ΔΙΑΜΑΝΤΟΥΛΑ (ΔΙΑΜΑΝΤΩ) του Ανδρέα,ΛΑΒΑΣΙΔΗΣ ΛΑΖΑΡΟΣ του Γεωργίου,Κ.Κ.Ε.,ΑΛΕΞΙΟΥ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΒΟΓΙΑΤΖΗ ΜΑΡΙΑ του Εμμανουήλ,ΒΥΣΙΝΗΣ ΕΥΑΓΓΕΛΟΣ του Χρήστου,ΤΟΡΛΑΧΙΔΟΥ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Μιχαήλ,Ελληνική Λύση - Κ. Βελόπουλος,ΓΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Μιχαήλ,ΔΡΟΓΟΥΔΗ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΠΑΠΟΥΛΙΔΟΥ ΑΝΝΑ του Γεωργίου,ΧΕΙΜΩΝΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Θεοδώρου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΓΙΑΣΗΜΑΚΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΜΙΤΡΟΒΙΤΣ ΜΑΡΙΑ του Ντράγκαν,ΤΡΑΣΙΑΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΙΩΑΝΝΙΔΗΣ ΠΑΝΤΕΛΗΣ του Χρήστου,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΒΑ ΔΗΜΗΤΡΑ του Στυλιανού,Ο.Κ.Δ.Ε.,ΣΑΒΒΑΚΗΣ ΣΤΑΥΡΟΣ του Κίμωνα,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΥ ΚΥΡΙΑΚΗ του Γεωργίου,ΤΖΩΤΖΗΣ ΒΑΣΙΛΕΙΟΣ του Μιχαήλ,Κίνημα 21,ΠΑΠΑΔΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Γεωργίου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΑΜΑΝΑΤΙΔΟΥ ΑΝΑΣΤΑΣΙΑ του Νικολάου,ΚΕΣΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Αναστασίου,ΝΙΚΗ,ΠΑΠΑΔΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΤΑΝΤΣΗ ΑΛΕΞΙΑ του Πανταζή,κοινωνία αξιών,ΛΑΠΠΑΣ ΙΩΑΝΝΗΣ του Νικολάου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΤΣΕΒΡΕΝΤΣΙΔΟΥ ΒΑΣΙΛΙΚΗ του Παναγιώτη,Ο.Α.Κ.Κ.Ε.,ΖΑΦΕΙΡΟΠΟΥΛΟΣ ΗΛΙΑΣ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΔΕΡΝΟΒΙΟΥ ΕΙΡΗΝΗ του Στυλιανού,Ελλήνων Συνέλευσις,ΜΑΥΡΟΒΑΛΗ ΒΑΪΤΣΑ του Θεοδώρου,ΠΕΤΡΙΔΗΣ ΠΑΥΛΟΣ του Ευστάθίου,Ένωση Κεντρώων,ΑΑΡΩΝ ΓΡΗΓΟΡΙΑ του Δημητρίου,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΑΚΛΙΑ ΓΕΩΡΓΙΑ του Κωνσταντίνου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΤΟΝΤΟΥ ΡΟΔΑΝΘΗ του Αλεξάνδρου,ΤΣΑΡΟΥΧΙΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΝΑΓΙΩΤΙΔΗΣ ΓΕΩΡΓΙΟΣ ΝΕΚΤΑΡΙΟΣ του Λαζάρου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΠΑΠΠΑ ΜΑΡΙΑ του Σπυρίδωνος,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΓΟΥΝΙΩΤΗΣ ΝΙΚΟΛΑΟΣ του Ευάγγελου,ΜΠΟΜΠΑ ΒΑΪΑ του Αθανασίου,ΕΑΝ...,ΧΕΙΡΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Αλεξάνδρου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΙΟΥΜΟΥΡΤΖΗΣ ΠΑΥΛΟΣ του Δημητρίου,Ανεξάρτητοι Υποψήφιοι,ΠΡΟΪΤΣΗΣ ΣΤΕΦΑΝΟΣ του Δημητρίου
14 - Φλώρινας,42 E.T. Δήμου Αμυνταίου,423,212,2,2,4,208,96,29,9,2,51,40,1,5,22,5,29,2,1,7,15,9,0,7,0,0,3,1,1,0,0,4,2,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,13,3,8,0,0,1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,2,1,2,0,0,0,0,2,2,0,0
14 - Φλώρινας,43 E.T. Δήμου Αμυνταίου,472,158,1,2,3,155,77,18,0,1,46,34,7,2,21,2,7,1,0,2,4,15,0,10,2,1,6,4,1,1,0,6,2,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0
14 - Φλώρινας,44 E.T. Δήμου Αμυνταίου,301,175,6,0,6,169,103,61,0,1,35,20,6,1,9,0,23,5,2,12,2,6,0,2,0,1,6,3,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,2,1,0,0,0,0,0,0,0,0,0,3,3,0,0
14 - Φλώρινας,45 E.T. Δήμου Αμυνταίου,328,167,6,0,6,161,85,29,1,0,53,24,12,0,5,3,24,1,1,17,2,4,0,4,0,0,6,4,0,0,1,7,1,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0
14 - Φλώρινας,46 E.T. Δήμου Αμυνταίου,368,203,3,0,3,200,83,46,1,2,26,22,4,2,8,3,61,0,0,55,5,6,0,4,1,1,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11,6,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,0,1,0,0,0,2,0,1,1,1,4,3,0,0
14 - Φλώρινας,47 E.T. Δήμου Αμυνταίου,385,222,4,1,5,217,85,43,2,0,27,10,2,4,2,2,84,0,1,80,0,6,1,3,0,0,10,9,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,1,0,0,0,0,0,0,0,1,0,6,0,0,0
14 - Φλώρινας,48 E.T. Δήμου Αμυνταίου,428,219,5,2,7,212,97,51,4,3,38,35,10,3,17,1,27,3,0,16,7,3,0,3,0,0,21,15,1,0,2,2,1,0,1,2,1,0,0,0,0,0,0,0,1,1,1,1,0,5,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,3,2,1,1,4,3,7,4,0,0
14 - Φλώρινας,49 E.T. Δήμου Αμυνταίου,426,205,11,1,12,193,103,54,1,1,34,19,3,7,6,0,14,1,1,8,1,9,1,7,0,0,19,10,2,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,0,1,1,0,2,1,2,1,1,4,2,4,4,0,0
14 - Φλώρινας,50 E.T. Δήμου Αμυνταίου,415,212,3,0,3,209,97,46,4,7,37,42,16,6,10,2,20,1,4,10,3,5,0,5,0,0,16,6,1,3,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,11,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,5,2,0,0,0,3,1,3,1,1,0
14 - Φλώρινας,51 E.T. Δήμου Αμυνταίου,313,198,3,2,5,193,94,36,4,1,50,18,6,1,7,0,28,0,0,9,15,13,0,11,0,1,18,7,1,5,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,2,1,0,0,0,1,0,0,0,0,0,0,5,0,0,0
14 - Φλώρινας,52 E.T. Δήμου Αμυνταίου,283,159,3,0,3,156,89,33,2,0,53,21,6,4,5,2,13,1,1,5,4,3,0,3,0,0,11,4,1,0,3,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,2,0,0
14 - Φλώρινας,53 E.T. Δήμου Αμυνταίου,556,239,5,2,7,232,108,59,14,1,32,37,15,1,16,1,27,2,1,7,14,10,0,6,1,2,14,4,0,2,2,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,8,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,2,2,0,2,3,3,11,2,0,0
14 - Φλώρινας,54 E.T. Δήμου Αμυνταίου,203,127,2,0,2,125,40,20,3,1,16,25,7,8,7,1,23,1,0,19,2,2,0,2,0,0,13,6,2,1,2,0,0,0,0,5,4,0,0,0,0,1,0,1,2,1,0,0,0,7,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
14 - Φλώρινας,55 E.T. Δήμου Αμυνταίου,492,306,13,0,13,293,105,45,4,2,46,52,7,5,30,2,55,3,3,32,16,24,0,21,2,0,18,7,1,4,2,2,1,0,0,0,0,2,1,0,0,1,0,0,1,1,0,0,0,14,3,11,2,1,0,0,0,0,1,1,0,0,0,2,1,1,1,1,0,1,0,0,4,0,0,0,0,1,0,7,5,0,0
14 - Φλώρινας,56 E.T. Δήμου Αμυνταίου,479,307,4,0,4,303,95,42,4,2,35,73,18,8,35,6,56,2,2,24,17,33,1,30,0,0,11,3,0,4,3,6,2,1,0,0,0,3,0,0,0,1,0,1,0,0,1,0,1,7,0,5,1,0,0,0,0,0,0,0,2,0,1,1,0,2,2,4,0,1,2,0,0,0,1,0,0,0,0,4,2,0,0
14 - Φλώρινας,57 E.T. Δήμου Αμυνταίου,493,280,9,1,10,270,65,29,2,1,26,56,8,2,20,15,60,3,3,30,14,49,0,43,0,1,10,5,0,4,0,3,0,1,0,4,2,1,1,0,0,1,1,0,1,1,0,0,0,8,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,0,1,0,1,0,0,0,0,6,5,0,0
14 - Φλώρινας,58 E.T. Δήμου Αμυνταίου,490,304,5,0,5,299,90,57,2,3,23,60,19,5,24,7,43,4,6,13,12,42,0,41,0,0,16,9,0,3,1,7,2,1,0,0,0,1,1,0,0,3,1,0,2,2,2,1,1,16,8,7,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,1,1,1,1,1,0,0,0,1,1,9,7,1,1
14 - Φλώρινας,59 E.T. Δήμου Πρεσπών,573,170,1,1,2,168,81,21,8,0,48,32,8,3,18,0,7,1,1,2,1,0,0,0,0,0,5,1,0,1,1,34,1,0,33,3,3,0,0,0,0,0,0,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
14 - Φλώρινας,60 E.T. Δήμου Πρεσπών,230,22,0,0,0,22,5,4,0,1,0,3,0,1,2,0,4,0,0,2,2,2,0,1,0,0,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,61 E.T. Δήμου Πρεσπών,285,44,0,1,1,43,22,13,0,1,7,12,0,1,10,0,1,0,0,1,0,1,1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
14 - Φλώρινας,62 E.T. Δήμου Πρεσπών,412,94,1,1,2,92,36,9,2,3,17,25,5,0,12,0,15,6,0,0,8,0,0,0,0,0,4,2,0,0,0,3,3,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14 - Φλώρινας,63 E.T. Δήμου Πρεσπών,404,97,1,1,2,95,29,11,2,0,14,21,8,0,11,1,16,10,0,0,4,2,0,2,0,0,5,1,1,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,3,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,0,0
14 - Φλώρινας,64 E.T. Δήμου Πρεσπών,177,98,1,0,1,97,51,15,0,1,34,17,3,0,12,0,10,4,0,3,2,4,0,0,0,3,5,5,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14 - Φλώρινας,65 E.T. Δήμου Πρεσπών,623,148,1,0,1,147,70,26,3,4,29,31,6,0,21,1,16,2,1,0,11,0,0,0,0,0,8,3,1,0,0,13,10,0,2,2,2,0,0,0,0,0,0,0,0,0,3,1,1,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,66 E.T. Δήμου Πρεσπών,579,50,1,0,1,49,18,13,0,0,3,20,9,0,10,1,1,0,0,0,1,3,2,1,0,0,2,1,0,1,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14 - Φλώρινας,67 E.T. Δήμου Πρεσπών,579,33,0,0,0,33,12,3,0,0,7,5,2,0,2,0,7,0,0,0,6,2,1,0,0,1,3,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14 - Φλώρινας,68 E.T. Δήμου Πρεσπών,436,77,0,0,0,77,42,13,1,0,21,10,1,1,6,0,7,3,0,0,3,2,0,0,0,2,3,1,0,1,0,11,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14 - Φλώρινας,69 E.T. Δήμου Πρεσπών,302,119,1,3,4,115,55,13,3,2,34,30,8,13,7,0,8,4,0,0,3,13,3,4,0,5,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,0
14 - Φλώρινας,70 E.T. Δήμου Πρεσπών,458,74,1,0,1,73,31,20,1,1,7,15,2,6,5,0,4,0,0,0,4,1,0,0,0,0,2,0,0,0,0,8,5,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
14 - Φλώρινας,71 E.T. Δήμου Πρεσπών,333,127,4,0,4,123,64,33,3,2,24,18,5,0,9,0,21,7,0,2,9,0,0,0,0,0,7,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,2,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,0,0
14 - Φλώρινας,72 E.T. Δήμου Πρεσπών,220,47,1,0,1,46,22,11,1,0,9,9,2,0,6,0,3,1,0,0,2,2,0,1,1,0,6,4,1,0,0,2,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14 - Φλώρινας,73 E.T. Δήμου Πρεσπών,221,69,1,0,1,68,41,10,1,3,25,6,3,0,3,0,6,0,0,0,6,5,2,2,0,1,1,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,74 E.T. Δήμου Πρεσπών,150,76,0,0,0,76,26,13,2,0,10,22,10,4,6,0,19,11,1,0,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,75 E.T. Δήμου Πρεσπών,185,12,0,0,0,12,6,4,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0
14 - Φλώρινας,76 E.T. Δήμου Πρεσπών,528,101,2,1,3,98,39,11,4,1,22,28,1,5,22,0,10,4,0,0,6,3,1,0,0,1,3,2,0,0,0,1,1,0,0,3,0,1,1,0,0,0,0,0,1,1,2,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0
14 - Φλώρινας,77 E.T. Δήμου Φλώρινας,389,102,1,0,1,101,43,28,6,0,8,27,7,8,8,0,6,0,2,0,4,4,3,0,1,0,4,3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,2,6,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
14 - Φλώρινας,78 E.T. Δήμου Φλώρινας,402,77,0,0,0,77,39,17,3,2,16,14,4,3,7,0,7,0,2,0,5,0,0,0,0,0,4,3,0,0,0,2,2,0,0,5,4,1,1,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
14 - Φλώρινας,79 E.T. Δήμου Φλώρινας,387,118,3,1,4,114,54,29,6,1,17,29,14,5,10,0,10,3,1,0,6,4,3,0,0,1,5,4,0,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,8,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,80 E.T. Δήμου Φλώρινας,381,61,0,0,0,61,32,7,6,1,18,9,3,1,2,0,13,2,6,0,3,1,0,0,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0
14 - Φλώρινας,81 E.T. Δήμου Φλώρινας,343,50,0,1,1,49,15,7,1,0,7,16,1,3,12,0,10,2,1,1,5,3,0,0,1,1,1,1,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
14 - Φλώρινας,82 E.T. Δήμου Φλώρινας,540,57,0,1,1,56,28,8,3,1,15,9,2,2,2,3,6,1,3,0,1,4,4,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0
14 - Φλώρινας,83 E.T. Δήμου Φλώρινας,515,45,0,0,0,45,28,16,2,0,9,12,5,2,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,84 E.T. Δήμου Φλώρινας,375,117,2,4,6,111,34,15,2,2,11,32,3,11,15,1,21,4,0,2,12,2,2,0,0,0,5,5,0,0,0,4,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
14 - Φλώρινας,85 E.T. Δήμου Φλώρινας,373,139,1,3,4,135,40,10,3,5,22,50,3,14,28,2,21,9,0,0,12,2,1,0,0,1,4,4,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,11,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,2
14 - Φλώρινας,86 E.T. Δήμου Φλώρινας,395,86,0,1,1,85,29,11,2,1,14,5,1,1,3,0,20,5,0,2,10,4,0,0,1,1,11,8,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,6,1,1,0
14 - Φλώρινας,87 E.T. Δήμου Φλώρινας,403,68,1,1,2,66,22,14,0,1,6,16,9,0,5,0,8,0,1,0,7,1,0,0,0,0,7,6,0,1,0,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1
14 - Φλώρινας,88 E.T. Δήμου Φλώρινας,377,54,1,1,2,52,19,6,0,3,10,21,4,7,6,1,1,1,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0
14 - Φλώρινας,89 E.T. Δήμου Φλώρινας,328,80,1,0,1,79,31,17,0,1,13,20,3,6,8,0,8,2,0,0,6,1,0,0,0,1,4,3,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
14 - Φλώρινας,90 E.T. Δήμου Φλώρινας,665,78,1,0,1,77,19,10,1,0,7,26,9,6,11,0,15,0,2,0,12,3,0,0,0,0,6,3,0,1,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0
14 - Φλώρινας,91 E.T. Δήμου Φλώρινας,503,45,1,0,1,44,20,6,0,0,12,14,3,0,10,1,7,0,0,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,92 E.T. Δήμου Φλώρινας,505,47,1,0,1,46,29,9,0,1,12,3,1,1,1,0,6,3,1,0,2,1,1,0,0,0,2,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,93 E.T. Δήμου Φλώρινας,390,130,1,1,2,128,47,19,7,3,18,44,11,5,24,3,9,2,2,0,5,4,0,0,1,3,5,4,0,0,0,3,1,0,1,2,2,0,0,0,0,1,1,0,0,0,10,0,9,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,94 E.T. Δήμου Φλώρινας,314,115,1,1,2,113,52,25,4,3,17,18,11,2,4,0,17,2,0,1,14,11,2,3,1,1,5,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,95 E.T. Δήμου Φλώρινας,454,174,0,2,2,172,89,51,7,1,27,32,7,8,16,0,22,10,2,0,8,3,1,0,0,2,7,4,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,1,2,2,0,0
