ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΟΓΙΑΚΑΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΝΤΟΥΜΑ ΕΡΙΚΑ του Βασιλείου,ΠΑΠΑΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Λαμπρινού,ΣΥΡΙΖΑ,ΓΟΓΟΛΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΚΑΤΣΗΣ ΜΑΡΙΟΣ του Σπυρίδωνα,ΣΤΕΡΓΙΟΥ ΑΝΝΑ του Ιωάννη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΑΤΣΙΟΣ ΧΡΗΣΤΟΣ του Μιχαήλ,ΜΕΜΜΟΥ ΑΓΓΕΛΙΚΗ του Θεολόγου,ΤΑΤΣΗ ΜΑΓΔΑΛΗΝΗ (ΜΑΓΔΑ) του Αναστασίου,Κ.Κ.Ε.,ΓΕΩΡΓΙΟΥ ΧΡΥΣΗΙΔΑ του Κωνσταντίνου,ΔΗΜΑ ΑΙΚΑΤΕΡΙΝΗ του Θεοδώρου,ΠΑΠΑΓΙΑΝΝΗΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΒΑΝΙΤΗ ΔΗΜΗΤΡΑ του Αδάμ - Χρήστου,ΜΠΙΛΛΑΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΠΑΝΑΓΙΩΤΟΥ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΠΑΠΑΖΟΓΛΟΥ ΓΕΩΡΓΙΑ του Κωνσταντίνου,ΠΑΠΠΑΣ ΝΙΚΟΛΑΟΣ του Λαζάρου,ΤΣΑΚΙΡΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΠΕΤΡΙΤΗ ΚΥΡΙΑΚΗ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΑΝΑΣΤΑΣΙΟΥ ΧΡΙΣΤΙΝΑ του Θωμά,ΜΟΥΣΕΛΙΜΗΣ ΛΑΜΠΡΟΣ του Παναγιώτη,ΝΕΙΛΑΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΑΝΔΡΙΩΤΗΣ ΚΥΡΙΑΚΟΣ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΥΡΤΗ ΙΟΥΛΙΑ του Επαμεινώνδα,ΛΙΑΜΠΟΤΗΣ ΣΩΤΗΡΙΟΣ του Ευαγγέλου,ΣΟΥΡΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,Κίνημα 21,ΡΕΣΒΑΝΗΣ ΗΛΙΑΣ του Νικολάου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΜΠΙΚΑΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΝΙΚΗ,ΠΑΠΑΒΑΣΙΛΕΙΟΥ ΑΡΕΤΗ του Βασιλείου,κοινωνία αξιών,ΡΕΓΚΟΣ ΚΥΡΙΑΚΟΣ του Αντωνίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΣΙΔΗΡΟΠΟΥΛΟΣ ΙΑΚΩΒΟΣ του Ιωάννη,Ο.Α.Κ.Κ.Ε.,ΠΑΠΑΓΕΩΡΓΙΟΥ ΦΩΤΙΟΣ του Θεολόγου,Μ-Λ Κ.Κ.Ε.,ΧΟΒΟΛΟΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΔΗΜΗΤΡΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Νικολάου,ΤΣΙΡΩΝΗΣ ΣΥΜΕΩΝ του Ιωάννη,Ένωση Κεντρώων,ΜΠΕΡΑΤΗΣ ΠΕΤΡΟΣ - ΕΥΣΤΑΘΙΟΣ του Ανδρέα,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΟΥΡΚΟΥΛΗ ΚΕΛΛΥ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΔΗΜΗΤΡΙΟΥ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΥΛΙΔΟΥ-ΘΩΜΑ ΑΛΕΞΑΝΔΡΑ (ΒΑΒΩ) του Βασιλείου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΣΓΟΥΡΙΔΗΣ ΧΡΗΣΤΟΣ του Σεραφείμ,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΒΑΣΙΛΕΙΟΥ ΘΩΜΑΣ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΜΙΧΑΗΛ ΙΩΑΝΝΗΣ ΘΕΟΧΑΡΗΣ του Νικολάου
20 - Θεσπρωτίας,137 E.T. Δήμου Φιλιατών,80,44,0,0,0,44,19,17,0,2,19,0,0,18,2,2,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 - Θεσπρωτίας,138 E.T. Δήμου Φιλιατών,24,5,0,1,1,4,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 - Θεσπρωτίας,139 E.T. Δήμου Φιλιατών,188,24,0,0,0,24,12,11,1,0,7,1,2,4,3,0,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 - Θεσπρωτίας,140 E.T. Δήμου Φιλιατών,416,146,2,0,2,144,62,36,9,11,33,0,21,7,18,7,6,3,11,4,0,3,4,1,0,1,1,1,0,0,0,0,3,0,0,1,0,0,2,0,1,0,1,0,0,0,6,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
20 - Θεσπρωτίας,141 E.T. Δήμου Φιλιατών,254,118,1,1,2,116,65,43,10,10,30,4,9,14,6,2,2,2,8,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
20 - Θεσπρωτίας,142 E.T. Δήμου Φιλιατών,181,42,1,0,1,41,19,15,1,1,5,0,5,0,7,0,4,3,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 - Θεσπρωτίας,143 E.T. Δήμου Φιλιατών,60,28,0,0,0,28,20,18,1,0,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20 - Θεσπρωτίας,144 E.T. Δήμου Φιλιατών,259,65,0,2,2,63,29,27,1,1,13,2,8,2,12,4,5,2,4,1,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1
20 - Θεσπρωτίας,145 E.T. Δήμου Φιλιατών,75,20,2,0,2,18,5,3,2,0,8,0,6,1,3,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20 - Θεσπρωτίας,146 E.T. Δήμου Φιλιατών,251,120,6,1,7,113,56,46,5,2,31,3,18,8,12,1,4,2,1,0,0,0,4,3,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
20 - Θεσπρωτίας,147 E.T. Δήμου Φιλιατών,215,76,3,1,4,72,28,14,6,6,16,1,10,5,16,2,8,6,0,0,0,0,1,1,0,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
20 - Θεσπρωτίας,148 E.T. Δήμου Φιλιατών,464,171,2,2,4,167,81,57,2,7,36,4,19,9,27,8,7,7,4,3,0,1,3,0,0,1,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1
20 - Θεσπρωτίας,149 E.T. Δήμου Φιλιατών,90,31,0,0,0,31,19,14,1,3,4,1,2,0,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20 - Θεσπρωτίας,150 E.T. Δήμου Φιλιατών,333,119,5,0,5,114,51,44,3,0,23,0,21,1,10,1,5,4,2,1,1,0,4,2,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,4,1,1,1,6,4,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,8,4
20 - Θεσπρωτίας,151 E.T. Δήμου Φιλιατών,353,148,3,0,3,145,42,36,2,2,35,0,24,1,38,3,15,12,11,2,3,5,3,0,2,1,3,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0
20 - Θεσπρωτίας,152 E.T. Δήμου Φιλιατών,75,15,0,1,1,14,6,6,0,0,3,1,2,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
20 - Θεσπρωτίας,153 E.T. Δήμου Φιλιατών,198,76,0,0,0,76,39,27,7,4,22,1,3,15,5,1,3,0,4,1,2,0,0,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
20 - Θεσπρωτίας,154 E.T. Δήμου Φιλιατών,266,72,0,0,0,72,40,23,13,4,10,2,4,3,9,0,2,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,1,1,1,1,0
20 - Θεσπρωτίας,155 E.T. Δήμου Φιλιατών,142,50,1,0,1,49,14,7,0,0,9,0,3,5,13,0,6,6,4,1,1,2,1,0,0,1,3,3,0,0,2,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20 - Θεσπρωτίας,156 E.T. Δήμου Φιλιατών,352,176,2,0,2,174,93,75,16,1,39,6,29,3,22,7,8,6,2,1,0,0,4,1,0,2,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,1,1,1,1,1,1,0,0,3,3
20 - Θεσπρωτίας,157 E.T. Δήμου Φιλιατών,255,73,1,0,1,72,28,18,7,1,14,2,6,5,13,1,4,4,9,1,3,2,2,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
20 - Θεσπρωτίας,158 E.T. Δήμου Φιλιατών,37,20,0,0,0,20,10,10,0,0,3,1,0,0,6,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
20 - Θεσπρωτίας,159 E.T. Δήμου Φιλιατών,486,205,7,1,8,197,89,72,5,3,57,6,36,9,12,0,4,4,7,1,0,3,7,3,0,3,5,1,1,2,1,0,1,0,0,0,0,0,3,1,0,0,4,3,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,1,1,0,0,2,1,0,0,0,0,1,1,1,0
20 - Θεσπρωτίας,160 E.T. Δήμου Φιλιατών,496,274,14,1,15,259,119,86,16,5,60,3,38,6,36,6,17,4,15,1,4,3,3,1,0,0,6,2,0,2,3,2,0,0,0,0,0,0,3,0,1,0,1,0,1,0,4,4,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,4,1
20 - Θεσπρωτίας,161 E.T. Δήμου Φιλιατών,485,254,5,0,5,249,101,82,10,5,64,3,39,13,38,1,26,7,17,3,5,0,5,1,1,1,2,0,1,1,3,3,1,0,1,0,0,0,0,0,0,0,2,2,0,0,4,4,0,0,0,0,0,0,3,3,2,0,1,1,1,0,0,0,0,1,1,0,0,0,0,5,3
20 - Θεσπρωτίας,162 E.T. Δήμου Φιλιατών,491,231,4,0,4,227,89,60,16,7,44,8,30,4,42,4,30,3,15,3,0,10,11,2,1,2,2,0,0,0,1,1,0,0,0,0,0,0,2,1,0,0,1,1,2,2,7,6,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,1,1,1,0,0,0,0,5,4
20 - Θεσπρωτίας,163 E.T. Δήμου Φιλιατών,481,259,5,4,9,250,104,78,9,6,76,11,44,8,37,6,21,5,3,1,1,1,8,1,3,0,3,0,0,1,2,2,0,0,0,0,0,0,3,1,2,0,4,2,1,0,3,3,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,1
20 - Θεσπρωτίας,164 E.T. Δήμου Φιλιατών,188,69,2,0,2,67,36,31,1,1,15,3,9,3,5,0,5,0,1,0,1,0,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
20 - Θεσπρωτίας,165 E.T. Δήμου Φιλιατών,115,48,0,0,0,48,18,17,1,0,15,1,14,0,6,0,6,0,2,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,2
20 - Θεσπρωτίας,166 E.T. Δήμου Φιλιατών,69,19,0,0,0,19,11,10,1,0,5,0,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από 17ο Ε.Τ. Νομ. Θεσσαλονικης),61,42,0,0,0,42,16,9,2,3,7,0,2,3,8,4,0,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από Εφετείο Θεσσαλονίκης),40,27,0,0,0,27,5,3,1,1,9,1,4,2,0,0,0,0,2,0,1,0,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από 67ο Ε.Τ. Νομ. Αττικης-Αθηνών),474,340,3,3,6,334,133,80,20,15,92,7,48,14,40,11,9,15,34,7,8,5,7,1,1,1,6,2,0,2,1,0,0,0,0,0,0,0,3,0,0,3,3,1,2,0,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,2,2
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από 68ο Ε.Τ. Νομ. Αττικης-Αθηνών),487,306,4,1,5,301,127,83,13,13,65,3,41,10,38,7,4,12,38,12,7,5,7,3,1,2,4,2,1,0,0,0,2,0,2,0,0,0,1,1,0,0,1,0,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,0,1,1,0,0,5,4
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από 69ο Ε.Τ. Νομ. Αττικης-Αθηνών),481,343,4,2,6,337,138,88,11,15,103,8,46,26,25,9,5,5,27,4,6,10,7,2,1,2,15,4,1,0,1,1,2,0,1,0,0,0,2,1,1,0,3,0,2,0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,2,1,1,1,0,0,0,5,4
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από 70ο Ε.Τ. Νομ. Αττικης-Αθηνών),478,335,10,0,10,325,128,87,12,11,93,14,41,29,30,7,6,10,27,10,2,3,16,8,1,4,3,2,0,1,2,1,2,1,1,0,0,0,2,1,0,0,2,1,3,1,2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,2,0,0,0,0,0,0,10,7
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από 10ο Ε.Τ. Νομ. Αττικης-Πειραιώς),110,83,1,1,2,81,30,22,5,2,15,1,10,2,13,6,4,1,8,1,5,1,5,1,2,2,2,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Σύνολο,,62126,30864,701,150,851,30013,12803,9449,1358,1049,6804,941,4108,755,4433,1161,763,2006,1649,455,419,306,774,219,108,212,542,225,51,59,162,99,215,29,112,40,22,16,226,63,60,36,215,122,232,104,527,347,23,9,10,5,32,24,95,59,118,44,63,70,29,48,22,286,203,30,14,100,65,78,40,519,267
