ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,Νέα Δημοκρατία,ΓΙΟΓΙΑΚΑΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΝΤΟΥΜΑ ΕΡΙΚΑ του Βασιλείου,ΠΑΠΑΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Λαμπρινού,ΣΥΡΙΖΑ,ΓΟΓΟΛΟΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΚΑΤΣΗΣ ΜΑΡΙΟΣ του Σπυρίδωνα,ΣΤΕΡΓΙΟΥ ΑΝΝΑ του Ιωάννη,ΠΑΣΟΚ-Κίνημα Αλλαγής,ΚΑΤΣΙΟΣ ΧΡΗΣΤΟΣ του Μιχαήλ,ΜΕΜΜΟΥ ΑΓΓΕΛΙΚΗ του Θεολόγου,ΤΑΤΣΗ ΜΑΓΔΑΛΗΝΗ (ΜΑΓΔΑ) του Αναστασίου,Κ.Κ.Ε.,ΓΕΩΡΓΙΟΥ ΧΡΥΣΗΙΔΑ του Κωνσταντίνου,ΔΗΜΑ ΑΙΚΑΤΕΡΙΝΗ του Θεοδώρου,ΠΑΠΑΓΙΑΝΝΗΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΑΡΒΑΝΙΤΗ ΔΗΜΗΤΡΑ του Αδάμ - Χρήστου,ΜΠΙΛΛΑΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,ΠΑΝΑΓΙΩΤΟΥ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΜέΡΑ25-ΣΥΜΜΑΧΙΑ ΓΙΑ ΤΗ ΡΗΞΗ,ΠΑΠΑΖΟΓΛΟΥ ΓΕΩΡΓΙΑ του Κωνσταντίνου,ΠΑΠΠΑΣ ΝΙΚΟΛΑΟΣ του Λαζάρου,ΤΣΑΚΙΡΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΕΝΩΝΩ ΣΥΜΜΑΧΙΑ ΕΛΕΥΘΕΡΙΑΣ,ΠΕΤΡΙΤΗ ΚΥΡΙΑΚΗ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΑΝΑΣΤΑΣΙΟΥ ΧΡΙΣΤΙΝΑ του Θωμά,ΜΟΥΣΕΛΙΜΗΣ ΛΑΜΠΡΟΣ του Παναγιώτη,ΝΕΙΛΑΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΑΝΔΡΙΩΤΗΣ ΚΥΡΙΑΚΟΣ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΥΡΤΗ ΙΟΥΛΙΑ του Επαμεινώνδα,ΛΙΑΜΠΟΤΗΣ ΣΩΤΗΡΙΟΣ του Ευαγγέλου,ΣΟΥΡΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,Κίνημα 21,ΡΕΣΒΑΝΗΣ ΗΛΙΑΣ του Νικολάου,ΕΘΝΙΚΗ ΔΗΜΙΟΥΡΓΙΑ,ΜΠΙΚΑΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΝΙΚΗ,ΠΑΠΑΒΑΣΙΛΕΙΟΥ ΑΡΕΤΗ του Βασιλείου,κοινωνία αξιών,ΡΕΓΚΟΣ ΚΥΡΙΑΚΟΣ του Αντωνίου,ΒΟΡΕΙΑ ΛΕΓΚΑ - ΚΡΑΜΑ,ΣΙΔΗΡΟΠΟΥΛΟΣ ΙΑΚΩΒΟΣ του Ιωάννη,Ο.Α.Κ.Κ.Ε.,ΠΑΠΑΓΕΩΡΓΙΟΥ ΦΩΤΙΟΣ του Θεολόγου,Μ-Λ Κ.Κ.Ε.,ΧΟΒΟΛΟΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΔΗΜΗΤΡΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Νικολάου,ΤΣΙΡΩΝΗΣ ΣΥΜΕΩΝ του Ιωάννη,Ένωση Κεντρώων,ΜΠΕΡΑΤΗΣ ΠΕΤΡΟΣ - ΕΥΣΤΑΘΙΟΣ του Ανδρέα,ΤΩΡΑ ΟΛΟΙ ΜΑΖΙ (Τ.ΟΛ.ΜΑ),ΚΟΥΡΚΟΥΛΗ ΚΕΛΛΥ του Γεωργίου,ΣΥΜΜΑΧΙΑ ΑΝΑΤΡΟΠΗΣ,ΔΗΜΗΤΡΙΟΥ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΠΟΛΙΤΙΚΗ ΠΡΩΤΟΒΟΥΛΙΑ ,ΠΑΥΛΙΔΟΥ-ΘΩΜΑ ΑΛΕΞΑΝΔΡΑ (ΒΑΒΩ) του Βασιλείου,ΠΝΟΗ ΔΗΜΟΚΡΑΤΙΑΣ,ΣΓΟΥΡΙΔΗΣ ΧΡΗΣΤΟΣ του Σεραφείμ,ΠΡΑΣΙΝΟ ΚΙΝΗΜΑ,ΒΑΣΙΛΕΙΟΥ ΘΩΜΑΣ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΓΙΑΝΝΑΚΟΠΟΥΛΟΣ ΜΙΧΑΗΛ ΙΩΑΝΝΗΣ ΘΕΟΧΑΡΗΣ του Νικολάου
20 - Θεσπρωτίας,122 E.T. Δήμου Φιλιατών,33,5,0,0,0,5,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
20 - Θεσπρωτίας,123 E.T. Δήμου Φιλιατών,247,107,1,0,1,106,50,43,2,5,16,3,5,7,20,7,0,12,4,0,2,1,8,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,2,1,0,0,0,0,0,0,2,0
20 - Θεσπρωτίας,124 E.T. Δήμου Φιλιατών,129,23,1,0,1,22,10,10,0,0,5,1,0,3,3,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20 - Θεσπρωτίας,125 E.T. Δήμου Φιλιατών,488,233,4,0,4,229,110,82,3,22,54,4,29,15,31,4,8,6,2,0,0,1,10,3,3,1,2,1,0,0,4,2,2,1,0,1,0,0,1,1,0,0,0,0,1,1,4,3,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,1,2,1,0,0,0,0,2,1
20 - Θεσπρωτίας,126 E.T. Δήμου Φιλιατών,74,28,0,0,0,28,10,5,2,3,7,0,6,0,6,0,5,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1
20 - Θεσπρωτίας,127 E.T. Δήμου Φιλιατών,107,53,2,1,3,50,17,15,2,0,8,1,4,2,14,0,10,3,5,1,1,0,3,3,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20 - Θεσπρωτίας,128 E.T. Δήμου Φιλιατών,238,63,0,0,0,63,22,11,4,6,19,1,8,3,5,0,1,4,4,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
20 - Θεσπρωτίας,129 E.T. Δήμου Φιλιατών,105,31,1,0,1,30,16,8,8,0,2,0,0,1,4,1,2,0,3,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,1
20 - Θεσπρωτίας,130 E.T. Δήμου Φιλιατών,348,119,6,0,6,113,45,41,0,1,33,1,26,5,17,2,9,4,2,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
20 - Θεσπρωτίας,131 E.T. Δήμου Φιλιατών,331,134,3,1,4,130,71,56,8,4,34,0,14,15,13,0,6,6,5,0,4,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
20 - Θεσπρωτίας,132 E.T. Δήμου Φιλιατών,138,46,0,0,0,46,14,12,0,2,12,0,11,1,10,1,5,4,5,0,0,0,0,0,0,0,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 - Θεσπρωτίας,133 E.T. Δήμου Φιλιατών,104,34,0,0,0,34,24,17,3,2,3,0,0,2,4,1,1,2,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 - Θεσπρωτίας,134 E.T. Δήμου Φιλιατών,100,28,1,0,1,27,6,2,0,1,10,0,6,3,6,1,5,0,4,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 - Θεσπρωτίας,135 E.T. Δήμου Φιλιατών,337,116,4,0,4,112,47,38,5,1,16,2,9,2,29,0,9,14,6,0,3,0,1,0,0,1,2,1,0,0,6,5,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
20 - Θεσπρωτίας,136 E.T. Δήμου Φιλιατών,149,60,1,0,1,59,20,16,1,2,26,0,7,18,2,0,2,0,1,0,1,0,0,0,0,0,1,0,0,1,3,2,0,0,0,0,1,1,1,1,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
